number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1180.0814818386827,0.8249219540731969,False,False,True,True,True,False,False,False,False,True,none,,0.038655303068396776,7,83,0.3341760650273592,363,36,small,1.0834120981261467e-07,6.664137885661558e-05,max,0.6827351406044067,0,True,COMPLETE
1,962.1582478420538,0.5350187475232122,True,True,False,False,True,False,False,True,False,True,small,,0.017195337219088433,12,76,0.09320131643758928,326,92,large,1.3520231492478792e-07,2.8359997462252372e-05,idw,0.5720365125737084,0,True,COMPLETE
2,2147.669262691515,0.9092330071497613,False,False,True,True,True,False,False,True,True,False,large,12.0,0.06894818432794403,14,6,0.17718251739890428,827,38,small,2.860218770918942e-08,0.09321862363875448,mean,0.5139005734553685,0,False,COMPLETE
3,1867.5159560911395,0.8880034815098867,True,False,True,True,True,False,True,True,False,False,small,12.0,0.10699898724956211,12,52,0.35116924027190277,680,100,small,1.3761470486761703e-05,0.04180967552496034,distance_n_turbines,0.5688592010386244,6,True,COMPLETE
4,2700.990920051597,0.9753834083549383,False,True,True,False,False,True,True,True,False,False,none,12.0,0.02231352655418414,14,100,0.35524957497775644,977,76,large,9.900653723208836e-05,0.004219640619777093,distance_n_turbines,0.9061244213028596,0,True,COMPLETE
5,1560.063946898537,0.8684073622177224,True,False,False,True,True,True,True,True,True,True,none,1.0,0.015700460325043467,14,16,0.36984091430733873,928,97,none,1.5790618179385016e-06,7.26495418318372e-08,capacity,0.7918022976067668,2,True,COMPLETE
6,1512.7724958300562,0.7688020901217941,False,True,True,True,False,False,True,False,True,True,large,6.0,0.07209115296434451,4,56,0.19700413633846486,655,116,small,0.010294032352463994,4.835094821880442e-07,mean,0.7178232645411027,2,True,COMPLETE
7,2111.0156440812575,0.888673489771336,True,True,False,False,True,False,True,True,True,False,large,12.0,0.2134851079305694,4,68,0.0276899249814761,523,134,large,0.16303249637356446,1.7286598675878282e-06,capacity,0.7272706806608391,6,False,COMPLETE
8,934.9342061212141,0.6463592345867375,True,False,True,True,False,False,False,True,True,False,large,,0.11412545374076043,11,98,0.0008183141232042113,999,61,none,0.0008437940157166192,0.057307063715394305,mean,0.8913328043984534,6,True,COMPLETE
9,1063.4795828640315,0.5239782291056221,True,False,False,False,False,False,True,False,True,True,small,,0.018443048791506576,6,17,0.24176979265166165,690,26,small,9.101307150785705e-06,0.0016121832260961718,distance_n_turbines,0.9302925126190158,0,False,COMPLETE
10,1366.2503920837528,0.6418815812959102,True,False,True,True,False,True,False,False,True,False,large,6.0,0.22337360679502832,9,100,0.49527597977705745,816,65,none,0.005910840710118583,0.6234019133390684,None,0.8330673155166332,6,False,COMPLETE
11,1083.0343697494482,0.5908792326505047,True,True,False,False,False,False,False,True,False,True,small,,0.010051407759491102,11,79,0.007684911845279363,301,59,none,0.0014730361457141958,2.5003675084168486e-05,idw,0.9872072250083735,6,True,COMPLETE
12,1003.0294334226272,0.675777792650839,True,True,False,False,True,False,False,True,False,False,small,,0.11832728227319739,16,83,0.09566921606633057,472,150,large,0.0003204299926390066,0.000844479124560002,distance_capacity,0.6386647662604928,0,True,COMPLETE
13,1022.3456551913997,0.5146285609120657,True,True,False,False,False,False,False,True,False,True,small,,0.03492346405759427,10,42,0.09697160494538248,527,11,none,0.6121201638898511,7.09226637509824e-06,idw,0.8552559811502983,6,True,COMPLETE
14,1358.9242608420418,0.6817146686203165,True,False,True,True,True,True,False,True,True,True,large,1.0,0.1343937484542946,9,71,0.08383125001023797,795,91,large,6.222377348678937e-07,1.0547510697737837e-08,idw,0.6204939225058077,2,True,COMPLETE
15,1012.4252413177545,0.5846507243664507,True,True,False,False,False,False,False,True,False,False,large,,0.04439595726013818,12,87,0.16087938121428097,437,54,none,1.0756519875474357e-08,0.00019744250687802034,mean,0.5069187582242378,0,True,COMPLETE
16,1081.4961185454151,0.7285073180323826,True,True,True,False,True,False,False,True,False,False,small,,0.030506737487634217,7,95,0.057800710100970557,575,116,large,6.205733239029045e-05,0.013173183265259616,max,0.7945618668852904,6,True,COMPLETE
17,986.1975026663625,0.5919240560435967,True,False,False,True,False,False,False,True,True,True,small,,0.06182885168202515,16,68,0.003080128325503681,894,81,none,0.052271419810494144,0.00023459553098709353,None,0.9725158228894438,6,True,COMPLETE
18,1647.4581639984192,0.5625582297548948,False,True,True,False,True,True,False,False,False,False,large,6.0,0.010560599976935066,12,38,0.13671126782026372,752,113,large,0.0010012588341062616,0.5497268589429319,distance_capacity,0.5732758566461351,0,False,COMPLETE
19,1447.1889538568496,0.7625350105475235,True,False,False,True,False,False,False,True,True,True,none,1.0,0.27996878065604297,10,91,0.2570043480036546,598,75,none,4.945919093573912e-07,9.684813336996905e-06,mean,0.8868216047670824,2,True,COMPLETE
20,927.9080075495561,0.6449238080259706,True,False,False,False,True,False,False,True,False,True,large,,0.09183101544520211,13,75,0.04895322268161645,395,49,large,6.723153034185895e-06,1.315053979214137e-06,idw,0.7735370963570729,6,True,COMPLETE
21,938.418460274854,0.6425802385049777,True,False,False,False,True,False,False,True,False,True,large,,0.15335965762293124,13,60,0.05254856253248453,370,61,large,1.1760867118579868e-05,9.399811309169195e-07,idw,0.7787903896733714,6,True,COMPLETE
22,909.4692011005151,0.6471255506337503,True,False,False,False,True,False,False,True,False,True,large,,0.1505886987012425,14,58,0.045120055136495585,404,48,large,9.653599178751193e-06,3.6607524808976747e-07,idw,0.7734708982262819,6,True,COMPLETE
23,911.1549821679461,0.7163908933519868,True,False,False,False,True,False,False,True,False,True,large,,0.09613886592268474,15,44,0.048734440402188904,419,45,large,3.338642777234475e-05,1.329781309322733e-07,idw,0.8356261812282327,6,True,COMPLETE
24,956.271573711162,0.7190957877609657,True,False,False,False,True,False,False,True,False,True,large,,0.0800651969770118,15,40,0.13633658224587464,422,43,large,3.834042190686374e-06,1.209311459902649e-07,idw,0.8320970301677595,6,True,COMPLETE
25,925.6824802539842,0.7864622884080193,True,False,False,False,True,False,False,True,False,True,large,,0.0924439223342381,15,27,0.05892656097973342,405,22,large,3.8329076833538824e-05,5.9358443665962436e-08,idw,0.7556465528942503,6,True,COMPLETE
26,934.7614998858177,0.8124828054426674,False,False,False,False,True,True,False,False,False,True,large,,0.15217951034723987,15,30,0.13108444290048954,488,10,large,0.0001159476799300307,1.0665320453333937e-08,idw,0.7080892380368858,6,False,COMPLETE
27,1940.4863450833352,0.8131059349024865,True,False,False,False,True,False,False,True,False,True,large,1.0,0.05341006421114436,16,30,0.22910106447771755,452,24,large,4.168665236165998e-05,1.531583525369307e-07,idw,0.677584339140761,6,True,COMPLETE
28,1472.6553735027555,0.7010497424296495,True,False,False,False,True,False,False,True,False,True,large,6.0,0.19684105794692053,15,49,0.2986154324185357,587,25,large,3.293112390111462e-05,1.929037183177259e-08,idw,0.8217035925598822,6,True,COMPLETE
29,1142.2681742086768,0.7853756250467736,False,False,False,False,True,False,False,False,False,True,none,,0.04704311533157339,13,25,0.4170356625817619,354,34,large,1.933135519478468e-06,4.060418075477427e-08,max,0.7445618465850989,6,True,COMPLETE
