number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,650.8358766564902,small,0.8935075158653933,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,,0.03101717593115303,10,3,960,medium,1.1394069258832306e-08,0.11116519497221118,short,mean,0.8835025762164859,medium,COMPLETE
1,960.8681708385875,medium,0.8767775345735578,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,6.0,0.03317421125585019,3,9,897,none,0.04759992162095799,0.00011578002140959403,short,population,0.5384740791968025,medium,COMPLETE
2,892.7255609067088,medium,0.7738735080791753,True,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,12.0,0.05891226803930784,3,4,711,medium,6.774944899854155e-06,0.015233352645896875,long,energy,0.5834274607932821,medium,COMPLETE
3,630.1454584053955,small,0.6420511630105512,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,6.0,0.24648649053912863,8,5,962,small,0.0071233847900102915,1.3778283603389847e-07,long,None,0.5240890955456192,medium,COMPLETE
4,593.8022783699307,medium,0.9957941678307676,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,6.0,0.021815976192478714,7,4,982,medium,1.8112829829712563e-06,0.0002948668922837418,short,mean,0.6186422787155734,medium,COMPLETE
5,686.8108404193708,none,0.7721081066336396,False,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,12.0,0.014425746737544704,6,5,817,medium,0.08898880132636507,6.362676172980129e-06,long,idw,0.676749828853427,small,COMPLETE
6,667.0385309582346,small,0.7292583038306306,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False,,0.2503647336557446,9,5,947,small,2.2751424720081934e-07,4.002654247326005e-07,none,population,0.5429581169176684,small,COMPLETE
7,833.2309773611054,none,0.730188821213042,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,,0.25314290811089785,7,4,994,medium,2.1694020997217473e-07,2.7229857955246486e-07,short,idw,0.8070191729231334,medium,COMPLETE
8,561.1700978578775,none,0.6318451282057288,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,1.0,0.013387299134367951,6,8,596,small,3.439002534692765e-08,3.760907206338832e-08,long,distance_energy,0.9845856304701484,medium,COMPLETE
9,878.5325583400357,none,0.5574693609740908,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,6.0,0.025450499024336815,4,5,501,medium,0.0030309129792191543,1.0565766236903888e-07,short,idw,0.5351563045831993,small,COMPLETE
10,734.071059072193,none,0.5420158494832412,False,False,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,1.0,0.010066883679736408,5,9,324,small,0.00011420379659253517,1.5631999481354557e-08,none,distance_energy,0.9986151152550344,none,COMPLETE
11,657.7683995928943,medium,0.9863448851687623,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,1.0,0.01894532763495448,7,1,574,none,2.481135986380354e-06,0.0005803992019058006,long,distance_population,0.6821279461786206,none,COMPLETE
12,587.1016041335835,medium,0.6325878566556078,False,False,True,True,False,True,False,True,True,True,False,True,False,False,False,True,False,1.0,0.059095652100726904,6,7,709,small,1.0754669163582728e-08,0.0017541888991104394,short,distance_energy,0.9903208834302357,medium,COMPLETE
13,515.3746528998804,medium,0.632152842600179,False,False,True,True,False,True,False,True,True,True,False,True,False,True,False,True,True,1.0,0.09899018548074731,5,7,696,small,1.2323028635125169e-08,0.005196437415996135,long,distance_energy,0.999989542442332,medium,COMPLETE
14,596.5921085244032,none,0.6370807706537123,False,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,1.0,0.11661015041914184,5,7,508,small,1.2107793289914478e-07,0.4654652098688184,long,distance_energy,0.9027769699549616,medium,COMPLETE
15,639.6035729427532,medium,0.5997722297111547,False,False,True,True,False,True,False,True,True,True,False,True,False,True,False,True,True,1.0,0.11006683705224107,5,7,622,small,6.676049437471481e-05,8.957097498633413e-06,long,max,0.919049463922163,none,COMPLETE
16,580.4763970422583,none,0.5123162437846234,False,False,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,1.0,0.10392852421927094,4,10,393,small,4.877225163425958e-08,0.008776841733841866,long,distance_energy,0.8030173054752242,medium,COMPLETE
17,583.6942411841159,none,0.6914609129713994,False,False,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,1.0,0.15136751742610377,8,8,773,small,3.9010824882292044e-05,1.017718659122567e-05,long,distance_energy,0.949527764510129,medium,COMPLETE
18,818.1602413325348,medium,0.8256108235320601,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,True,True,1.0,0.039062624464314244,4,8,534,none,8.628831792525066e-07,0.006444194012896593,none,energy,0.8454931915240793,small,COMPLETE
19,697.8393151572615,small,0.6847618066796552,False,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,12.0,0.08149077189696877,6,10,656,small,0.5230998025878745,3.1971019922112384e-05,long,None,0.741215738379491,none,COMPLETE
20,534.9316372809499,medium,0.5851710718438705,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,1.0,0.04272418314574025,8,6,431,small,5.0332934627566866e-08,0.07263321876292499,long,distance_population,0.9577459344313661,medium,COMPLETE
21,552.5262076461728,medium,0.572982122087699,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,1.0,0.04356978274694206,8,6,426,small,3.5691595746324237e-08,0.09369608269925804,long,distance_population,0.9517280387158044,medium,COMPLETE
