Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,True
compute_wind_chill,False
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,True
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,medium
precip_lags_option,small
cloud_lags_option,medium
rolling_temp_option,long
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,distance_energy
lags_target,1
n_estimators,696
learning_rate,0.09899018548074731
max_depth,5
min_child_weight,7
subsample,0.999989542442332
colsample_bytree,0.632152842600179
reg_alpha,1.2323028635125169e-08
reg_lambda,0.005196437415996135
