number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,1179.5783505351046,small,0.8647641128109615,True,True,True,False,False,False,False,True,False,True,True,True,True,False,False,False,True,0.012348628660827605,7,5,0.4397737178735012,613,74,none,2.3167658588021395e-08,0.0001328921174211701,short,energy,0.9472448076777245,medium,True,COMPLETE
1,1302.4019130929648,medium,0.8622280457167506,False,True,True,True,False,False,True,True,True,False,True,False,True,False,False,False,True,0.04863865755673672,10,87,0.28684556157446967,301,131,medium,0.0027783427454910934,1.3208827108243848e-07,none,population,0.8249610829244927,none,True,COMPLETE
2,1074.896137203546,none,0.8981431080343367,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,True,0.04145765103103731,9,57,0.4525544773221855,324,73,medium,0.04714159380574387,0.03469833209639447,none,energy,0.8978971226334407,small,False,COMPLETE
3,1165.0852498003999,small,0.6655402802721223,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,0.17244912686555236,15,53,0.2738398588143326,427,81,none,1.1267669554983127e-06,2.7529161600431723e-05,short,distance_population,0.6172122742199774,small,True,COMPLETE
4,1232.321650355838,small,0.9670024989570416,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,True,0.02473150749884752,4,73,0.21260888456373228,875,111,none,0.2001336757242762,0.005530629037991877,short,population,0.7757042936465384,medium,True,COMPLETE
5,1144.519890274608,small,0.839460306564897,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,0.05625457329227104,8,99,0.28280962961307227,797,17,small,4.858792059049734e-06,0.020659714550820878,short,distance_population,0.6280669139517148,medium,False,COMPLETE
6,1028.9197263168387,small,0.9277746737454696,False,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,0.05423887345310104,12,81,0.13500437667645604,469,129,small,3.181294582695215e-08,1.6534424082827013e-07,long,max,0.9697478183604991,medium,True,COMPLETE
7,1127.2913509631182,small,0.7269041522890072,False,False,True,True,False,True,True,False,True,True,True,False,True,False,False,False,False,0.023953657810421056,15,45,0.0016110305338328246,801,14,small,1.155911506225738e-07,0.0032676853305960226,short,distance_population,0.7687762861602736,medium,True,COMPLETE
8,1214.6919853085692,small,0.9723560208222458,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,0.017585281022478763,15,83,0.2886246954365217,441,83,medium,8.913399806478558e-08,0.00319253493532235,short,idw,0.6720512843221664,none,True,COMPLETE
9,1142.1847243467712,medium,0.9740851084123844,True,False,True,True,True,False,False,True,False,True,False,False,False,True,False,True,False,0.030933806580731745,4,81,0.24127519541689607,534,44,none,0.010725167677114266,0.5022266788745114,long,idw,0.7716719412402318,small,False,COMPLETE
10,1116.3905222200317,none,0.5330854747618963,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.1449111120786137,12,29,0.01441048031322667,983,147,small,2.9283331168401174e-05,1.4355885619211142e-08,long,max,0.9884188465315777,medium,False,COMPLETE
11,1026.5453247038845,none,0.8062951706292073,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True,False,True,0.08849798910198937,11,63,0.12669111736491928,306,109,medium,0.0006902534726701702,1.477225076185941e-06,none,max,0.9097009643795482,small,False,COMPLETE
12,979.7104136326711,none,0.7767119445059243,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,0.09379876294810821,12,67,0.12747717338212042,446,110,medium,0.00028138574872864846,9.505140816797004e-07,long,max,0.8852209540779172,small,False,COMPLETE
13,1054.9333507825652,none,0.7732338477711478,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True,False,True,0.09447880404855336,12,63,0.12507449842315188,368,103,medium,0.00014548556124215924,6.399277697368026e-06,none,mean,0.5026207346129257,small,False,COMPLETE
14,1004.3183144054889,none,0.6645658171600266,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,0.26968283644186203,11,38,0.12690766686838578,577,103,medium,0.0007353783233451996,2.639656786542373e-06,long,max,0.8776256756897826,small,False,COMPLETE
15,1222.973731227873,none,0.6237672828781449,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,0.29639590094562046,6,38,0.06881801491644518,649,92,medium,0.00010846688253151433,0.00021296874777904817,long,None,0.8478856085933255,small,False,COMPLETE
16,1116.1047509164591,none,0.6984310057644829,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,0.29759324245264507,13,25,0.16504019964970612,541,59,medium,0.001117795365680047,9.196275373945723e-07,long,distance_energy,0.8529686321761661,small,False,COMPLETE
17,1060.856093501529,none,0.6035535191022475,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,0.17755379326024506,10,8,0.3599390126062675,724,121,medium,9.915831012997564e-06,1.603267743749803e-08,long,max,0.9008459967801108,small,False,COMPLETE
18,1103.4031050876508,none,0.5428827524941677,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,0.09504583838696505,14,20,0.06056776181609749,561,147,medium,0.4712016340581955,1.5026224788650955e-05,long,max,0.7130105246131675,none,False,COMPLETE
19,1091.1813852614132,medium,0.7731224477799659,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,0.13044890193948205,16,42,0.19605325557666756,698,96,medium,0.012045826699119057,9.7176635360415e-07,long,distance_energy,0.818419556394494,small,False,COMPLETE
