Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,medium
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,long
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,max
n_estimators,318
learning_rate,0.12095089355816374
num_leaves,121
max_depth,8
min_child_samples,70
subsample,0.8456461364716128
colsample_bytree,0.7135404958962365
reg_alpha,0.0003204125282514958
reg_lambda,1.0820382215854327e-08
min_split_gain,0.40491423180579
use_base_models_pred_intervals,False
cv_folds_base,40
