date,wind_offshore_rte_actual,wind_offshore_rte_fitted,wind_offshore_rte_lower,wind_offshore_rte_upper
2025-04-06 20:00:00+00:00,914.5,595.3744546173996,499.81503138355714,690.933877851242
2025-04-06 21:00:00+00:00,907.25,586.6432523076596,491.0838290738172,682.202675541502
2025-04-06 22:00:00+00:00,861.25,560.246183001293,464.68675976745055,655.8056062351354
2025-04-06 23:00:00+00:00,704.75,529.1671367171602,433.60771348331775,624.7265599510026
2025-04-07 00:00:00+00:00,618.0,506.9880555496952,411.4286323158528,602.5474787835376
2025-04-07 01:00:00+00:00,500.0,489.3210484091147,393.7616251752723,584.8804716429572
2025-04-07 02:00:00+00:00,428.25,443.6967726732343,348.13734943939187,539.2561959070767
2025-04-07 03:00:00+00:00,324.5,413.8603667865673,318.30094355272485,509.4197900204098
2025-04-07 04:00:00+00:00,288.25,381.2379255095318,285.6785022756893,476.79734874337424
2025-04-07 05:00:00+00:00,201.25,355.51041073885386,259.9509875050114,451.06983397269636
2025-04-07 06:00:00+00:00,188.75,333.9135040321179,238.35408079827545,429.4729272659604
2025-04-07 07:00:00+00:00,178.5,315.52448699398053,219.9650637601381,411.083910227823
2025-04-07 08:00:00+00:00,134.0,294.9704660841224,199.41104285027996,390.52988931796483
2025-04-07 09:00:00+00:00,94.0,260.37949216949664,164.82006893565415,355.9389154033391
2025-04-07 10:00:00+00:00,135.75000000000003,237.43451766366567,141.8750944298232,332.99394089750814
2025-04-07 11:00:00+00:00,179.25,219.65871858375496,124.0992953499125,315.2181418175974
2025-04-07 12:00:00+00:00,192.5,205.49251168122157,109.93308844737913,301.051934915064
2025-04-07 13:00:00+00:00,200.50000000000003,196.02943526387384,100.4700120300314,291.5888584977163
2025-04-07 14:00:00+00:00,230.5,203.24995965116238,107.69053641731995,298.8093828850048
2025-04-07 15:00:00+00:00,248.0,233.1104298269713,137.55100659312888,328.66985306081375
2025-04-07 16:00:00+00:00,251.75,254.2587174177808,158.69929418393835,349.81814065162325
2025-04-07 17:00:00+00:00,320.0,327.62715752115724,232.06773428731478,423.1865807549997
2025-04-07 18:00:00+00:00,371.75,400.4409593355026,304.8815361016602,496.00038256934505
2025-04-07 19:00:00+00:00,474.5,416.1508846602403,320.5914614263978,511.71030789408275
2025-04-07 20:00:00+00:00,481.75,422.18623743320194,326.62681419935944,517.7456606670444
2025-04-07 21:00:00+00:00,445.5,442.91599330166025,347.3565700678178,538.4754165355027
2025-04-07 22:00:00+00:00,389.0,435.53664159574964,339.9772183619072,531.0960648295921
2025-04-07 23:00:00+00:00,312.75,378.51943000896523,282.9600067751228,474.07885324280767
2025-04-08 00:00:00+00:00,255.5,347.08177656342696,251.52235332958452,442.64119979726945
2025-04-08 01:00:00+00:00,208.0,319.15169704989387,223.5922738160514,414.7111202837363
2025-04-08 02:00:00+00:00,128.0,297.07155355934356,201.51213032550112,392.63097679318605
2025-04-08 03:00:00+00:00,83.5,269.7556028364161,174.1961796025736,365.3150260702585
2025-04-08 04:00:00+00:00,56.25,240.41842460358998,144.85900136974755,335.9778478374325
2025-04-08 05:00:00+00:00,48.75,220.38423765127928,124.82481441743687,315.94366088512174
2025-04-08 06:00:00+00:00,50.5,192.78413768649474,97.22471445265228,288.3435609203372
2025-04-08 07:00:00+00:00,27.5,168.21868458469467,72.6592613508522,263.77810781853714
2025-04-08 08:00:00+00:00,67.5,160.90734449187133,65.34792125802886,256.4667677257138
2025-04-08 09:00:00+00:00,48.0,152.16129521575166,56.6018719819092,247.72071844959413
2025-04-08 10:00:00+00:00,64.75,154.02062192087794,58.461198687035505,249.58004515472038
2025-04-08 11:00:00+00:00,30.75,139.9468628852311,44.38743965138866,235.50628611907356
2025-04-08 12:00:00+00:00,5.571428571428498,138.4264122254272,42.866988991584776,233.98583545926968
2025-04-08 13:00:00+00:00,4.428571428571388,150.63384450576135,55.07442127191888,246.1932677396038
2025-04-08 14:00:00+00:00,31.999999999999943,164.07265100208429,68.51322776824185,259.6320742359268
2025-04-08 15:00:00+00:00,102.75,182.14036915939832,86.58094592555585,277.6997923932408
2025-04-08 16:00:00+00:00,281.25,191.8888148149697,96.32939158112725,287.44823804881213
2025-04-08 17:00:00+00:00,486.5,213.1897094483448,117.63028621450235,308.7491326821872
2025-04-08 18:00:00+00:00,527.0,290.23787917464267,194.6784559408002,385.7973024084851
2025-04-08 19:00:00+00:00,597.25,365.2774972889735,269.71807405513107,460.83692052281594
2025-04-08 20:00:00+00:00,621.25,392.69703101170427,297.13760777786183,488.2564542455467
2025-04-08 21:00:00+00:00,577.75,417.1672519696703,321.6078287358278,512.7266752035127
2025-04-08 22:00:00+00:00,492.25,406.3183021184516,310.7588788846091,501.877725352294
2025-04-08 23:00:00+00:00,430.5,393.770239658472,298.21081642462957,489.32966289231445
2025-04-09 00:00:00+00:00,391.5,421.32467592633606,325.7652526924936,516.8840991601785
2025-04-09 01:00:00+00:00,432.5,428.4088116371654,332.8493884033229,523.9682348710078
2025-04-09 02:00:00+00:00,421.25,444.1692478042612,348.6098245704187,539.7286710381036
2025-04-09 03:00:00+00:00,476.75,444.65077592083327,349.09135268699083,540.2101991546757
2025-04-09 04:00:00+00:00,508.5,453.39976839099165,357.8403451571492,548.9591916248341
2025-04-09 05:00:00+00:00,554.5,453.45464511053905,357.8952218766966,549.0140683443815
