number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,1265.9844200232687,0.15963752910009468,small,True,True,True,True,True,False,True,True,False,True,False,False,True,False,False,True,True,0.5440818315659385,12.0,small,short,idw,none,COMPLETE
1,1254.2299575464106,0.7123847082463668,medium,True,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,0.7491026601760571,,small,none,energy,small,COMPLETE
2,1268.3506048289348,0.12350870472138814,medium,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,0.27327216765008444,6.0,medium,none,population,small,COMPLETE
3,1209.2628663034066,0.8396462894614499,small,False,False,True,False,True,True,False,False,True,False,True,True,True,False,True,False,False,0.9702735748782245,6.0,none,short,distance_energy,medium,COMPLETE
4,1190.790633027337,0.4655856050690703,small,False,False,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False,0.9975632279480288,6.0,medium,long,energy,small,COMPLETE
5,1201.6480937394524,0.9890779650761242,small,False,False,True,True,False,False,True,True,False,True,True,True,True,False,False,True,False,0.5648521974609673,6.0,none,short,distance_energy,medium,COMPLETE
6,1279.885561153359,0.2980164265670607,none,True,False,False,False,True,True,True,True,False,True,True,False,True,False,True,True,True,0.5432429692701581,,none,short,distance_energy,medium,COMPLETE
7,1246.9936392593947,0.2404655366940653,medium,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,0.9098091229953074,,none,short,None,medium,COMPLETE
8,1247.9486066536213,0.05580446395417774,small,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,0.5657263163990233,,none,long,energy,none,COMPLETE
9,1254.4824714396855,0.7931718892650428,small,True,False,True,True,True,False,True,False,False,True,True,True,False,True,True,False,True,0.4974304412211597,,none,long,energy,none,COMPLETE
10,1314.4802168669569,0.48497864899163246,none,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,0.010464195341111648,1.0,medium,long,distance_population,small,COMPLETE
11,1153.5474592974217,0.987434104944461,small,False,False,False,True,False,False,False,True,False,True,True,True,True,False,False,True,False,0.8122844936382272,6.0,medium,long,mean,small,COMPLETE
12,1177.7689313582757,0.5039274254128121,small,False,False,False,True,False,False,False,True,False,True,True,True,True,True,False,False,False,0.8064968278968581,6.0,medium,long,mean,small,COMPLETE
13,1153.5474592974217,0.6425238704705071,small,False,False,False,True,False,False,False,True,False,True,True,True,True,False,False,True,False,0.7666361219225228,6.0,medium,long,mean,small,COMPLETE
14,1151.6678078668797,0.6389094156725744,small,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,0.7212362351894565,12.0,medium,long,mean,small,COMPLETE
15,1150.3052019707975,0.9999127783355584,none,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,0.6989610480822177,12.0,medium,long,max,small,COMPLETE
16,1168.6593534609976,0.6241029660052521,none,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,0.6779965455158795,12.0,medium,none,max,small,COMPLETE
17,1150.3052019707975,0.8647959424112968,none,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,0.3668727740493125,12.0,medium,long,max,small,COMPLETE
18,1190.6589962041828,0.8838592891891947,none,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,True,False,0.36573585761179067,12.0,small,long,max,small,COMPLETE
19,1152.8605079204629,0.9289672089290609,none,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,True,False,0.2300002900679414,12.0,medium,long,max,none,COMPLETE
