Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,True
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,True
temp_lags_option,none
precip_lags_option,none
cloud_lags_option,small
rolling_temp_option,short
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,energy
lags_target,12
n_estimators,372
learning_rate,0.015612108372764147
num_leaves,109
max_depth,11
min_child_samples,48
subsample,0.7680993746055464
colsample_bytree,0.6990227592099103
reg_alpha,6.015786909476981e-05
reg_lambda,0.0013502274457334637
min_split_gain,0.005659652609424248
