Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,0
lags_choice,large
precip_lags_choice,small
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,distance_n_turbines
lags_target,
n_estimators,406
learning_rate,0.031177323680855008
max_depth,8
min_child_weight,8
subsample,0.7697399557947064
colsample_bytree,0.9337265234531217
reg_alpha,0.8729481408859937
reg_lambda,1.0594132831848903e-07
