Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,none
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,mean
n_estimators,907
learning_rate,0.027962942844265162
num_leaves,141
max_depth,16
min_child_samples,21
subsample,0.6763249729072501
colsample_bytree,0.6720300417892343
reg_alpha,2.1580478604189775e-07
reg_lambda,1.2897729139486918e-07
min_split_gain,0.017815751033250782
use_base_models_pred_intervals,False
cv_folds_base,40
