date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2025-03-21 10:00:00+00:00,13625.0,11208.986,10983.515082686275,11434.45777996306
2025-03-21 11:00:00+00:00,13471.0,11429.471,11203.999740994075,11654.942438270862
2025-03-21 12:00:00+00:00,12357.0,11016.522,10791.051120454074,11241.993817730861
2025-03-21 13:00:00+00:00,10613.75,9496.441,9270.96969852554,9721.912395802325
2025-03-21 14:00:00+00:00,8085.0,7258.042,7032.570777273328,7483.513474550113
2025-03-21 15:00:00+00:00,5003.75,3944.8286,3719.357143411834,4170.29984068862
2025-03-21 16:00:00+00:00,1704.75,1538.3816,1312.9103031433308,1763.8530004201166
2025-03-21 17:00:00+00:00,93.75,101.05595,-124.4153333053041,326.52736397148146
2025-03-21 18:00:00+00:00,0.0,5.501258,-219.96998955710887,230.9727077196767
2025-03-21 19:00:00+00:00,0.0,3.0058966,-222.46534778129217,228.4773494954934
2025-03-21 20:00:00+00:00,0.0,2.6726446,-222.7986383265852,228.14405895020082
2025-03-21 21:00:00+00:00,0.0,2.6726446,-222.7986383265852,228.14405895020082
2025-03-21 22:00:00+00:00,0.0,2.6726446,-222.7986383265852,228.14405895020082
2025-03-21 23:00:00+00:00,0.0,2.4975958,-222.97380855010988,227.96888872667614
2025-03-22 00:00:00+00:00,0.0,4.5820684,-220.88928289016667,230.05341438661935
2025-03-22 01:00:00+00:00,0.0,7.0769415,-218.3943917865795,232.54830549020653
2025-03-22 02:00:00+00:00,0.0,21.619179,-203.85222695015864,247.09047032662738
2025-03-22 03:00:00+00:00,0.0,10.439246,-215.03205773609807,235.91063954068795
2025-03-22 04:00:00+00:00,0.0,19.063026,-206.40831085183027,244.5343864249553
2025-03-22 05:00:00+00:00,275.5,179.73538,-45.735875706970546,405.2068215698155
2025-03-22 06:00:00+00:00,2129.75,1642.6919,1417.2204926775685,1868.1631899543543
2025-03-22 07:00:00+00:00,4922.75,4518.781,4293.309387599305,4744.2520848760905
2025-03-22 08:00:00+00:00,7709.25,7515.5254,7290.05418951311,7740.996886789895
2025-03-22 09:00:00+00:00,9861.75,9611.07,9385.599224317688,9836.541921594473
2025-03-22 10:00:00+00:00,11127.25,11194.188,10968.716702202912,11419.659399479699
2025-03-22 11:00:00+00:00,11759.0,11568.7,11343.22877161624,11794.171468893026
2025-03-22 12:00:00+00:00,11359.5,11006.271,10780.800626094007,11231.743323370794
2025-03-22 13:00:00+00:00,9907.5,9444.903,9219.431348920414,9670.3740461972
2025-03-22 14:00:00+00:00,7995.25,7255.411,7029.939954076284,7480.882651353069
2025-03-22 15:00:00+00:00,5169.25,3772.3213,3546.8498576252014,3997.7925549019874
2025-03-22 16:00:00+00:00,1845.25,1529.7633,1304.2920449260666,1755.2347422028527
2025-03-22 17:00:00+00:00,110.0,197.27737,-28.19386240261565,422.74883487417037
2025-03-22 18:00:00+00:00,0.0,7.374305,-218.09706952718352,232.8456277496025
2025-03-22 19:00:00+00:00,0.0,6.0713263,-219.40010242990866,231.5425948468769
2025-03-22 20:00:00+00:00,0.0,10.453895,-215.01734343732187,235.9253538394637
2025-03-22 21:00:00+00:00,0.0,12.010779,-213.4606640509328,237.48203322585277
2025-03-22 22:00:00+00:00,0.0,12.010779,-213.4606640509328,237.48203322585277
2025-03-22 23:00:00+00:00,0.0,12.010779,-213.4606640509328,237.48203322585277
2025-03-23 00:00:00+00:00,0.0,13.449256,-212.0221661753485,238.92053110143752
2025-03-23 01:00:00+00:00,0.0,11.942908,-213.52839653736237,237.4143007394232
2025-03-23 02:00:00+00:00,0.0,14.5474,-210.92396565399804,240.01873162278798
2025-03-23 03:00:00+00:00,0.0,24.111366,-201.35990500984963,249.58279226693594
2025-03-23 04:00:00+00:00,0.0,21.382362,-204.08905709236387,246.85364018442215
2025-03-23 05:00:00+00:00,148.5,270.18753,44.71618871371038,495.65888599049595
2025-03-23 06:00:00+00:00,1161.0,2024.323,1798.8517135352354,2249.794410812021
2025-03-23 07:00:00+00:00,2808.5,4726.052,4500.580255265746,4951.522952542533
2025-03-23 08:00:00+00:00,4925.25,7834.2744,7608.803270650493,8059.745967927278
2025-03-23 09:00:00+00:00,7346.5,9376.15,9150.679138229669,9601.621835506454
2025-03-23 10:00:00+00:00,8751.5,9176.7,8951.228453242113,9402.171150518898
2025-03-23 11:00:00+00:00,8799.5,8600.334,8374.862363374472,8825.805060651257
2025-03-23 12:00:00+00:00,7883.75,7309.7827,7084.311390096549,7535.254087373334
2025-03-23 13:00:00+00:00,6587.25,6202.722,5977.250758840105,6428.193456116891
2025-03-23 14:00:00+00:00,4291.25,4899.3945,4673.9228694582935,5124.8655667350795
2025-03-23 15:00:00+00:00,2390.75,3220.3826,2994.9111386479244,3445.8538359247104
2025-03-23 16:00:00+00:00,826.0,1362.3015,1136.8302454776892,1587.772942754475
2025-03-23 17:00:00+00:00,64.0,86.33402,-139.1373395712103,311.8053577055757
2025-03-23 18:00:00+00:00,0.0,-5.4250116,-230.89640741968287,220.04628985710315
2025-03-23 19:00:00+00:00,0.0,11.9189825,-213.55245324805992,237.3902440287261
2025-03-23 20:00:00+00:00,0.0,16.74833,-208.72312696563404,242.21957031115153
2025-03-23 21:00:00+00:00,0.0,22.2454,-203.22605179113225,247.71664548565332
2025-03-23 22:00:00+00:00,0.0,-0.92696476,-226.39826963986798,224.54442763691804
2025-03-23 23:00:00+00:00,0.0,3.794959,-221.6763810945372,229.26631618224883
2025-03-24 00:00:00+00:00,0.0,-8.507043,-233.97846911252464,216.96422816426093
2025-03-24 01:00:00+00:00,0.0,4.324256,-221.14713345919472,229.7955638175913
2025-03-24 02:00:00+00:00,0.0,33.011757,-192.45962273271107,258.48307454407495
2025-03-24 03:00:00+00:00,0.0,6.2053595,-219.26603881883784,231.67665845794772
2025-03-24 04:00:00+00:00,0.0,11.413367,-214.0578777330029,236.88481954378267
2025-03-24 05:00:00+00:00,107.0,194.85281,-30.61845185649463,420.32424542029094
2025-03-24 06:00:00+00:00,899.0,1583.1149,1357.6435231248217,1808.5862204016075
2025-03-24 07:00:00+00:00,2278.5,4144.5347,3919.0633433654375,4370.0060406422235
2025-03-24 08:00:00+00:00,3720.25,6861.6226,6636.151219025112,7087.0939163018975
2025-03-24 09:00:00+00:00,5097.75,9196.249,8970.777450187465,9421.72014746425
2025-03-24 10:00:00+00:00,6414.0,10083.857,9858.385526093116,10309.328223369901
2025-03-24 11:00:00+00:00,7436.0,10403.267,10177.795115753335,10628.73781303012
2025-03-24 12:00:00+00:00,7744.5,9979.518,9754.046199911698,10204.988897188483
2025-03-24 13:00:00+00:00,7314.75,8472.907,8247.435601732506,8698.378299009291
2025-03-24 14:00:00+00:00,5760.25,6192.044,5966.572382014042,6417.515079290828
2025-03-24 15:00:00+00:00,3478.0,3338.617,3113.1456676402113,3564.0883649169973
2025-03-24 16:00:00+00:00,1244.5,1193.5989,968.1275401658631,1419.070237442649
2025-03-24 17:00:00+00:00,103.0,74.13334,-151.33806241985167,299.60463485693435
2025-03-24 18:00:00+00:00,0.0,41.39628,-184.07504159362907,266.86765568315695
2025-03-24 19:00:00+00:00,0.0,10.936072,-214.53527498218227,236.40742229460375
2025-03-24 20:00:00+00:00,0.0,3.638709,-221.8326329339211,229.11006434286446
2025-03-24 21:00:00+00:00,0.0,3.150916,-222.32054039651211,228.6221568802739
2025-03-24 22:00:00+00:00,0.0,0.68241024,-224.78903918642118,226.1536580903644
2025-03-24 23:00:00+00:00,0.0,2.4429083,-223.02846165984965,227.91423561693637
2025-03-25 00:00:00+00:00,0.0,5.545203,-219.9260802210788,231.01661705570677
2025-03-25 01:00:00+00:00,0.0,6.5405645,-218.9308797911608,232.01181748562522
2025-03-25 02:00:00+00:00,0.0,20.643837,-204.8275747547441,246.11512252204193
2025-03-25 03:00:00+00:00,0.0,19.858192,-205.61327159732627,245.3294256794593
2025-03-25 04:00:00+00:00,0.0,4.685584,-220.78581567813808,230.15688159864794
2025-03-25 05:00:00+00:00,184.75,241.6973,16.2260364390645,467.16873371585007
2025-03-25 06:00:00+00:00,1246.25,1869.0938,1643.6224011360314,2094.5650984128174
2025-03-25 07:00:00+00:00,2863.0,4865.503,4640.031635291638,5090.974332568423
2025-03-25 08:00:00+00:00,4845.5,8259.13,8033.658328063613,8484.601025340398
2025-03-25 09:00:00+00:00,6733.25,9902.206,9676.734471418644,10127.677168695429
2025-03-25 10:00:00+00:00,8625.75,10217.031,9991.559272428478,10442.501969705265
2025-03-25 11:00:00+00:00,10199.75,9778.086,9552.613989355632,10003.556686632417
2025-03-25 12:00:00+00:00,9864.5,8919.551,8694.079499349113,9145.022196625898
2025-03-25 13:00:00+00:00,8613.5,7352.5186,7127.0473191894125,7577.990016466198
2025-03-25 14:00:00+00:00,6397.25,5206.1343,4980.662747191422,5431.605444468208
2025-03-25 15:00:00+00:00,4002.5,3023.585,2798.113581865873,3249.056279142659
2025-03-25 16:00:00+00:00,1485.5,1193.1415,967.6701123221658,1418.6128095989516
2025-03-25 17:00:00+00:00,112.25,108.99882,-116.47241468980246,334.47028258698356
2025-03-25 18:00:00+00:00,0.0,-9.753381,-235.22474686282794,215.71795041395762
2025-03-25 19:00:00+00:00,0.0,3.275916,-222.19535207676608,228.74734520001948
2025-03-25 20:00:00+00:00,0.0,5.450721,-220.02067214178214,230.92202513500342
2025-03-25 21:00:00+00:00,0.0,5.0303106,-220.44108067824118,230.5016165985444
2025-03-25 22:00:00+00:00,0.0,2.624549,-222.84675174797985,228.09594552880571
2025-03-25 23:00:00+00:00,0.0,3.669959,-221.8013358539847,229.14136142280086
2025-03-26 00:00:00+00:00,0.0,-8.316125,-233.78741678873394,217.15528048805209
2025-03-26 01:00:00+00:00,0.0,2.5041876,-222.96726886176475,227.97542841502082
2025-03-26 02:00:00+00:00,0.0,0.584754,-224.88666739099926,226.05602988578676
2025-03-26 03:00:00+00:00,0.0,41.963905,-183.50749006940896,267.4352072073766
2025-03-26 04:00:00+00:00,0.5,28.98539,-196.48596871049995,254.45672856628607
2025-03-26 05:00:00+00:00,285.5,330.81253,105.34120171380482,556.2838989905908
2025-03-26 06:00:00+00:00,1461.0,1916.4028,1690.931440864378,2141.8741381411637
2025-03-26 07:00:00+00:00,2809.25,4530.1553,4304.684007673804,4755.62670495059
2025-03-26 08:00:00+00:00,4129.25,7148.796,6923.324349230239,7374.267046507024
2025-03-26 09:00:00+00:00,5010.75,8573.929,8348.456970320069,8799.399667596852
2025-03-26 10:00:00+00:00,5528.5,9623.689,9398.217552979213,9849.160250255998
