number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,341.6458024539657,0.9669324419967151,0.10191686164943224,11,15,0.11031938304895361,645,143,1.9685588661009725e-07,1.923732232737527e-06,0.5047625113061855,False,COMPLETE
1,341.72235716685555,0.9123330204863433,0.09309091005017996,7,61,0.2467017731081545,367,104,0.018690331321839174,2.633264725680276e-08,0.5716170320440276,False,COMPLETE
2,333.78268359039345,0.8662552639707448,0.05902177341053598,4,29,0.03125073192436845,680,17,0.01302970251905426,3.1307670505069093e-06,0.5890421563947275,True,COMPLETE
3,333.219711952896,0.8544636366763573,0.018041595355088327,11,7,0.2622088502406106,442,70,0.09687263333877821,0.15060559840239351,0.7243181396288316,False,COMPLETE
4,336.4926354573015,0.9255147582498486,0.0834005983889984,16,67,0.4632072164450432,717,28,0.14304937308451995,0.9681441453655786,0.7061857688330048,True,COMPLETE
5,335.89101470641606,0.6922388705913447,0.05595424289385541,9,46,0.06122848454796692,373,24,0.24906995912745936,0.6615897761965596,0.6260752495611379,False,COMPLETE
6,315.4760413784767,0.6415884483355847,0.014259185677763592,3,93,0.21046924799615302,887,130,1.2080836447718985e-05,7.114739268717305e-05,0.8802277563443877,False,COMPLETE
7,336.0491376845747,0.8336810051653616,0.03959930969184216,13,13,0.39417559104844524,682,30,1.5599944270037463e-06,3.3339317918510968e-06,0.939380922796361,True,COMPLETE
8,342.19083579044576,0.5335701450398365,0.04071338932118019,13,98,0.2553314553507215,733,37,0.006409914131070119,1.4505345229633449e-05,0.7975291041172675,False,COMPLETE
9,330.8547673051785,0.8042605455628629,0.06341477797109787,8,6,0.1212659497853747,480,76,0.24221924169728934,0.7382960758331921,0.8019864540330379,True,COMPLETE
10,326.6557475350635,0.6517868063992747,0.22821708922320388,3,96,0.34369877042203306,969,150,5.882026206709957e-05,0.0019239402296950246,0.953285486526396,False,COMPLETE
11,327.3453567327218,0.6541315604077603,0.22887468298495106,3,99,0.36328598421024977,981,149,4.286703902694623e-05,0.001702288524324462,0.9902294787583021,False,COMPLETE
12,331.7248673633418,0.5849809603862707,0.010344486019295898,5,77,0.1920249674952002,994,120,0.00010819101539388287,0.00174195283587302,0.8862228637825817,False,COMPLETE
13,352.9364997649236,0.728482409769662,0.25421201934602256,6,85,0.3299738404992351,858,125,0.00012842899997411267,0.0007762180865838548,0.8743978958922642,False,COMPLETE
14,320.5271147434226,0.6179074723960024,0.021856472765596675,3,85,0.48183526797349796,863,104,2.168832790693985e-06,0.017718029559598027,0.9846356108649834,False,COMPLETE
15,329.02078634219106,0.5739673585368287,0.021756968582859856,5,81,0.4962153375600928,857,100,2.3237078653240273e-06,0.01263177131399481,0.8772239100998422,False,COMPLETE
16,317.9199624338303,0.6090857461955255,0.01043217207270218,3,46,0.17299814512981423,845,94,1.2796458236683824e-08,7.324347923239704e-05,0.9900538605936202,False,COMPLETE
17,333.03306044751866,0.5106551845964271,0.010190504372229348,6,43,0.1769667450380774,789,57,3.464080479258239e-08,6.216764440260895e-05,0.8297614719064157,False,COMPLETE
18,335.977245918505,0.737234122044939,0.01453464710379006,5,36,0.15305805077840295,591,124,2.5671915473066104e-08,1.1441752858441629e-07,0.9229937695665865,True,COMPLETE
19,339.2862529786207,0.7807443354752759,0.03128874932996897,8,53,0.21297679131934588,897,92,0.0007646243938197205,0.00011014714311744095,0.9976738108087483,False,COMPLETE
