date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2025-04-09 00:00:00+00:00,,10.451929,-129.5022554015045,150.4061854934605
2025-04-09 01:00:00+00:00,,10.774561,-129.1797181673919,150.72872272757309
2025-04-09 02:00:00+00:00,,26.4042,-113.55000563413068,166.3584352608343
2025-04-09 03:00:00+00:00,,6.9616942,-132.99255010642855,146.91589078853644
2025-04-09 04:00:00+00:00,,40.18728,-99.76697340730288,180.1414674876621
2025-04-09 05:00:00+00:00,,843.5995,703.6452646289147,983.5537055238796
2025-04-09 06:00:00+00:00,,2252.1736,2112.219468305217,2392.127909200182
2025-04-09 07:00:00+00:00,,4137.853,3997.898922569448,4277.807363464413
2025-04-09 08:00:00+00:00,,6855.227,6715.272645708508,6995.181086603472
2025-04-09 09:00:00+00:00,,9592.365,9452.411627286709,9732.320068181674
2025-04-09 10:00:00+00:00,,9386.941,9246.9873977814,9526.895838676366
2025-04-09 11:00:00+00:00,,9470.5625,9330.608135998295,9610.51657689326
2025-04-09 12:00:00+00:00,,7261.45,7121.496009148319,7401.404450043283
2025-04-09 13:00:00+00:00,,5783.291,5643.337026111631,5923.245467006596
2025-04-09 14:00:00+00:00,,5197.4263,5057.471910898708,5337.380351793674
2025-04-09 15:00:00+00:00,,3919.241,3779.286719942658,4059.1951608376226
2025-04-09 16:00:00+00:00,,1306.2283,1166.2740279366735,1446.1824688316387
2025-04-09 17:00:00+00:00,,270.0331,130.07889180134453,409.9873326963095
2025-04-09 18:00:00+00:00,,-3.8243165,-143.77854868061058,136.1298922143544
2025-04-09 19:00:00+00:00,,-10.847631,-150.80190741136585,129.10653348359915
2025-04-09 20:00:00+00:00,,-9.270117,-149.22439105427657,130.68404984068843
2025-04-09 21:00:00+00:00,,-9.650122,-149.6043664259705,130.30407446899426
2025-04-09 22:00:00+00:00,,-9.270117,-149.22439105427657,130.68404984068843
2025-04-09 23:00:00+00:00,,-9.551733,-149.50592629479206,130.4025146001727
2025-04-10 00:00:00+00:00,,-17.929663,-157.88394140881974,122.02449948614526
2025-04-10 01:00:00+00:00,,-7.6164308,-147.57070289011745,132.33773800484732
2025-04-10 02:00:00+00:00,,-2.962378,-142.9166231514232,136.99181774354156
2025-04-10 03:00:00+00:00,,-2.11167,-142.06583178429082,137.84260911067418
2025-04-10 04:00:00+00:00,,64.30117,-75.6530293886708,204.2554115062942
2025-04-10 05:00:00+00:00,,707.9453,567.9911408440571,847.8995817390221
2025-04-10 06:00:00+00:00,,1838.2958,1698.3415893689944,1978.2500302639594
2025-04-10 07:00:00+00:00,,2573.7688,2433.8146065033593,2713.723047398324
2025-04-10 08:00:00+00:00,,5277.027,5137.0726864158105,5416.981127310775
2025-04-10 09:00:00+00:00,,7332.121,7192.166833232415,7472.075274127381
2025-04-10 10:00:00+00:00,,10276.78,10136.826801436751,10416.735242331719
2025-04-10 11:00:00+00:00,,10505.077,10365.123780990736,10645.032221885702
2025-04-10 12:00:00+00:00,,9917.378,9777.423826564358,10057.332267459324
2025-04-10 13:00:00+00:00,,8452.904,8312.949965821514,8592.85840671648
2025-04-10 14:00:00+00:00,,7033.788,6893.83385356416,7173.742294459125
2025-04-10 15:00:00+00:00,,4848.23,4708.275958173674,4988.184399068639
2025-04-10 16:00:00+00:00,,2149.194,2009.2399348389372,2289.1483757339024
2025-04-10 17:00:00+00:00,,384.2892,244.3350118115277,524.2434527064927
2025-04-10 18:00:00+00:00,,8.198389,-131.7557744547471,148.15266644021813
2025-04-10 19:00:00+00:00,,-78.17014,-218.12435317354812,61.78408772141688
2025-04-10 20:00:00+00:00,,7779.025,7639.070536698528,7918.978977593493
2025-04-10 21:00:00+00:00,,6920.094,6780.139920371354,7060.048361266317
2025-04-10 22:00:00+00:00,,7207.433,7067.478710308284,7347.387151203249
2025-04-10 23:00:00+00:00,,6589.6367,6449.682585650962,6729.591026545926
2025-04-11 00:00:00+00:00,,-0.21469727,-140.16895938224752,139.73948151271748
2025-04-11 01:00:00+00:00,,-155.8248,-295.7791245893827,-15.870683694417949
2025-04-11 02:00:00+00:00,,5.0155272,-134.93873094042647,144.96970995453853
2025-04-11 03:00:00+00:00,,-7.0851808,-147.03944430066986,132.8689965942949
2025-04-11 04:00:00+00:00,,97.09133,-42.862922138779595,237.04551875618517
2025-04-11 05:00:00+00:00,,1040.5244,900.5702403667156,1180.4786812616805
2025-04-11 06:00:00+00:00,,2313.1526,2173.1982915117405,2453.1067324067053
2025-04-11 07:00:00+00:00,,4025.3472,3885.39281006183,4165.301250956794
2025-04-11 08:00:00+00:00,,6348.577,6208.622675193601,6488.531116088565
2025-04-11 09:00:00+00:00,,8426.248,8286.294428398076,8566.202869293042
2025-04-11 10:00:00+00:00,,8559.292,8419.338121379395,8699.24656227436
2025-04-11 11:00:00+00:00,,8055.651,7915.696495411918,8195.604936306885
2025-04-11 12:00:00+00:00,,7120.1387,6980.184405544398,7260.092846439362
2025-04-11 13:00:00+00:00,,5896.902,5756.947894920859,6036.856335815823
2025-04-11 14:00:00+00:00,,4455.4565,4315.502309029987,4595.410749924951
