number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,805.6444084174101,0.6153492212513002,small,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,0.4630042245754799,12.0,none,long,None,none,COMPLETE
1,812.9834946739861,0.03510452185259067,medium,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,True,0.8754886214740352,12.0,medium,short,distance_energy,small,COMPLETE
2,839.6686625524909,0.9834993261792677,medium,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,0.4669809523811703,1.0,small,long,None,medium,COMPLETE
3,863.9485804063647,0.25766647851887425,medium,True,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,True,0.05869753986638991,1.0,medium,long,None,none,COMPLETE
4,829.9274703374175,0.8058040632067928,none,False,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,0.09651618425267788,12.0,none,none,distance_population,medium,COMPLETE
5,773.611000002185,0.9357412558696243,small,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,0.11394790007194901,12.0,medium,none,None,none,COMPLETE
6,835.8323808231404,0.27029998072126804,medium,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,0.7803762819022046,6.0,medium,long,distance_energy,medium,COMPLETE
7,803.3447242751075,0.6883130041535,medium,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,0.8345956338758148,6.0,none,none,distance_energy,medium,COMPLETE
8,847.1995187521497,0.4372730822355033,medium,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,True,0.06900664184561178,,small,none,distance_population,medium,COMPLETE
9,808.2481852958934,0.5238256743126062,none,False,True,False,False,True,True,True,False,True,False,True,False,False,True,False,False,True,0.9150127036017225,1.0,medium,long,None,small,COMPLETE
10,787.3781295909313,0.9380880895807191,small,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,0.24950539149133522,,medium,short,mean,none,COMPLETE
11,787.3781295909313,0.9939868559385964,small,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,0.2728896137201779,,medium,short,mean,none,COMPLETE
12,787.3781295909313,0.8117765832847599,small,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,0.2526680753253942,,medium,short,mean,none,COMPLETE
13,822.1038062433641,0.8120324063003715,small,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,0.27425086986481756,12.0,medium,none,population,none,COMPLETE
14,804.1087295210608,0.8940192854267641,small,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,0.6165217974707407,,medium,short,max,none,COMPLETE
15,797.148920890651,0.6665979177571244,small,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,0.19119092732497894,,small,short,energy,none,COMPLETE
16,824.9142626219599,0.8957100491137281,small,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,True,0.4005254064558629,12.0,medium,none,idw,none,COMPLETE
17,751.2920622093233,0.7396346184828668,small,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,0.6349743806308701,6.0,medium,short,mean,small,COMPLETE
18,800.8840552291354,0.7596042628227601,none,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,0.6219995570933595,6.0,small,none,energy,small,COMPLETE
19,776.2113436890501,0.5349091732753353,small,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,0.7074004821528534,6.0,none,short,max,small,COMPLETE
20,758.5582692059874,0.3785753081685054,small,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,0.9778936363314663,6.0,medium,none,population,small,COMPLETE
21,758.5582692059874,0.3339918533270136,small,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,0.9884244770582196,6.0,medium,none,population,small,COMPLETE
