Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,short
drop_basic_meteo_features,False
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,None
lags_target,6
n_estimators,702
learning_rate,0.1917353962461976
num_leaves,74
max_depth,11
min_child_samples,58
subsample,0.8666968865111184
colsample_bytree,0.542631129996816
reg_alpha,0.0026939310697911127
reg_lambda,0.00162661729138141
min_split_gain,0.15453819587950612
