number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,532.9206822655957,none,0.6050689024763232,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,1.0,0.2687845347477281,12,20,0.04939781443251878,626,32,small,0.24840702916598545,7.840297201391376e-07,short,max,0.8552436621903674,medium,COMPLETE
1,503.0666369246619,small,0.6688439244410738,True,True,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,6.0,0.1881457733200059,9,73,0.0004086300204975135,622,134,none,2.40573015515839e-06,0.08962629470115392,long,distance_population,0.8009331618248744,small,COMPLETE
2,637.688211209019,medium,0.8957350621717195,False,True,True,True,False,True,False,True,False,False,False,True,False,True,True,False,True,,0.281254538683121,15,70,0.08272468133223498,809,123,medium,0.5001884115862514,0.0002792600207134058,long,distance_population,0.7732550673405991,none,COMPLETE
3,493.3431286605134,none,0.7236476679204566,False,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,6.0,0.059899669259518555,10,77,0.14837877832053348,520,78,none,0.24361383188291538,2.3672278754767143e-06,short,distance_energy,0.6184846857702073,none,COMPLETE
4,626.9079887852007,medium,0.7503103591081344,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,6.0,0.054448115389014395,11,51,0.21669136325127075,436,129,medium,0.016933830207184596,0.09714090381955107,long,mean,0.965209899058687,small,COMPLETE
5,636.5089799082881,medium,0.5931624719346735,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,12.0,0.1549454699792592,10,32,0.1934982604058238,794,42,medium,6.961823487669083e-05,1.6492274090962028e-05,short,distance_energy,0.957679131337394,none,COMPLETE
6,930.6783565109773,none,0.6750073875922808,True,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,True,,0.1681689815761442,7,66,0.08009214012746413,565,90,none,0.0007697053340299336,0.12627816064660105,short,population,0.7435040634020627,medium,COMPLETE
7,739.0060381827071,small,0.9945575119996012,False,False,True,False,False,True,True,False,True,False,True,False,True,True,False,False,False,,0.01048505118820312,14,62,0.47316529683946257,310,61,small,2.4832963096990284e-06,4.4207985302373846e-07,long,None,0.5482898623313395,small,COMPLETE
8,681.1317277425138,small,0.6915425338473835,False,False,False,True,True,True,False,True,False,False,True,True,True,False,False,True,True,1.0,0.1413581205272713,11,30,0.1742042281290619,440,121,medium,0.00040898512597995385,0.06304734120242446,short,mean,0.5701406716306376,medium,COMPLETE
9,596.9849245699165,medium,0.8513510153189101,True,False,True,False,False,True,False,True,True,True,False,False,True,False,False,True,True,1.0,0.016588611728399028,6,81,0.06549014197334241,826,59,medium,2.2938009203625063e-06,5.0812174904091463e-08,none,idw,0.7057118226537725,small,COMPLETE
