Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,2
lags_choice,large
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,None
lags_target,
n_estimators,381
learning_rate,0.013671680832214966
max_depth,5
min_child_weight,9
subsample,0.9537876773542723
colsample_bytree,0.5594644493588441
reg_alpha,5.938885189111592e-08
reg_lambda,0.0016447437968149122
