number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,2747.9146238027865,0.6529811414612325,False,False,False,False,True,True,False,True,False,True,none,1.0,0.10174329769109886,7,4,804,none,4.105222466883905e-05,2.249145563643392e-08,mean,0.5234449984139349,6,True,COMPLETE
1,5807.174791304474,0.9603894119702392,False,True,False,False,True,True,True,False,True,True,large,12.0,0.29253755912432616,4,1,884,small,4.965246337135133e-07,3.272415674968507e-08,mean,0.8779926420876829,6,False,COMPLETE
2,3989.749203002931,0.645724015636135,False,False,True,True,False,True,True,True,True,False,none,6.0,0.08039712912142645,5,2,548,small,0.0002381990114000373,2.5436722914302972e-05,max,0.5848209315334962,0,True,COMPLETE
3,5895.604324570327,0.6963648831033007,True,True,False,False,False,False,True,False,False,True,small,6.0,0.2222342197442383,3,5,464,small,0.0019087424305611028,0.47798762768588493,max,0.6370652635504812,0,False,COMPLETE
4,2639.2429460379612,0.8781806745129839,False,False,False,False,False,False,True,False,True,True,small,6.0,0.06057225614856543,6,7,402,none,1.5929109833136725e-08,5.661473879497617e-07,distance_capacity,0.7889451281283855,2,False,COMPLETE
5,2519.887507313996,0.7684222375693439,True,True,False,True,True,False,True,True,False,True,none,1.0,0.03313324267042506,6,9,669,small,0.00010643379358374562,0.0035902943331488388,distance_capacity,0.6657808101158915,6,True,COMPLETE
6,3302.483131318098,0.8093177158810527,True,False,False,True,False,True,False,False,True,True,small,12.0,0.10429619012278965,8,2,591,large,0.011457786469330152,0.00879479133817777,idw,0.9287780411373217,2,False,COMPLETE
7,3752.729847512345,0.5342618083133857,False,False,True,False,True,False,False,False,False,False,large,6.0,0.03893864306110324,6,1,441,none,0.16757106943188335,0.004676759949652633,distance_capacity,0.9549532440193019,6,True,COMPLETE
8,2223.4120709118815,0.5502377786174971,True,False,False,True,True,False,True,True,True,False,large,6.0,0.12881228830259528,8,3,405,none,0.0069641487897926955,0.005261394894354591,None,0.7695034578850775,0,True,COMPLETE
9,2337.9257024112685,0.7142071188487411,False,False,True,True,True,True,False,True,True,False,small,,0.018854240152700853,7,8,926,none,0.7697778101796837,9.06096942818657e-06,max,0.664357214763972,0,True,COMPLETE
10,1375.941746267582,0.5056239701371128,True,True,True,True,True,False,True,True,True,False,large,,0.16818149704027616,10,4,317,large,2.3931529663266893e-06,0.98859548869799,None,0.790135308417698,0,True,COMPLETE
11,1362.3086098898561,0.5088576770365993,True,True,True,True,True,False,True,True,True,False,large,,0.16395170675280388,10,4,307,large,2.42493671922642e-06,0.6919748539627407,None,0.809921733791654,0,True,COMPLETE
12,1325.9787172983304,0.5128027269633806,True,True,True,True,True,False,True,True,True,False,large,,0.18076442116048522,10,6,307,large,1.9441013298998626e-06,0.8604293480161692,None,0.8524875144276206,0,True,COMPLETE
13,1614.0389608631365,0.5936491565459885,True,True,True,True,True,False,True,True,True,False,large,,0.18237644745887507,10,6,316,large,8.482051357843395e-07,0.06071651355846132,distance_n_turbines,0.877121479231077,0,True,COMPLETE
