date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2025-04-21 10:00:00+00:00,125.25,171.16537,120.05243271901315,222.27832494603044
2025-04-21 11:00:00+00:00,75.25,131.63031,80.51737110343737,182.74326333045468
2025-04-21 12:00:00+00:00,208.25,94.83423,43.72128184419938,145.9471740712167
2025-04-21 13:00:00+00:00,416.5,289.9494,238.83644510983638,341.0623373368537
2025-04-21 14:00:00+00:00,418.0,351.1501,300.03712689184124,402.26301911885855
2025-04-21 15:00:00+00:00,380.0,274.9591,223.84617263995477,326.0720648669721
2025-04-21 16:00:00+00:00,768.25,166.55875,115.4458084477024,217.6717006747197
2025-04-21 17:00:00+00:00,457.25,241.00114,189.88820718630072,292.11409941331806
2025-04-21 18:00:00+00:00,557.0,275.27695,224.16400120460023,326.3898934316175
2025-04-21 19:00:00+00:00,511.5,300.38858,249.27563840201097,351.50153062902825
2025-04-21 20:00:00+00:00,481.75,362.3319,311.21895347594636,413.4448457029637
2025-04-21 21:00:00+00:00,528.75,498.52295,447.4099886497261,549.6358808767434
2025-04-21 22:00:00+00:00,725.0,526.1737,475.0607395814062,577.2866318084235
2025-04-21 23:00:00+00:00,791.0,574.19666,523.0837022651845,625.3095944922018
2025-04-22 00:00:00+00:00,602.5,540.5028,489.38985257922826,591.6157448062456
2025-04-22 01:00:00+00:00,405.5,432.75027,381.63731473179485,483.86320695881216
2025-04-22 02:00:00+00:00,402.75,440.3164,389.2034726289514,491.4293648559687
2025-04-22 03:00:00+00:00,342.75,427.4854,376.3724551725536,478.5983473995709
2025-04-22 04:00:00+00:00,337.5,423.33643,372.2234815627695,474.4493737897868
2025-04-22 05:00:00+00:00,284.0,342.29327,291.180343596973,393.40623582399036
2025-04-22 06:00:00+00:00,143.24999999999997,288.0068,236.89385341401172,339.11974564102906
2025-04-22 07:00:00+00:00,95.25,198.19917,147.0862297759499,249.31212200296721
2025-04-22 08:00:00+00:00,72.0,162.07004,110.957096499577,213.18298872659432
2025-04-22 09:00:00+00:00,45.75,113.33783,62.22487367554379,164.45076590256113
2025-04-22 10:00:00+00:00,22.0,89.99579,38.88284323618063,141.10873546319795
2025-04-22 11:00:00+00:00,14.5,62.87244,11.759482596777389,113.9853748237947
2025-04-22 12:00:00+00:00,25.5,57.097904,5.984959351117311,108.21085157813462
2025-04-22 13:00:00+00:00,23.25,29.726625,-21.386326006914715,80.83956622010265
2025-04-22 14:00:00+00:00,14.0,37.97275,-13.140184382428572,89.08570784458874
2025-04-22 15:00:00+00:00,11.5,31.222383,-19.890572693763204,82.33531953325411
2025-04-22 16:00:00+00:00,8.500000000000057,48.999302,-2.113653582847064,100.1122386441703
2025-04-22 17:00:00+00:00,9.75,60.2255,9.112562980627729,111.33845520764504
2025-04-22 18:00:00+00:00,12.5,141.60498,90.49204838356366,192.71794061058097
2025-04-22 19:00:00+00:00,18.0,57.33237,6.21942417984377,108.44531640686108
2025-04-22 20:00:00+00:00,20.0,31.639925,-19.473016485954588,82.75287574106272
2025-04-22 21:00:00+00:00,22.5,53.621555,2.508620115250835,104.73451234226815
2025-04-22 22:00:00+00:00,32.5,70.72156,19.60860356465861,121.83449579167592
2025-04-22 23:00:00+00:00,35.5,98.27469,47.1617587706686,149.38765099768594
2025-04-23 00:00:00+00:00,39.0,170.01495,118.90200394422874,221.12789617124608
2025-04-23 01:00:00+00:00,36.75,195.75677,144.64383595259673,246.86972817961404
2025-04-23 02:00:00+00:00,42.75,178.74055,127.6276080509715,229.85350027798881
2025-04-23 03:00:00+00:00,73.0,262.58435,211.47140569386522,313.69729792088253
2025-04-23 04:00:00+00:00,127.0,257.88474,206.7717837243424,308.9976759513597
2025-04-23 05:00:00+00:00,121.0,160.77132,109.65837845830032,211.88427068531766
2025-04-23 06:00:00+00:00,101.5,160.92107,109.80811973346357,212.0340119604809
2025-04-23 07:00:00+00:00,51.75,79.38629,28.273338546004027,130.49923077302134
2025-04-23 08:00:00+00:00,32.0,116.75549,65.64255637065452,167.8684485976718
2025-04-23 09:00:00+00:00,38.75,82.684875,31.57193348233858,133.7978257093559
2025-04-23 10:00:00+00:00,33.25,52.362522,1.2495672632239803,103.47545949024129
2025-04-23 11:00:00+00:00,32.0,68.23761,17.124677683764332,119.3505699107817
2025-04-23 12:00:00+00:00,38.25,173.31038,122.19744133789789,224.42333356491517
2025-04-23 13:00:00+00:00,66.25,28.254152,-22.858801085817277,79.36709114120004
2025-04-23 14:00:00+00:00,138.5,84.65372,33.54076504914576,135.76665727616307
2025-04-23 15:00:00+00:00,182.99999999999997,188.82217,137.70922692210246,239.9351191491198
2025-04-23 16:00:00+00:00,342.75,298.18903,247.07607574305982,349.30196797007716
2025-04-23 17:00:00+00:00,830.25,441.19632,390.0833610738627,492.30925330088
2025-04-23 18:00:00+00:00,912.0,382.3604,331.24745259216024,433.4733448191776
2025-04-23 19:00:00+00:00,646.75,401.6203,350.5073500768445,452.7332423038618
