date,gas_tenn_actual,hard_coal_tenn_actual,renewables_tenn_actual,gas_tenn_fitted,hard_coal_tenn_fitted,renewables_tenn_fitted,gas_tenn_lower,hard_coal_tenn_lower,renewables_tenn_lower,gas_tenn_upper,hard_coal_tenn_upper,renewables_tenn_upper
2024-12-31 00:00:00+00:00,2121.75,467.25,590.25,2275.889450863694,499.57982397115256,610.3552034774069,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 01:00:00+00:00,2383.5,510.25,608.0,2015.0858733068562,462.636059616038,619.8661435163656,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 02:00:00+00:00,2418.75,658.75,610.0,1975.7022896316953,482.3397248077492,628.4154885652728,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 03:00:00+00:00,2145.75,744.5,601.0,2105.365743577524,523.288519046707,635.1917617243807,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 04:00:00+00:00,2099.0,762.75,586.75,2133.721091503495,519.0482736734625,637.3776470897287,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 05:00:00+00:00,2131.25,857.5,570.75,2355.3047840763156,455.41733676532255,631.9793674899882,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 06:00:00+00:00,2386.5,886.5,732.75,2373.71936514603,401.12293729121933,679.0953558317457,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 07:00:00+00:00,2726.0,884.75,1384.75,2194.2519496099417,583.3147655173356,937.4507465836048,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 08:00:00+00:00,2954.0,854.75,1257.75,2138.3310283262863,636.5046107298895,928.3778369051884,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 09:00:00+00:00,3180.5,647.0,861.0,1832.316588693316,610.2054104950591,859.444970895261,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 10:00:00+00:00,3389.25,599.5,640.0,1754.6046813854282,571.7219420209467,828.4016972082788,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 11:00:00+00:00,3480.75,582.25,641.0,1672.540401734926,602.9819933548117,826.5593740992606,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 12:00:00+00:00,3468.25,582.5,704.5,1645.6203074874732,596.5874394900352,836.7745172273337,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 13:00:00+00:00,3539.25,582.75,744.0,1650.1642061831947,581.4883000591446,849.7221975312111,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 14:00:00+00:00,3526.0,591.5,769.0,1641.1642813430674,533.8477036008649,898.2149063726442,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 15:00:00+00:00,3549.75,603.25,834.0,1809.558626193959,587.272735677321,1096.5370834328737,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 16:00:00+00:00,3593.75,602.25,1552.25,1879.3494633777407,723.4293430520031,1314.0578719380485,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 17:00:00+00:00,3675.75,577.25,1442.25,1804.7333753534904,802.5434084895686,1362.4160734878635,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 18:00:00+00:00,3024.5,548.25,902.0,1718.6220603360423,631.7155500890653,1057.5553857853797,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 19:00:00+00:00,2210.5,504.0,544.25,1516.152645264046,563.5342350635556,910.109921306675,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 20:00:00+00:00,1804.0,281.75,549.75,1475.8412483573004,610.784747742963,805.2985025305659,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 21:00:00+00:00,1523.25,261.0,546.0,1487.9429473177436,602.4960397319932,694.3345448885999,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 22:00:00+00:00,1470.0,261.0,582.0,1628.6078837563862,596.18547494123,619.9623053585286,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2024-12-31 23:00:00+00:00,1493.5,260.5,620.75,1545.1862741694563,502.9775332595361,585.9450992947606,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 00:00:00+00:00,1480.3333333333333,253.33333333333337,613.6666666666667,1499.777677950387,474.29080880257874,575.1313050265343,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 01:00:00+00:00,1469.25,261.5,604.5,1435.484602824607,444.7585366487563,569.1819007101841,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 02:00:00+00:00,1494.25,262.0,595.25,1372.8210881029313,521.7639013294524,604.6717809467524,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 03:00:00+00:00,1518.0,253.5,592.75,1320.4304730931046,526.1615500570431,618.2204624687907,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 04:00:00+00:00,1516.0,254.0,588.0,1301.9591028538864,542.2287307080505,612.2212576369997,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 05:00:00+00:00,1516.5,255.0,586.25,1230.420131619467,513.4913010712629,601.5768487662234,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 06:00:00+00:00,1523.5,255.25,585.25,1117.8913132182993,595.9441758944076,815.9020804052182,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 07:00:00+00:00,1259.0,259.25,582.0,1170.8312232821647,495.2126387282016,825.7166320391459,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 08:00:00+00:00,1152.0,262.0,610.5,1162.880627051072,557.0119218439473,817.1182711245267,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 09:00:00+00:00,1153.5,261.75,618.5,1079.4699274685374,479.66430245102487,720.5953333370019,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 10:00:00+00:00,1150.75,262.0,619.5,1093.665866429239,472.7406565327761,716.8408321467056,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 11:00:00+00:00,865.5,263.0,636.75,1104.1526872369984,460.9550718309104,787.8635198423299,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 12:00:00+00:00,814.0,263.0,623.25,1142.8902908225764,457.2977027420474,797.3740680541208,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 13:00:00+00:00,818.25,261.5,602.0,1142.827556608565,448.82568185746305,786.2723597769566,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 14:00:00+00:00,819.2500000000001,263.0,597.5,1133.6791223373784,436.15154859980015,797.6955790945292,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 15:00:00+00:00,820.25,262.25,587.75,1098.9531462393134,413.2629057901777,935.4710100037898,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 16:00:00+00:00,820.0,261.5,603.75,1090.8797515365304,455.46589658941394,1159.0353206104123,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 17:00:00+00:00,819.75,261.5,572.0,1156.1267970175772,448.02100356798877,1133.0750430419844,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 18:00:00+00:00,819.2500000000001,261.25,586.5,1183.919969911767,389.78376349874696,885.2378746147847,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 19:00:00+00:00,819.5,261.5,563.25,1199.6576301424868,390.35406898831764,806.5536486517192,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 20:00:00+00:00,819.0,257.75,558.75,1249.2047383512959,405.42135201494074,705.1186186013267,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 21:00:00+00:00,819.0,262.25,570.0,1140.297964606135,390.2433392037814,642.7110526639624,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 22:00:00+00:00,819.5,257.0,615.75,1155.689025404965,346.3027341673045,604.5119710876737,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-01 23:00:00+00:00,819.5,258.25,569.75,1026.8125482915118,309.3679598463205,588.5797773814086,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
2025-01-02 00:00:00+00:00,820.0,258.5,581.25,1068.6414758486112,272.9736501779165,600.1641503003677,1512.7879861111112,781.7451512896827,1269.3715104166668,1512.7879861111112,781.7451512896827,1269.3715104166668
