target,method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
wind_offshore_50hz,trained,XGBoost,2025-01-08T00:00:00+00:00,84967.1403892183,291.49123552727673,223.1283788283666,236075622792.6065,78.31169588820724,-62.39728978134337,81073.71861716136,284.73447037048635,0.6992370092097572,0.4583333333333333,357.41579015294053
wind_offshore_50hz,trained,XGBoost,2025-01-15T00:00:00+00:00,17326.16097862843,131.62887593012573,101.78679666632698,1678014358219.3765,96.23820755922681,-31.999053620156786,16302.221546042765,127.68015329738121,0.9255217003629175,0.8154761904761905,360.9870580783092
wind_offshore_50hz,trained,XGBoost,2025-01-22T00:00:00+00:00,52957.76585552043,230.12554368326963,180.0589676016853,18900207171.95479,66.72856315066036,-125.68041457448687,37162.19924790554,192.77499642823378,0.7941969419226819,0.5416666666666666,351.11578822392084
wind_offshore_50hz,trained,XGBoost,2025-01-29T00:00:00+00:00,23336.81982642113,152.76393496640864,102.23647544497535,188194609930.15173,78.4530717579665,-50.94997025671459,20740.92035726103,144.01708356046177,0.8686230246961508,0.8214285714285714,361.64308408863883
wind_offshore_50hz,trained,XGBoost,2025-02-05T00:00:00+00:00,65040.32438071383,255.03004603519528,201.538640158517,35.63994247413423,56.17895793048638,-76.21521595546177,59231.56523757614,243.37535873127365,0.7643011413222809,0.47023809523809523,357.5687056008146
wind_offshore_50hz,trained,LightGBM,2025-01-08T00:00:00+00:00,63768.40892680222,252.52407593495363,198.48984234514674,320079553310.3856,71.51466023371495,-64.43065712923126,59617.09934869766,244.1661306338323,0.774275357521695,0.8095238095238095,551.5971441800175
wind_offshore_50hz,trained,LightGBM,2025-01-15T00:00:00+00:00,15359.426044711048,123.93315151609374,93.69457775911621,1854723549657.9514,93.6391727259491,-37.810163675849005,13929.817567516557,118.02464813553378,0.9339759144208208,0.9702380952380952,558.0175622420638
wind_offshore_50hz,trained,LightGBM,2025-01-22T00:00:00+00:00,48150.94064164971,219.43322592909604,173.28523709848022,129510183273.16594,66.662286053455,-129.89438742695802,31278.388756625045,176.8569725982695,0.8128770979427952,0.7797619047619048,556.35981630066
wind_offshore_50hz,trained,LightGBM,2025-01-29T00:00:00+00:00,23118.843608123163,152.04881981825167,100.31100194503047,258533753906.46075,78.22238901584804,-51.94250295798958,20420.819994582405,142.90143454347267,0.8698501437492677,0.9345238095238095,563.9628198843818
wind_offshore_50hz,trained,LightGBM,2025-02-05T00:00:00+00:00,66452.07107603674,257.78299221639264,197.10656517757195,37.857918203747175,57.07362491021416,-63.22095597021117,62455.18180224937,249.91034752936775,0.7591851292482649,0.8273809523809523,551.7022043389097
wind_offshore_50hz,trained,ElasticNet,2025-01-08T00:00:00+00:00,100270.61639724235,316.65535902182734,267.61968928943213,550836552996.761,93.56818338467434,-101.40390791379703,89987.86385705252,299.9797724131621,0.6450664299413971,0.8869047619047619,929.7508091894385
wind_offshore_50hz,trained,ElasticNet,2025-01-15T00:00:00+00:00,49884.01120631096,223.34728833435827,188.03372134209562,4450876218271.776,130.236778527064,-42.455723822615084,48081.522721008805,219.27499337819808,0.7855684050087063,0.9761904761904762,931.4309541887602
wind_offshore_50hz,trained,ElasticNet,2025-01-22T00:00:00+00:00,81034.36893739577,284.66536307987275,235.32832253059263,177599291965.39804,91.38081183318275,-135.1516768352521,62768.39318601535,250.5362113268566,0.6850863954083661,0.8809523809523809,930.3680268730405
wind_offshore_50hz,trained,ElasticNet,2025-01-29T00:00:00+00:00,51143.08130677885,226.1483612736976,175.9048584775847,2598007344038.1323,123.76735541875976,21.53655453387219,50679.258125588385,225.12054132306181,0.7120848778976991,0.9464285714285714,935.3865408601317
wind_offshore_50hz,trained,ElasticNet,2025-02-05T00:00:00+00:00,145182.72547896267,381.02851006055005,334.04040269143724,61.2071572114516,88.68126130435037,-172.43843199314568,115447.71265070795,339.77597421052,0.4738740462792177,0.6964285714285714,935.5707277365714
wind_offshore_50hz,trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-08T00:00:00+00:00,76683.39062620557,276.9176603725475,183.15448331265222,344649502296.6812,72.03307116327157,21.045465213911875,76240.4790201356,276.1167851111837,0.7285594666005655,0.4226190476190476,190.14937178338778
wind_offshore_50hz,trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-15T00:00:00+00:00,14200.431966517639,119.16556535559104,87.2954771802539,1942348781348.0671,93.47701257820941,37.76675089768001,12774.104493150227,113.02258399607676,0.9389579706501129,0.6845238095238095,197.81096555874566
wind_offshore_50hz,trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-22T00:00:00+00:00,42008.97152697127,204.9609024350041,165.9914837791806,124469927439.43265,74.04495878300068,-66.34894398280552,37606.7891593378,193.92469971444535,0.8367458546019377,0.375,209.74862915551734
wind_offshore_50hz,trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-29T00:00:00+00:00,22016.84212919231,148.38073368598873,107.69119116238186,644576072862.4836,83.4922374901754,6.255568402154105,21977.709993158285,148.2488111020061,0.876053971955474,0.6130952380952381,200.96308216824485
wind_offshore_50hz,trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-02-05T00:00:00+00:00,74649.58503290305,273.220762448433,186.64902080808366,37.736803186854196,52.354527812343065,34.11223509198143,73485.94044993244,271.0829032785588,0.7294782558274275,0.3333333333333333,195.70297888926564
