number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,208.0905141452647,0.823603593463636,0.281408359702856,8,7,584,8.721036082312184e-06,4.0263658167547674e-07,0.9107194177968437,False,COMPLETE
1,213.45544218423046,0.7234583229000925,0.28678411140072824,3,2,469,0.0003082676179395092,0.7143950453342451,0.9122900526325645,False,COMPLETE
2,167.90392567675812,0.656510091115496,0.021181875555818575,3,6,808,0.8106677874035052,6.051883763750645e-08,0.7695897853488214,True,COMPLETE
3,173.9701294104702,0.6971847967949418,0.047813794495540775,5,8,326,0.0019406396038429842,0.12377886329393745,0.6116061735769931,True,COMPLETE
4,176.00737510718696,0.7264715838353458,0.01559528520379843,5,9,315,0.14789759952626716,8.467483004025284e-06,0.9125656087486784,True,COMPLETE
5,171.915407009973,0.6226745768120464,0.0926190428385038,4,10,379,0.0011510059461928433,0.030676621803203585,0.6631420002066162,True,COMPLETE
6,169.59499604442226,0.9601250709030895,0.07733228816189813,3,5,470,0.0006083370506906192,0.012069941891253003,0.6407352471691732,True,COMPLETE
7,178.87885571904678,0.7075194462596779,0.056053917399020846,4,7,598,0.0019976286875450786,2.986014280023945e-07,0.663023418270499,False,COMPLETE
8,205.57703753224237,0.8504571287515245,0.2816704340046743,8,1,469,1.3596339308792528e-05,0.000447799416200349,0.8617373722382703,True,COMPLETE
9,218.48262913289307,0.7196000142926067,0.12856970017221006,4,6,822,1.4368664535136856e-06,0.019195664560220687,0.6974564944262611,False,COMPLETE
10,178.89487467344694,0.5389881571555537,0.013289300492407294,6,4,972,1.533706711688676e-08,1.1824035485878505e-08,0.7691224909531408,True,COMPLETE
11,185.75461226634317,0.9851206712387252,0.02456723680238986,10,4,760,0.8397947582367271,0.000505417426245123,0.5060576758800863,True,COMPLETE
12,167.96561639460177,0.9773859729793809,0.037421413378729965,3,4,750,0.10424229524300495,3.331289762703477e-05,0.8018722753747693,True,COMPLETE
13,166.94793711563952,0.5978179296827261,0.02917215649194323,3,3,786,0.040657945768994855,7.887315848447844e-06,0.8068065742969808,True,COMPLETE
14,187.3566093539989,0.508528213783427,0.02449383289334688,7,2,915,0.03010178397168468,1.4091466681571434e-08,0.8182844607021084,True,COMPLETE
15,175.49734942304664,0.6088166766037277,0.01996552344891932,5,3,862,0.0292515442442261,1.2017990125310417e-06,0.7392711231295479,True,COMPLETE
16,186.38461233664486,0.6188951956544211,0.03341129578066702,10,6,693,0.8311419448073137,1.1706833746882317e-07,0.9854562335308557,True,COMPLETE
17,176.65519817206663,0.562870795339862,0.010150954690934091,6,5,813,0.01431695971228238,7.394726496487971e-06,0.5563277343259567,True,COMPLETE
18,175.95741202978607,0.6600584742786052,0.03040404848708867,3,1,658,0.008390594077065364,4.235732483883481e-06,0.7330660359478157,False,COMPLETE
19,170.45840884379024,0.8063258868112921,0.017293897176526195,4,8,984,0.18327257445044803,8.453643525194635e-05,0.8420932654443685,True,COMPLETE
20,182.30317374225868,0.574028838540018,0.010511219200222284,7,3,740,6.503632164852855e-05,8.855015537123327e-08,0.7731004019914165,True,COMPLETE
21,168.71203173794865,0.915957305668072,0.04096236517277458,3,4,885,0.16157518971476686,6.180025158565962e-05,0.7929513572451002,True,COMPLETE
22,170.6561050856622,0.7808970444223822,0.059973059509217226,3,3,752,0.08212391104313767,0.0009651752519736072,0.8586421027727141,True,COMPLETE
23,173.0486884747755,0.8835403985772046,0.03447005690433382,4,5,825,0.812464355069226,2.8757234677948735e-05,0.7096941997908885,True,COMPLETE
24,175.50703291792885,0.6622604133159274,0.02419742593727311,5,4,694,0.005161139363062343,1.3632054117227005e-06,0.8124107275505557,True,COMPLETE
