number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,626.711988934086,0.898676785534962,False,True,True,False,False,False,True,True,True,True,small,6.0,0.2815561145269126,6,9,962,small,0.013538728080890428,1.1191017811380328e-08,None,0.5715538760316109,0,False,COMPLETE
1,287.5400357717351,0.9208433159678134,True,False,False,False,False,False,True,True,True,True,small,,0.014131717993754218,10,10,449,large,0.014361232996518297,0.002362285687708154,distance_n_turbines,0.6778295315008489,2,True,COMPLETE
2,491.59390876119136,0.6696164431387107,True,False,False,False,True,False,True,False,True,True,small,12.0,0.06944894375155176,5,3,659,large,0.001726642556761065,6.565062688055085e-08,distance_n_turbines,0.7325370649698048,6,False,COMPLETE
3,526.0636073460607,0.7004813014630197,False,False,True,False,True,False,True,True,False,True,large,12.0,0.06809528128459587,3,2,949,large,6.512970380502492e-07,0.822624478076808,mean,0.623147185932138,0,True,COMPLETE
4,297.0309023366467,0.853060760688963,False,True,True,False,True,True,False,True,False,True,small,,0.03074119615532448,10,4,937,small,2.0540521201454436e-08,3.9715713124698605e-06,distance_n_turbines,0.8619228873711651,0,False,COMPLETE
5,427.1133135068172,0.80441425552561,False,True,True,True,False,True,True,True,False,False,small,12.0,0.17199931814117952,10,2,657,none,0.1976162460756653,0.03948986701852425,None,0.5727946276344963,0,False,COMPLETE
6,283.06413810682153,0.8934127341964049,False,True,True,False,True,True,False,False,True,False,large,,0.02860576297167742,10,9,363,small,1.4054643285255698e-07,0.1330480589135066,capacity,0.7112046678217617,0,True,COMPLETE
7,440.39820769998596,0.8551424120098655,True,False,False,True,False,True,True,False,False,False,none,1.0,0.014914557093147618,8,4,634,none,0.026020993871520126,0.00023481200612177397,mean,0.6242504596955896,0,True,COMPLETE
8,454.101730610402,0.7867152311090945,True,True,True,False,False,True,True,True,False,False,large,1.0,0.021395287065163436,7,7,443,large,0.0001580829941368807,0.0784522110005052,mean,0.9069440238887216,0,True,COMPLETE
9,416.1099753164854,0.7802611028420214,True,True,False,True,False,True,True,False,False,False,none,6.0,0.09104540463542339,9,10,309,none,0.00037419335626940605,1.1157660008406065e-07,distance_capacity,0.8752317592631449,0,True,COMPLETE
10,308.62707953555355,0.508747142824183,False,True,True,True,True,True,False,False,True,False,large,,0.036488800804234646,4,7,321,small,1.8858190207832054e-06,5.147231192751567e-05,capacity,0.785641648636532,2,True,COMPLETE
11,290.3508491826103,0.9735612796408286,True,False,False,False,True,False,False,False,True,True,large,,0.010110083131609014,8,8,478,small,1.0348324397436673e-08,0.0031896485583283495,max,0.7189074129757799,2,True,COMPLETE
12,301.0600239546169,0.9806093482814766,False,False,False,False,True,False,False,True,True,False,small,,0.018639178559518375,10,10,468,large,2.3633672287722694e-06,0.003761314816285295,idw,0.9898616655366919,2,True,COMPLETE
13,289.20018787159125,0.9291092050941142,True,False,False,False,False,False,False,False,True,True,large,,0.010021129143862067,8,6,552,large,0.7615332645322258,0.97228744773791,capacity,0.6704011756986994,6,True,COMPLETE
14,276.63462186060354,0.9071657405457001,True,True,True,False,False,True,False,True,True,True,none,,0.03956076268388152,9,9,375,small,8.413924490418797e-06,0.0024121722323754164,capacity,0.5099014423439774,2,True,COMPLETE
15,278.2142410196545,0.6596179496100723,False,True,True,False,True,True,False,False,True,False,none,,0.03611842667048891,9,8,805,small,1.4425396654594734e-05,0.03999946802282252,capacity,0.507980832659741,2,True,COMPLETE
16,280.87812512887035,0.609866773896412,True,True,True,False,False,True,False,True,True,False,none,,0.04630046883815473,7,8,822,small,1.1151823701110822e-05,0.00020058001873317802,capacity,0.5167375800821927,2,True,COMPLETE
17,355.15997898944715,0.5921126184392826,False,True,True,False,True,True,False,False,True,True,none,6.0,0.09565416339435324,9,6,770,small,1.7086252676366113e-05,8.127950411320489e-06,capacity,0.5800270956009865,2,True,COMPLETE
18,376.67965035980507,0.7248246958817405,False,True,True,True,True,True,False,True,True,True,none,1.0,0.04783852626949041,6,8,804,small,3.241863246135627e-05,0.01481764685260854,max,0.5110323888090682,2,False,COMPLETE
19,333.61246024469375,0.60843481659887,True,True,True,False,False,True,False,False,True,False,none,,0.11658374902874202,9,5,750,small,0.000449920233279606,0.000532527576199718,idw,0.5070609792618082,2,True,COMPLETE
