number,value,params_colsample_bytree,params_compute_air_density,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_drop_raw_features,params_encode_wind_direction,params_lags_option,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_spatial_method,params_subsample,params_turbulence_window,state
22,300.1664492606811,0.853464354896366,False,True,True,True,True,False,False,none,,0.01789649756222208,8,3,932,1.014867863424505e-07,0.6254729670588892,max,0.9972564401329843,2.0,COMPLETE
23,298.7918093245562,0.7803533914029025,False,True,True,True,True,False,False,none,,0.010078945907133917,6,3,871,2.1505447339353936e-05,0.025281670010895933,max,0.9286548225872945,3.0,COMPLETE
24,296.7418506429368,0.8478385682838881,False,True,True,True,True,False,False,none,,0.01508175148988512,9,2,948,1.8363486324049833e-06,0.023315867065748553,max,0.9181109867616835,4.0,COMPLETE
25,297.1704262318946,0.9401139988833758,False,True,True,True,True,False,False,none,,0.025545688583510712,7,2,772,5.946584963582838e-08,0.4027118115354498,max,0.8729879171993034,3.0,COMPLETE
26,355.8400457658247,0.8637789540508418,True,True,True,False,False,False,True,none,6.0,0.02106918057262364,8,4,994,1.1911142077195527e-05,0.04888653645457024,max,0.9115170185449817,2.0,COMPLETE
27,491.8652987895262,0.9623259200243547,False,True,True,True,True,False,False,none,1.0,0.014485534341529686,4,5,845,4.5448098848968554e-07,0.008273434870530685,max,0.9997164524688925,3.0,COMPLETE
28,355.075437647589,0.8066227834138671,False,True,True,True,True,False,False,large,12.0,0.03273940243940944,6,3,884,4.7878649799719664e-08,0.14084803318512373,mean,0.8239696471794756,4.0,COMPLETE
29,404.4554830758427,0.9266974917771859,True,True,False,True,True,True,True,none,6.0,0.06469578313789287,9,3,738,3.9989112895395905e-05,0.0001803179439261803,max,0.953612149427751,5.0,COMPLETE
30,300.3989351422311,0.7694852088611901,False,True,True,True,True,False,False,small,,0.03902375436698199,7,2,947,1.644224560089126e-07,6.961424996798451e-08,idw-wc-c,0.6873305778472525,2.0,COMPLETE
31,299.18480684987276,0.8307226152186574,False,True,True,True,True,False,False,none,,0.013838310785751304,9,2,948,2.6024884702965136e-06,0.7746650135667754,max,0.886333960800252,5.0,COMPLETE
32,298.99121991454143,0.8745460771752843,False,True,True,True,True,False,False,none,,0.021002371596262635,8,1,959,8.817394654198529e-07,0.05505453473752282,max,0.9576818711653863,4.0,COMPLETE
33,299.5831987788997,0.7303398962286607,False,True,True,True,True,False,False,none,,0.018026545880440004,9,2,908,2.414535728621312e-06,0.21694449250102574,cluster,0.9174207429285104,4.0,COMPLETE
34,303.5608004443813,0.6750177985747983,True,True,False,False,False,False,False,none,,0.013194294798272943,10,3,993,3.625374062351225e-08,0.8753048333879739,max,0.7935340490531855,3.0,COMPLETE
35,303.98845266729705,0.5987012061502925,False,True,True,True,True,False,False,small,,0.04574102260178649,7,4,956,2.5915033775485643e-07,0.008314862104529523,idw-c,0.8830669063415849,4.0,COMPLETE
36,447.38810911148704,0.8438174112079614,False,True,True,True,True,True,False,none,12.0,0.010037313087559478,9,1,438,1.5053747843623497e-06,0.11483212546010642,max,0.9748781498861538,5.0,COMPLETE
37,310.2466105428721,0.7362786016974371,False,False,False,False,False,False,False,small,,0.029212040865776594,8,2,885,0.003042948966973483,1.3730646910079325e-08,cluster,0.9250855481919406,,COMPLETE
38,326.68437944177685,0.8104117071490189,False,True,True,True,True,True,True,none,,0.02144876119058197,10,5,561,6.288393994688895e-06,0.27466420390043944,mean,0.8070393567767585,2.0,COMPLETE
39,587.8026996618294,0.8691667125023977,True,False,False,False,False,False,False,large,1.0,0.01612767246442701,8,4,937,8.112631426496049e-05,0.016445231010617838,idw-wc-c,0.9418749995456924,,COMPLETE
40,336.6067734300419,0.5082708038565938,False,True,True,True,True,True,False,none,,0.05371016398783816,6,1,664,3.967295857009052e-08,0.07933197298355664,max,0.7375476571884452,3.0,COMPLETE
41,294.4257823700179,0.9219679304670821,False,True,True,True,True,False,False,none,,0.023745792662537943,7,2,780,8.642728414612419e-08,0.3560184849266257,max,0.8685116583116685,3.0,COMPLETE
42,293.292821190682,0.9138490689963034,False,True,True,True,True,False,False,none,,0.019730392171990047,7,3,715,2.3372881226488776e-07,0.27991644262317716,max,0.8473133859042117,3.0,COMPLETE
43,295.3068817394353,0.9133996592399138,False,True,True,True,True,False,False,none,,0.019258950506050306,7,3,697,1.0199496634582562e-08,0.41799184527701516,max,0.8533230946826883,3.0,COMPLETE
44,296.42704678872195,0.9157026163922185,False,False,True,True,True,False,False,none,,0.018772277042769563,7,3,691,1.0359013534501184e-08,0.36712848386117986,max,0.8486765070993579,,COMPLETE
45,293.7656661524579,0.8765022028571148,False,True,True,True,True,False,False,small,,0.03148730998467261,6,3,620,2.2171977480996385e-08,0.7943482173767132,max,0.8650564268756636,3.0,COMPLETE
46,442.290173638346,0.9599703850826737,False,True,True,True,True,False,True,small,12.0,0.04352777763803324,5,4,617,2.1434625840241039e-07,0.8975578873256874,max,0.9024723320349142,3.0,COMPLETE
47,292.2703640089557,0.8765631473638347,False,False,False,True,True,False,False,small,,0.030112283795546806,6,2,578,2.6159910661073714e-08,0.14911682906228796,max,0.9768430798326361,,COMPLETE
48,376.26450890575484,0.8798289908589825,False,False,False,False,True,False,False,small,6.0,0.03061675376509689,6,1,582,2.4792190286182802e-08,0.14910070131070083,max,0.9783535498829501,,COMPLETE
49,311.1782751922912,0.8206766176377215,False,False,False,True,True,True,False,small,,0.03768715977514511,6,3,484,0.07218585664053673,0.05643792017540817,cluster,0.8964942923899425,,COMPLETE
50,404.27798553285203,0.7898790310193109,True,False,False,True,False,False,False,small,1.0,0.08176610959481077,5,4,643,6.372471388225776e-07,0.9932533640881605,mean,0.9458700711770143,,COMPLETE
51,297.10382464299755,0.8909936549999622,False,False,False,True,True,False,False,small,,0.023431967913098817,7,2,527,9.068823644303305e-08,0.16745767397537015,max,0.8638757546864593,,COMPLETE
52,288.9364301938956,0.9121724779511521,False,False,False,True,True,False,False,small,,0.025380984176442,6,2,747,2.4134850306151035e-08,0.31245828407322046,max,0.8335832206063657,,COMPLETE
53,295.08241167496493,0.8826583689588516,False,False,False,True,True,False,False,small,,0.027970520127303625,6,3,567,2.948185921888289e-08,0.08236142707886193,max,0.7762925688786041,,COMPLETE
54,298.46261699489037,0.9587070810535451,False,False,False,True,True,False,False,small,,0.03385826264067529,6,1,730,2.1607094984942907e-08,0.24135404864026236,idw-c,0.8232578931645721,,COMPLETE
55,301.1481658342142,0.8601384692046081,False,False,False,True,True,False,False,small,,0.017034979344354113,5,3,603,1.5614103685017506e-07,0.04205759848399923,max,0.9888192286680786,,COMPLETE
56,306.94217517799456,0.8969865440156918,False,False,False,True,True,False,False,small,,0.012437062678494079,6,2,486,3.1301704042824894e-07,0.0015230772820978,max,0.7584095883359313,,COMPLETE
57,306.09171777679336,0.9854437624515177,False,False,False,True,True,False,True,small,,0.026059283555284373,4,4,640,2.2302635292706913e-08,0.4604869174331771,idw-wc-c,0.938617483137956,,COMPLETE
58,292.88711648938516,0.9110032158840026,False,False,False,True,True,False,False,large,,0.01973083178503645,6,7,672,6.272305490878886e-08,0.012661501271510847,max,0.9660920275855237,,COMPLETE
59,372.6713052307207,0.943835726306769,False,False,False,True,True,False,False,large,12.0,0.019679415992669383,7,7,671,1.0309741608932217e-06,0.011599460752408686,max,0.9660446714324438,,COMPLETE
60,308.61706838869156,0.9054568708515425,False,False,False,False,True,False,False,large,,0.12887764240238678,5,9,718,6.541076812182104e-08,0.003170650269274238,max,0.9777607514755187,,COMPLETE
61,297.19804355666105,0.8573743127947453,False,False,False,True,True,False,False,large,,0.02497301462532554,6,8,753,1.362886028967435e-07,0.21194313908128423,max,0.8377994275488052,,COMPLETE
62,297.9246283749367,0.8292897258637595,False,False,False,True,True,False,False,large,,0.015944710147285625,6,7,547,3.676009279704101e-07,0.6506735280192201,max,0.9341938171746146,,COMPLETE
63,304.4548111104812,0.9324720034863465,False,False,False,True,True,False,False,small,,0.030252377612868114,7,6,836,5.215359345168124e-08,0.03756368293274464,max,0.9596405051579983,,COMPLETE
64,415.4371357488169,0.9081620178751577,False,False,True,True,True,False,False,large,6.0,0.021455438801666067,6,2,608,1.6632501926488632e-08,0.09524345806932703,max,0.8972139965223604,,COMPLETE
65,308.8162852837679,0.882487392304955,False,True,False,True,True,False,False,small,,0.2872174212245551,7,9,701,1.2954110478638376e-07,0.49701289155592443,max,0.7989709329010126,6.0,COMPLETE
66,301.4138339313375,0.6265069097564223,False,True,True,True,True,False,False,large,,0.03475018945982979,5,3,810,3.472682690236901e-08,0.2228275955547127,idw-c,0.9867296238087007,2.0,COMPLETE
67,437.4034076395412,0.8411875577963062,False,True,True,True,True,False,False,small,1.0,0.040915292575164984,4,5,653,5.961650306459002e-07,0.09451611490944505,max,0.9662790678951387,3.0,COMPLETE
68,328.3441611209077,0.9490468275836853,True,False,True,True,False,True,True,small,,0.014637420860666507,6,3,306,4.561901813985756e-06,0.030411765070164035,mean,0.815447054440362,,COMPLETE
69,297.51689061659266,0.9698854443038417,False,True,False,True,True,False,False,large,,0.02715531959003947,7,7,634,8.179124222285286e-08,0.005686533684459024,max,0.9127424979353643,2.0,COMPLETE
70,300.1278775651836,0.869041226750052,False,True,True,True,True,False,False,small,,0.0225442427907268,6,2,968,2.62699211717724e-07,0.48815470688256424,cluster,0.8859973922184784,4.0,COMPLETE
71,294.3923013456505,0.9248918048078087,False,True,True,True,True,False,False,none,,0.023912159487886726,7,2,772,7.543572282728113e-08,0.340337913515433,max,0.8680733729832205,3.0,COMPLETE
72,295.2223475682845,0.9204042503429185,False,True,True,True,True,False,False,none,,0.019753599898940686,7,2,745,1.4859119863541306e-08,0.9972655045672243,max,0.8562826518476571,3.0,COMPLETE
73,297.34712923375224,0.8958250676226562,False,True,True,True,True,False,False,none,,0.017006417394254725,8,1,790,5.0242430696058674e-08,0.2962605770294495,max,0.844728959580623,3.0,COMPLETE
74,295.74707392862797,0.9294725783051809,False,True,True,True,True,False,False,none,,0.03128569277715577,7,3,716,0.0006288535330578343,0.13452146724673233,max,0.8747046466840669,3.0,COMPLETE
75,291.9215529696323,0.8510191639467107,False,True,True,True,True,False,False,none,,0.024283572211453833,6,2,676,0.9565779993049425,0.5879145489177128,max,0.7875484627705625,3.0,COMPLETE
76,295.462596146536,0.8522440452278878,False,True,True,True,True,False,False,none,,0.020755004240923084,6,3,677,0.9664902914933245,0.6020168580929923,idw-wc-c,0.778562900638668,4.0,COMPLETE
77,358.86137004827657,0.8025669439958598,False,True,True,True,True,False,False,none,6.0,0.05272714161910949,6,2,574,0.0014282057413255147,9.636661875644291e-07,max,0.7944690248116721,2.0,COMPLETE
78,503.9464899845065,0.825883462989079,True,True,True,False,True,False,False,none,12.0,0.011236910310482068,5,4,652,0.011299585724108439,0.06959525957811803,idw-wc-n,0.7152790694789155,3.0,COMPLETE
79,319.2150765352214,0.7673121403391909,False,False,False,True,False,True,False,small,,0.018119869147885517,6,1,594,0.03069408440656908,0.17488066561857976,max,0.7588140939387318,,COMPLETE
80,293.66023606125003,0.878240691892421,False,True,True,True,True,False,True,none,,0.025390596958273382,6,3,628,0.11570899252769636,0.015762152137184744,max,0.948114010564317,2.0,COMPLETE
81,290.41608874618424,0.8824605169477309,False,True,True,True,True,False,True,none,,0.026412660213349506,6,3,665,0.2772566022061496,0.5649221718699625,max,0.953512429253401,2.0,COMPLETE
82,292.230041825307,0.9067846411391791,False,True,True,True,True,False,True,none,,0.025308121436683723,6,3,700,0.23599945784919407,0.001167275078795113,max,0.949646219730025,2.0,COMPLETE
83,294.96343985382543,0.9025297480968081,False,True,True,True,True,False,True,none,,0.021934000198629768,5,6,703,0.32561987373921003,0.0014333140156226045,max,0.9961957746141066,2.0,COMPLETE
84,290.22650030602864,0.8897265102284415,False,True,True,True,True,False,True,none,,0.028179528937650786,7,4,753,0.97014440545761,0.0005716438060039727,max,0.9290095131573817,2.0,COMPLETE
85,291.23605837957103,0.8881399636501608,False,True,True,True,True,False,True,none,,0.028383228598188846,6,4,755,0.8182092578971459,0.0008168274652185145,max,0.925418675447347,2.0,COMPLETE
86,394.89642794602406,0.8670175646793856,False,True,True,True,True,False,True,none,1.0,0.03541941197517901,6,4,763,0.8404120315943776,0.0002308484567348942,max,0.927001761414102,2.0,COMPLETE
87,291.22868849184215,0.8435515256603362,False,True,True,True,True,False,True,none,,0.02871748441002015,7,4,794,0.36788935130223765,0.0005392077552495426,idw-c,0.9467848079700394,2.0,COMPLETE
88,288.9425474028343,0.8372910605326634,False,True,True,True,True,False,True,none,,0.028361678438460207,7,5,802,0.45911066173336973,0.0006539539587794283,idw-c,0.907562835773844,2.0,COMPLETE
89,292.1375662179648,0.8373549019015138,False,True,True,True,True,False,True,none,,0.041404499587072,8,5,816,0.4143796894207632,0.0008335017827142528,idw-c,0.9104386715000427,2.0,COMPLETE
90,299.0317333800892,0.8416132170631787,True,True,True,False,True,False,True,none,,0.028508703872262935,8,5,807,0.6282143514026588,6.611960791690691e-05,idw-c,0.9127203542500735,2.0,COMPLETE
91,296.76669135612974,0.7993524195621233,False,True,True,True,True,False,True,none,,0.041466372236610406,8,5,851,0.22243833945397803,0.0007142139077258196,idw-c,0.9250857342553611,2.0,COMPLETE
92,290.73515831960276,0.8175958707615688,False,True,True,True,True,False,True,none,,0.02732443168220657,7,4,821,0.4740102150154587,0.00035435334051435734,idw-c,0.9468867583879961,2.0,COMPLETE
93,285.8158156154246,0.8132150489180872,False,True,True,True,True,False,True,none,,0.03615797528811556,7,5,825,0.4979528130541586,0.0003014233598844069,idw-c,0.9084523509841695,2.0,COMPLETE
94,293.46215960828533,0.8142408237839837,False,True,True,True,True,False,True,none,,0.03644397611473054,7,4,792,0.13640516253622226,0.000340412525477072,idw-c,0.9349582404870794,2.0,COMPLETE
95,294.8309187115377,0.7728427003365033,False,True,True,True,True,False,True,none,,0.028354925790895092,7,5,831,0.43399365690550207,1.247751977249681e-05,idw-c,0.9024914328127903,2.0,COMPLETE
96,291.6834877672599,0.7534591321624678,False,True,True,True,True,False,True,none,,0.03264002428553088,7,4,862,0.6187359527865817,0.0003427783783389001,idw-c,0.891799513441364,2.0,COMPLETE
97,348.46598319623007,0.7245341991546085,False,True,True,True,False,True,True,none,,0.04710180859596104,7,4,866,0.15088875287622378,0.00013432337408920747,idw-c,0.8899382197093915,2.0,COMPLETE
98,359.6407013684623,0.7549429786422789,False,True,True,True,True,False,True,none,12.0,0.033729374449162686,7,4,889,0.05157207204500979,0.0004006860249748705,idw-c,0.9218553102195213,2.0,COMPLETE
99,343.19139853896405,0.7870579038802132,False,True,True,True,True,False,True,none,6.0,0.0599121942705774,7,4,757,0.5752258970840249,0.00022902489058976554,idw-c,0.940464296777457,2.0,COMPLETE
