number,value,params_colsample_bytree,params_compute_air_density,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_drop_raw_features,params_encode_wind_direction,params_lags_option,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_spatial_method,params_subsample,params_turbulence_window,state
0,511.33415989986344,0.731129335651605,True,True,False,True,True,True,True,small,6.0,0.06454235062914268,3,3,503,0.0004827939321721789,1.123722551904095e-08,max,0.6991263503226028,5.0,COMPLETE
1,316.3931777319174,0.6926062521102359,True,False,False,False,False,False,False,small,,0.0493080702989386,10,10,976,3.3759395003288087e-06,1.1698898427935995e-07,cluster,0.61598603653001,,COMPLETE
2,369.1425128471831,0.6090584607842948,False,False,False,True,True,False,False,none,12.0,0.2181409546949829,10,2,723,0.0007476669216655599,0.14663343262306452,mean,0.773163845767924,,COMPLETE
3,326.41438422956145,0.6635232587914711,True,False,True,False,False,True,False,small,,0.047019255765391,6,7,525,0.00022430706075323817,0.001710770879202642,idw-wc-c,0.8335057245322783,,COMPLETE
4,467.8028509158631,0.8157167889364336,False,False,False,True,False,True,False,small,12.0,0.2688730451367891,9,4,599,0.000145268256011165,0.16214628212046336,idw-wc-n,0.6308266897225123,,COMPLETE
5,332.9319322588022,0.7553395022647607,False,False,True,False,True,True,True,large,,0.20214872681551105,3,1,628,0.34022313330311754,1.2775274756215114e-06,cluster,0.7752128656835402,,COMPLETE
6,464.3104245089428,0.5356165496978997,False,False,False,False,False,True,True,small,1.0,0.1802254040608119,8,1,529,1.082669654862746e-06,0.003356460352619531,mean,0.7354763079125509,,COMPLETE
7,314.4779246607423,0.8903506518995512,False,False,True,True,True,False,False,large,,0.13351200196906385,10,4,927,0.003759718645576875,4.387990493951733e-05,idw-wc-n,0.7017791171598553,,COMPLETE
8,606.8771286294543,0.7928764980741481,False,True,True,False,True,True,True,large,1.0,0.017935201762015063,5,8,684,0.0004874639695997207,7.630016358976246e-07,idw-wc-c,0.9640366997273057,6.0,COMPLETE
9,442.5318800586172,0.7079938872304994,True,False,False,True,True,False,False,large,6.0,0.10786782307276468,3,8,327,0.05980465310792032,0.0031596076215515156,max,0.8515186075698451,,COMPLETE
10,295.99330552552243,0.9779424400379995,False,True,True,True,True,False,False,none,,0.0227421056508984,8,5,997,5.393773265770272e-08,5.0429760921256974e-05,idw-wc-n,0.5088370802416282,2.0,COMPLETE
11,298.4985031121727,0.976585938464549,False,True,True,True,True,False,False,none,,0.016051616577433397,8,5,990,1.4127109969723185e-08,2.467459722326136e-05,idw-wc-n,0.5011297706021829,2.0,COMPLETE
12,300.2002746858114,0.998327290279586,False,True,True,True,True,False,False,none,,0.011569096261094283,7,6,824,1.7459684421837963e-08,3.258209208490326e-05,idw-wc-n,0.5169663039297149,2.0,COMPLETE
13,299.0054086370448,0.9955315229412884,False,True,True,True,True,False,False,none,,0.023192449240839998,8,5,859,1.4295285071496077e-08,7.648185361454986e-06,idw-c,0.5011397285763122,2.0,COMPLETE
14,298.0408917411277,0.9021121274562964,False,True,True,True,True,False,False,none,,0.027072805388767593,7,6,988,3.842869416416649e-07,0.0004258940111042226,idw-wc-n,0.5830715079017973,3.0,COMPLETE
15,298.10334002905785,0.8963160409072315,False,True,True,True,True,False,False,none,,0.02700125918451261,6,7,803,5.729345508464982e-07,0.0005971043842086754,idw-wc-n,0.5893425886283584,3.0,COMPLETE
16,362.1314946336542,0.8977232763105792,False,True,True,True,True,False,False,none,12.0,0.03380022744773989,7,10,904,6.351441668329594e-06,0.02175373438521533,idw-c,0.5749004051454678,4.0,COMPLETE
17,520.2169660760986,0.9362930923644921,False,True,True,True,True,False,False,none,6.0,0.011887008813147687,5,6,774,1.793470475803763e-07,0.0006396739648817572,idw-wc-n,0.6523377749863583,3.0,COMPLETE
18,384.7323699498905,0.8386715622818426,True,True,True,True,False,False,True,none,1.0,0.07380932979424351,9,4,902,2.217176534359733e-05,0.00011426309092230735,idw-wc-n,0.5568234944637869,3.0,COMPLETE
19,304.710522567469,0.9432069590325732,False,True,True,True,True,False,False,none,,0.03738764299791914,5,8,384,8.741218568967707e-08,3.6700399375151133e-06,idw-wc-n,0.5560203932542659,4.0,COMPLETE
20,292.74415493935294,0.8629166512310773,False,True,True,True,True,False,False,none,,0.01928454684869332,7,3,987,1.4682540134344475e-07,0.8481261091382981,max,0.9800979895004489,3.0,COMPLETE
21,291.8591745104911,0.8605901692453177,False,True,True,True,True,False,False,none,,0.019867870928373974,7,3,996,2.402532194532202e-07,0.9904061563295838,max,0.9420951811240025,3.0,COMPLETE
