Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,2
lags_choice,none
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,capacity
lags_target,
n_estimators,375
learning_rate,0.03956076268388152
max_depth,9
min_child_weight,9
subsample,0.5099014423439774
colsample_bytree,0.9071657405457001
reg_alpha,8.413924490418797e-06
reg_lambda,0.0024121722323754164
