Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,True
compute_turbulence_intensity,True
turbulence_window,2
lags_option,none
drop_raw_features,False
spatial_method,idw-c
lags_target,
n_estimators,825
learning_rate,0.03615797528811556
max_depth,7
min_child_weight,5
subsample,0.9084523509841695
colsample_bytree,0.8132150489180872
reg_alpha,0.4979528130541586
reg_lambda,0.0003014233598844069
