date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2025-07-16 00:00:00+00:00,,1657.2146,1133.1616728683066,2181.267242498334
2025-07-16 01:00:00+00:00,,1607.7327,1083.6799670222363,2131.7855366522635
2025-07-16 02:00:00+00:00,,1405.4844,881.4314555873079,1929.5370252173352
2025-07-16 03:00:00+00:00,,1337.2114,813.1584137234822,1861.263983353509
2025-07-16 04:00:00+00:00,,1580.2769,1056.2240598963963,2104.3296295264236
2025-07-16 05:00:00+00:00,,1304.9546,780.9019683936458,1829.007538023673
2025-07-16 06:00:00+00:00,,1033.6421,509.5893965082414,1557.6949661382687
2025-07-16 07:00:00+00:00,,859.1221,335.0691872863854,1383.1747569164118
2025-07-16 08:00:00+00:00,,503.79,-20.26274650546293,1027.8428231245643
2025-07-16 09:00:00+00:00,,486.09372,-37.95926883928041,1010.146300790746
2025-07-16 10:00:00+00:00,,1443.4751,919.422327753542,1967.5278973835693
2025-07-16 11:00:00+00:00,,842.3179,318.2649485716456,1366.370518201673
2025-07-16 12:00:00+00:00,,673.86084,149.80808129151956,1197.9136509215468
2025-07-16 13:00:00+00:00,,655.77637,131.72376883351535,1179.8293384635426
2025-07-16 14:00:00+00:00,,2179.8003,1655.747591888401,2703.8531615184284
2025-07-16 15:00:00+00:00,,4209.0195,3684.96683089423,4733.072400524258
2025-07-16 16:00:00+00:00,,4460.3696,3936.316650136743,4984.422219766771
2025-07-16 17:00:00+00:00,,4255.8,3731.7469583751445,4779.852528005172
2025-07-16 18:00:00+00:00,,3494.6477,2970.5948837897226,4018.7004534197504
2025-07-16 19:00:00+00:00,,2993.9192,2469.866380935935,3517.9719505659627
2025-07-16 20:00:00+00:00,,3372.461,2848.4081554938584,3896.5137251238857
2025-07-16 21:00:00+00:00,,2770.4656,2246.412657710229,3294.518227340256
2025-07-16 22:00:00+00:00,,2491.2388,1967.185974957068,3015.291544587096
2025-07-16 23:00:00+00:00,,2231.3394,1707.2865217266117,2755.3920913566394
2025-07-17 00:00:00+00:00,,1969.0947,1445.0420110785053,2493.147580708533
2025-07-17 01:00:00+00:00,,2276.773,1752.720242943018,2800.8258125730454
2025-07-17 02:00:00+00:00,,1992.1072,1468.0542934479813,2516.159863078009
2025-07-17 03:00:00+00:00,,3031.818,2507.7654080727566,3555.8709777027843
2025-07-17 04:00:00+00:00,,4005.1252,3481.072566432264,4529.178136062292
2025-07-17 05:00:00+00:00,,3946.3203,3422.2676742671943,4470.373243897222
2025-07-17 06:00:00+00:00,,4194.781,3670.7282346677816,4718.833804297809
2025-07-17 07:00:00+00:00,,4236.865,3712.8124906448847,4760.918060274913
2025-07-17 08:00:00+00:00,,5110.1807,4586.128083232995,5634.233652863022
2025-07-17 09:00:00+00:00,,4448.2056,3924.152744158029,4972.2583137880565
2025-07-17 10:00:00+00:00,,5347.2944,4823.2416121872975,5871.347181817326
2025-07-17 11:00:00+00:00,,4855.498,4331.4454145898335,5379.550984219862
2025-07-17 12:00:00+00:00,,4965.2075,4441.154760139929,5489.260329769956
2025-07-17 13:00:00+00:00,,4010.6042,3486.5516065202105,4534.657176150238
2025-07-17 14:00:00+00:00,,4169.328,3645.2753865167365,4693.380956146764
2025-07-17 15:00:00+00:00,,4863.9033,4339.850608531521,5387.956178161548
2025-07-17 16:00:00+00:00,,4783.0913,4259.038757652255,5307.144327282283
2025-07-17 17:00:00+00:00,,4190.919,3666.866295097697,4714.971864727724
2025-07-17 18:00:00+00:00,,4656.4546,4132.401601264514,5180.507170894542
2025-07-17 19:00:00+00:00,,4020.4363,3496.3834730021103,4544.489042632138
2025-07-17 20:00:00+00:00,,3621.089,3097.0364442814925,4145.14201391152
2025-07-17 21:00:00+00:00,,2408.1282,1884.0753816749834,2932.1809513050107
2025-07-17 22:00:00+00:00,,1542.29,1018.2371127314191,2066.3426823614464
2025-07-17 23:00:00+00:00,,1169.3721,645.3193416411996,1693.4249112712264
2025-07-18 00:00:00+00:00,,773.37744,249.32465649413916,1297.4302261241664
2025-07-18 01:00:00+00:00,,936.4541,412.4011320512427,1460.50670168127
2025-07-18 02:00:00+00:00,,848.4868,324.43400388056307,1372.5395735105903
2025-07-18 03:00:00+00:00,,1826.0896,1302.0366836156718,2350.1422532457
2025-07-18 04:00:00+00:00,,913.855,389.8020214807484,1437.9075911107757
2025-07-18 05:00:00+00:00,,935.59375,411.5407717757207,1459.646341405747
2025-07-18 06:00:00+00:00,,1295.2847,771.2320736302827,1819.33764326031
2025-07-18 07:00:00+00:00,,1515.7451,991.6923292306919,2039.7978988607188
2025-07-18 08:00:00+00:00,,1478.0833,954.0303721697901,2002.135941799817
2025-07-18 09:00:00+00:00,,1089.1714,565.118744291015,1613.2243139210418
2025-07-18 10:00:00+00:00,,1702.7761,1178.7233491256884,2226.8289187557166
2025-07-18 11:00:00+00:00,,1447.8618,923.8089091583051,1971.9144787883324
2025-07-18 12:00:00+00:00,,1513.7742,989.7214552662035,2037.8270248962308
2025-07-18 13:00:00+00:00,,430.83298,-93.21962320257808,954.8859464274492
2025-07-18 14:00:00+00:00,,1923.5527,1399.499959827407,2447.6055294574353
2025-07-18 15:00:00+00:00,,1597.9385,1073.885780552403,2121.9913501824303
2025-07-18 16:00:00+00:00,,487.61276,-36.44003168609197,1011.6655379439344
2025-07-18 17:00:00+00:00,,355.86765,-168.18505387624737,879.920515753779
2025-07-18 18:00:00+00:00,,311.5195,-212.533381411733,835.5721882182934
