number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3338268547313057,0.5737692122795026,0.023019625717520285,12,27,0.37413707475250607,649,126,7.121729682356407e-07,0.0077323555023812345,0.6197051889436658,COMPLETE
1,0.34144749501215504,0.9810428696712477,0.01110373376041864,5,90,0.39758684718480397,952,45,0.0001055140414371102,0.2198781069569784,0.6708497635366863,COMPLETE
2,0.33625783250504027,0.9163309803614532,0.03494069389381916,6,20,0.3233356489414926,689,94,0.0031113850725949404,0.0009680081289332902,0.613232408704212,COMPLETE
3,0.3556211975481193,0.8621394445026747,0.22897925580947154,4,52,0.048529522406907444,749,148,1.6770355243262856e-05,3.7118203840947525e-06,0.8483881626870613,COMPLETE
4,0.3340805906465721,0.8633725282023168,0.02532885298240524,16,29,0.3315096935280021,818,34,5.710782124363596e-07,0.0003720559650071578,0.5703044770784647,COMPLETE
5,0.3445411030889498,0.9774270597077781,0.030253893998041032,5,80,0.20253486373410007,850,41,4.321063729063833e-08,6.837246265682152e-05,0.9738955781106811,COMPLETE
6,0.33100713513006336,0.5045789001658485,0.01890211990747074,14,11,0.26442073539062433,631,122,5.623677361315128e-05,8.949028051805456e-08,0.6272217693210705,COMPLETE
7,0.34556758887797373,0.5582494795346193,0.09647567974736262,5,55,0.3168131140079717,386,86,3.956430024572031e-07,1.9444759659176996e-05,0.9682173931710518,COMPLETE
8,0.33142832385097026,0.6012139433051855,0.010168518014738896,14,16,0.21853535153251974,428,118,0.15330383466269545,0.0003496093407173101,0.5056546924448244,COMPLETE
9,0.35775116824623615,0.9343131227245743,0.15776420210251418,7,41,0.15027194662920185,388,98,0.0386714239576994,0.0007678899427287673,0.9582839976034194,COMPLETE
10,0.32598041827861884,0.6924878396188049,0.05914655033730062,10,6,0.4973218541996427,555,64,0.000264716045642468,1.9499556244659796e-08,0.7382901317918728,COMPLETE
11,0.3291913216174989,0.6880572615481687,0.061148702373908966,10,10,0.46135022138675863,573,64,0.00028299493434447387,1.077005790554229e-08,0.7652738946294305,COMPLETE
12,0.33202386572348136,0.7025724364955301,0.0725998762380167,9,9,0.4912517690779011,533,60,0.0018075558543732078,1.7385588548965238e-08,0.7681073082216899,COMPLETE
13,0.3277138884961222,0.7038441557865875,0.057016173232451346,10,5,0.48948374292467056,533,15,0.001006293629439357,5.513380093567449e-07,0.7888922608715143,COMPLETE
14,0.34074912820631004,0.7923274444337016,0.11852242311875485,9,39,0.4332850492713046,498,12,0.005297794726169113,8.469507559750336e-07,0.8439158767769492,COMPLETE
15,0.3326777693769711,0.6614177147532855,0.0431646547918054,11,71,0.495041044192808,473,10,6.3865165570619795e-06,6.14845788965614e-07,0.7140023463422244,COMPLETE
16,0.3335265159176397,0.7710988962088009,0.05433025070034275,8,28,0.40913936521477534,329,67,0.7933761190948144,1.5894893436599711e-07,0.8341389380457713,COMPLETE
17,0.33587321702621803,0.6350287105981155,0.29816516316799335,13,6,0.005077572214295445,565,27,0.00038587141708015793,5.083256105165495e-06,0.9031872498605822,COMPLETE
18,0.3456889357166208,0.7321382333160256,0.08428878672419597,11,59,0.12280207446626834,752,56,0.03792544057520991,1.1102636602651214e-07,0.7961767258886701,COMPLETE
19,0.34123995065919804,0.815584248921917,0.14159873810205054,8,39,0.4396397754768382,603,24,6.372627260500512e-06,9.213973558507008e-07,0.7087838251500411,COMPLETE
