date,biomass_tenn_actual,gas_tenn_actual,hard_coal_tenn_actual,oil_tenn_actual,renewables_tenn_actual,waste_tenn_actual,biomass_tenn_fitted,gas_tenn_fitted,hard_coal_tenn_fitted,oil_tenn_fitted,renewables_tenn_fitted,waste_tenn_fitted,biomass_tenn_lower,gas_tenn_lower,hard_coal_tenn_lower,oil_tenn_lower,renewables_tenn_lower,waste_tenn_lower,biomass_tenn_upper,gas_tenn_upper,hard_coal_tenn_upper,oil_tenn_upper,renewables_tenn_upper,waste_tenn_upper
2025-07-26 00:00:00+00:00,,,,,,,1730.6628467582304,1246.2767733203668,517.8249871643175,0.2612528695544847,1365.6888851452843,334.61375899860445,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 01:00:00+00:00,,,,,,,1758.2257159563126,1066.3702475333723,520.7001381709003,0.37319428789495124,1403.0139842288243,314.97405244160745,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 02:00:00+00:00,,,,,,,1771.2150955134705,1155.1086302583196,487.7053607576266,0.40593018040307727,1406.2507445616545,315.05476218329346,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 03:00:00+00:00,,,,,,,1801.7373080368093,1135.9168784531034,508.01649814410234,0.33272421807587205,1430.0647120189076,327.41019840141644,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 04:00:00+00:00,,,,,,,1854.708353603834,1166.5912328726818,577.8028305152014,0.37684992132238304,1771.5371314173499,328.0664744983791,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 05:00:00+00:00,,,,,,,1890.7388736440419,1232.1222181777998,538.8081378955519,0.6380362498399197,1582.1366504036728,327.21993475245006,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 06:00:00+00:00,,,,,,,1887.0085707431995,1024.2668559557044,400.42900947195386,2.4119156862318203,1428.4006781467365,325.3788859866074,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 07:00:00+00:00,,,,,,,1854.2510058652847,776.9750661319134,379.0167441476914,1.6049028982451363,1438.9503139026328,325.9067893227679,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 08:00:00+00:00,,,,,,,1735.3812375450295,599.490738719375,393.6753206602608,0.7099455913648822,1360.0611439635643,333.04592218905486,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 09:00:00+00:00,,,,,,,1702.1304457241279,609.5978421499276,417.8726445829068,0.2661314060727784,1329.077858876512,343.9653029215348,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 10:00:00+00:00,,,,,,,1664.1199738501223,493.5539253124721,430.2403032190489,-0.35284788960660607,1330.089107853848,343.1523469688316,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 11:00:00+00:00,,,,,,,1648.8305554344124,466.8589204170469,450.9148237231032,-0.5018511117543907,1268.1480381922545,344.91830986782236,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 12:00:00+00:00,,,,,,,1641.9413335390882,543.5677846323604,413.12677469087066,-0.4096840116353737,1306.7757785099948,356.9453716980948,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
2025-07-26 13:00:00+00:00,,,,,,,1657.0723050561319,557.6732101310113,434.5679342054973,-0.5624605214796323,1260.0207592018219,357.7112655546019,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954,1935.4364136904762,1577.5592212301588,782.4866170634922,1.8094866071428573,1269.0157068452381,261.76943452380954
