Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,True
gust_factor,False
turbulence_window,6
lags_choice,none
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,distance_capacity
lags_target,
n_estimators,928
learning_rate,0.020778983059695767
num_leaves,113
max_depth,8
min_child_samples,79
subsample,0.9146303732198667
colsample_bytree,0.5506993527537885
reg_alpha,1.7664124582800413e-07
reg_lambda,2.4232469316704546e-06
min_split_gain,0.3104229023175161
