Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,False
vapor_pressure,True
precip_lags_option,small
cloud_lags_option,small
shortwave_lags_option,none
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,distance_n_panels
lags_target,
n_estimators,829
learning_rate,0.024801099985655627
max_depth,5
min_child_weight,4
subsample,0.5056792039125199
colsample_bytree,0.819524181274587
reg_alpha,0.029664841240437497
reg_lambda,0.0010260621797898181
