date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2024-12-28 00:00:00+00:00,0.0,3.4263203,-220.62053599789397,227.473235016927
2024-12-28 01:00:00+00:00,0.0,-0.04731259,-224.0942732394269,223.99949777539405
2024-12-28 02:00:00+00:00,0.0,7.975148,-216.07164998533017,232.0221210294908
2024-12-28 03:00:00+00:00,0.0,26.893606,-197.1531892619605,250.94058175286045
2024-12-28 04:00:00+00:00,0.0,41.804737,-182.24218616722055,265.8515848476004
2024-12-28 05:00:00+00:00,0.0,59.106007,-164.94076975014013,283.1530012646808
2024-12-28 06:00:00+00:00,0.25,53.933643,-170.1133027795745,277.98046823524646
2024-12-28 07:00:00+00:00,198.25,224.18364,0.13672701008999866,448.23049802491096
2024-12-28 08:00:00+00:00,1387.75,1419.2162,1195.1693743123014,1643.2631453271224
2024-12-28 09:00:00+00:00,3058.75,2920.1555,2696.1085913861507,3144.2023624009717
2024-12-28 10:00:00+00:00,4241.25,4244.3477,4020.300988426615,4468.394759441436
2024-12-28 11:00:00+00:00,4556.75,4696.87,4472.823117866003,4920.9168888808235
2024-12-28 12:00:00+00:00,3956.0,4221.88,3997.833111947306,4445.926882962127
2024-12-28 13:00:00+00:00,2543.25,2686.5928,2462.5459441809403,2910.6397151957613
2024-12-28 14:00:00+00:00,797.75,733.4887,509.4418005476723,957.5355715624933
2024-12-28 15:00:00+00:00,30.5,78.64507,-145.40169849350332,302.69207252131764
2024-12-28 16:00:00+00:00,1.0,-4.7501936,-228.79708561308325,219.29668540173725
2024-12-28 17:00:00+00:00,0.5,6.148488,-217.89844523586999,230.19532577895097
2024-12-28 18:00:00+00:00,0.0,8.528859,-215.5180756669847,232.57569534783624
2024-12-28 19:00:00+00:00,0.0,32.108692,-191.93814546208796,256.155625552733
2024-12-28 20:00:00+00:00,0.0,13.5068865,-210.53987758812582,237.55389342669514
2024-12-28 21:00:00+00:00,0.0,13.5068865,-210.53987758812582,237.55389342669514
2024-12-28 22:00:00+00:00,0.0,12.081838,-211.9651562761187,236.12861473870225
2024-12-28 23:00:00+00:00,0.0,19.053762,-204.9931563485693,243.1006146662512
2024-12-29 00:00:00+00:00,0.0,15.557912,-208.48908327796835,239.6046877368526
2024-12-29 01:00:00+00:00,0.0,16.770315,-207.276592017829,240.81717899699197
2024-12-29 02:00:00+00:00,0.0,14.714406,-209.33252499254468,238.76124602227628
2024-12-29 03:00:00+00:00,0.0,14.287892,-209.75903415089851,238.33473686392244
2024-12-29 04:00:00+00:00,0.0,20.814016,-203.23293016162825,244.8608408531927
2024-12-29 05:00:00+00:00,0.0,29.726858,-194.31991648494386,253.7738545298771
2024-12-29 06:00:00+00:00,0.25,25.112844,-198.9339701071358,249.15980090768517
2024-12-29 07:00:00+00:00,190.25,191.62968,-32.41718011920739,415.6765908956136
2024-12-29 08:00:00+00:00,1062.75,1334.5632,1110.5164158298642,1558.610186844685
2024-12-29 09:00:00+00:00,2123.25,2696.9885,2472.9416888591686,2921.0354598739896
2024-12-29 10:00:00+00:00,2750.25,3633.5222,3409.475406781214,3857.569177796035
2024-12-29 11:00:00+00:00,2799.75,3996.7178,3772.6708455343955,4220.764616549217
2024-12-29 12:00:00+00:00,2294.25,3296.2168,3072.1700199215434,3520.2637909363643
2024-12-29 13:00:00+00:00,1405.5,2284.0596,2060.0127216687324,2508.1064926835534
2024-12-29 14:00:00+00:00,440.75,750.4233,526.3763863879758,974.4701574027968
2024-12-29 15:00:00+00:00,19.75,75.39532,-148.65167025108076,299.4421007637402
2024-12-29 16:00:00+00:00,4.0,-1.0907696,-225.13765572045986,222.95611529436064
2024-12-29 17:00:00+00:00,1.0,9.807912,-214.2390153432466,233.85475567157437
2024-12-29 18:00:00+00:00,0.0,13.642629,-210.40417012864964,237.68960088617132
2024-12-29 19:00:00+00:00,0.0,-30.711618,-254.75855326517376,193.3352177496472
2024-12-29 20:00:00+00:00,0.0,9.503713,-214.54313085484364,233.55064015997732
2024-12-29 21:00:00+00:00,0.0,5.9568377,-218.0899772785042,230.00379373631677
2024-12-29 22:00:00+00:00,0.0,-43.79243,-267.83925747444755,180.25451354037295
2024-12-29 23:00:00+00:00,0.0,8.348195,-215.6986296535165,232.39514136130447
2024-12-30 00:00:00+00:00,0.0,2.264455,-221.78234133943397,226.311429675387
2024-12-30 01:00:00+00:00,0.0,-6.355418,-230.40221756062328,217.69155345419767
2024-12-30 02:00:00+00:00,0.0,8.81841,-215.22844184641554,232.86532916840542
2024-12-30 03:00:00+00:00,0.0,10.058888,-213.98792150686631,234.10584950795464
2024-12-30 04:00:00+00:00,0.0,-53.813183,-277.8601205148084,170.23365050001257
2024-12-30 05:00:00+00:00,0.0,8.323781,-215.72315509800046,232.3706159168205
2024-12-30 06:00:00+00:00,0.0,1.19341,-222.85351932421554,225.24025169060542
2024-12-30 07:00:00+00:00,71.0,28.492239,-195.55459743294978,252.53917358187118
2024-12-30 08:00:00+00:00,414.25,480.86725,256.8202625517051,704.9140335665261
2024-12-30 09:00:00+00:00,906.75,1092.3718,868.3249654336419,1316.4187364484626
2024-12-30 10:00:00+00:00,1248.5,1898.7122,1674.6653467157157,2122.7591177305367
2024-12-30 11:00:00+00:00,1341.25,2023.3959,1799.3489692600394,2247.44274027486
2024-12-30 12:00:00+00:00,1156.75,1925.6056,1701.5587228642696,2149.6524938790903
2024-12-30 13:00:00+00:00,741.75,1530.5732,1306.5264542633604,1754.6202252781814
2024-12-30 14:00:00+00:00,227.25,460.86652,236.81964578745237,684.9134168022731
2024-12-30 15:00:00+00:00,9.25,59.42925,-164.61773460994118,283.4760364048798
2024-12-30 16:00:00+00:00,0.0,-20.83491,-244.88180640811242,203.21196460670808
2024-12-30 17:00:00+00:00,0.0,26.507376,-197.53952340649357,250.5542476083274
2024-12-30 18:00:00+00:00,0.0,34.379444,-189.66755645422472,258.4262145605958
2024-12-30 19:00:00+00:00,0.0,25.688772,-198.35820610092424,249.73556491389672
2024-12-30 20:00:00+00:00,0.0,11.125295,-212.92164861098126,235.17212240383924
2024-12-30 21:00:00+00:00,0.0,8.329396,-215.7175492821184,232.37622173270256
2024-12-30 22:00:00+00:00,0.0,27.27056,-196.77643171955924,251.31733929526172
2024-12-30 23:00:00+00:00,0.0,14.98589,-209.06087649793017,239.03289451689034
2024-12-31 00:00:00+00:00,0.0,6.636525,-217.4102721028139,230.6834989120066
2024-12-31 01:00:00+00:00,0.0,-22.133982,-246.1809542387614,201.91281677605957
2024-12-31 02:00:00+00:00,0.0,1.5889179,-222.45807572887406,225.63569528594644
2024-12-31 03:00:00+00:00,0.0,21.18926,-202.85757407319716,245.23619694162335
2024-12-31 04:00:00+00:00,0.0,-15.882762,-239.92953522770813,208.16423578711283
2024-12-31 05:00:00+00:00,0.0,-19.622263,-243.66908157231137,204.4246894425096
2024-12-31 06:00:00+00:00,0.0,-4.327586,-228.37454724097915,219.7192237738418
2024-12-31 07:00:00+00:00,145.0,120.89849,-103.14832843441218,344.9454425804088
2024-12-31 08:00:00+00:00,871.5,850.0516,626.004698059965,1074.0984690747857
2024-12-31 09:00:00+00:00,1931.5,2061.8237,1837.7768371310035,2285.8706081458245
2024-12-31 10:00:00+00:00,2785.25,3123.1306,2899.0837392651747,3347.1775102799957
2024-12-31 11:00:00+00:00,3179.0,3435.7415,3211.6945144681667,3659.7882854829877
2024-12-31 12:00:00+00:00,2901.75,3106.3843,2882.337357014326,3330.4311280291467
2024-12-31 13:00:00+00:00,1955.25,2225.493,2001.44596024176,2449.539731256581
2024-12-31 14:00:00+00:00,684.0,706.0328,481.98591581171104,930.079686826532
2024-12-31 15:00:00+00:00,34.25,98.09429,-125.95255386663985,322.1412171481811
2024-12-31 16:00:00+00:00,1.0,0.20927921,-223.83757358716457,224.2561974276564
2024-12-31 17:00:00+00:00,0.75,5.257375,-218.78953638544272,229.30423462937824
2024-12-31 18:00:00+00:00,0.0,-2.8908184,-226.93782334556045,221.1559476692605
2024-12-31 19:00:00+00:00,0.0,-3.2108867,-227.2578220021569,220.83594901266406
2024-12-31 20:00:00+00:00,0.0,-1.4843243,-225.53123071050732,222.56254030431364
2024-12-31 21:00:00+00:00,0.0,1.4370624,-222.60989990901135,225.4838711058096
2024-12-31 22:00:00+00:00,0.0,5.1616716,-218.88530240675982,229.20846860806114
2024-12-31 23:00:00+00:00,0.0,23.328665,-200.71825458723742,247.37551642758353
2025-01-01 00:00:00+00:00,0.0,34.595264,-189.451498967107,258.64227204771396
2025-01-01 01:00:00+00:00,0.0,15.868947,-208.1779604965186,239.91581051830235
2025-01-01 02:00:00+00:00,0.0,24.09551,-199.95142568971505,248.1423453251059
2025-01-01 03:00:00+00:00,0.0,15.705617,-208.34122988408126,239.7525411307397
2025-01-01 04:00:00+00:00,0.0,-35.670116,-259.71689741278396,188.376873602037
2025-01-01 05:00:00+00:00,0.0,-1.2787579,-225.32568412816818,222.76808688665278
2025-01-01 06:00:00+00:00,0.75,-54.351025,-278.3978116881549,169.69595932666607
2025-01-01 07:00:00+00:00,416.25,192.94975,-31.09724405466295,416.99652696015755
2025-01-01 08:00:00+00:00,1952.25,1470.8213,1246.7744131408417,1694.8681841556627
2025-01-01 09:00:00+00:00,3746.25,3222.8086,2998.7616857652856,3446.8554567801066
2025-01-01 10:00:00+00:00,5002.0,4507.4526,4283.405752485375,4731.499523500196
2025-01-01 11:00:00+00:00,5443.0,4858.1387,4634.091929885752,5082.185700900573
2025-01-01 12:00:00+00:00,4910.0,4285.214,4061.1668022670856,4509.2605732819065
2025-01-01 13:00:00+00:00,3350.75,3164.1204,2940.073581782034,3388.167352796855
2025-01-01 14:00:00+00:00,1275.25,882.32855,658.2817012422588,1106.3754722570795
2025-01-01 15:00:00+00:00,75.75,89.26299,-134.78381606171206,313.3099549531089
2025-01-01 16:00:00+00:00,1.0,-14.784373,-238.83126246616348,209.26250854865748
2025-01-01 17:00:00+00:00,0.75,7.3162127,-216.73056692712407,231.3632040876969
2025-01-01 18:00:00+00:00,0.0,10.266164,-213.78073989489485,234.3130311199261
2025-01-01 19:00:00+00:00,0.0,-10.763133,-234.810023873491,213.28374714132997
2025-01-01 20:00:00+00:00,0.0,-1.3573712,-225.4041655505157,222.68960546430526
2025-01-01 21:00:00+00:00,0.0,0.72002137,-223.326743614919,224.7670273999015
2025-01-01 22:00:00+00:00,0.0,-1.4743146,-225.52118695705212,222.57258405776884
2025-01-01 23:00:00+00:00,0.0,7.158986,-216.88799692314296,231.20577409167754
2025-01-02 00:00:00+00:00,0.0,-37.802197,-261.84897605322976,186.24479496159074
2025-01-02 01:00:00+00:00,0.0,-14.152293,-238.1992067254705,209.89456428935046
2025-01-02 02:00:00+00:00,0.0,4.3491716,-219.69767855832333,228.39609245649763
2025-01-02 03:00:00+00:00,0.0,5.6667986,-218.3800782503963,229.71369276442465
2025-01-02 04:00:00+00:00,0.0,-31.809763,-255.85659245105626,192.23717856376425
2025-01-02 05:00:00+00:00,0.0,41.94341,-182.10344222414142,265.9903287906791
2025-01-02 06:00:00+00:00,1.25,54.031055,-170.01590172862507,278.0778692861959
2025-01-02 07:00:00+00:00,81.75,88.42193,-135.62492201967052,312.46884899515
2025-01-02 08:00:00+00:00,635.25,608.9638,384.916892665507,833.010663680328
2025-01-02 09:00:00+00:00,1609.5,1318.0842,1094.0374193178025,1542.1311903326232
2025-01-02 10:00:00+00:00,2444.0,2006.7942,1782.7473455255595,2230.8411165403804
2025-01-02 11:00:00+00:00,2591.5,2296.4844,2072.4376038137307,2520.531374828551
2025-01-02 12:00:00+00:00,2111.0,2163.6443,1939.5974899641699,2387.6912609789906
2025-01-02 13:00:00+00:00,1268.75,1523.3281,1299.2812875993955,1747.3750586142164
2025-01-02 14:00:00+00:00,380.25,403.7979,179.75103865493838,627.8448096697591
2025-01-02 15:00:00+00:00,31.5,44.712208,-179.33463632976782,268.75913468505314
2025-01-02 16:00:00+00:00,2.25,5.2708025,-218.77598899706118,229.31778201775978
2025-01-02 17:00:00+00:00,1.0,-6.181834,-230.22867084394375,217.8651001708772
