date,solar_ampr_actual,solar_ampr_fitted,solar_ampr_lower,solar_ampr_upper
2024-12-24 00:00:00+00:00,0.0,138.93226679488475,-1380.3261662577197,1654.140475330998
2024-12-24 01:00:00+00:00,0.0,-572.955470420322,-2092.26054585372,942.0462777047801
2024-12-24 02:00:00+00:00,0.0,-876.0064198898845,-2393.0043668358435,642.2855056456139
2024-12-24 03:00:00+00:00,0.0,-821.0097377134916,-2339.3186676322175,697.761668199578
2024-12-24 04:00:00+00:00,0.0,-543.2383212562456,-2060.6636349952623,975.9765577276153
2024-12-24 05:00:00+00:00,0.0,-216.5960427504217,-1733.7453330094017,1301.340938824796
2024-12-24 06:00:00+00:00,0.0,172.26320603778868,-1344.4256351889217,1692.089586965418
2024-12-24 07:00:00+00:00,44.0,549.7523414581332,-968.2430362802006,2067.958835339278
2024-12-24 08:00:00+00:00,431.25,525.0345474167759,-990.9614217022722,2042.6313466604306
2024-12-24 09:00:00+00:00,835.25,771.5302756397674,-746.6713843700086,2290.2577235331173
2024-12-24 10:00:00+00:00,1111.0,1000.4010557562319,-517.7608856446222,2521.2030795790793
2024-12-24 11:00:00+00:00,1158.0,1124.9488599663862,-392.9894198496711,2642.7272923055916
2024-12-24 12:00:00+00:00,984.5,1026.1814949056986,-492.3244879644701,2543.1340868411116
2024-12-24 13:00:00+00:00,657.25,769.6732040768488,-747.037339536449,2288.965384895027
2024-12-24 14:00:00+00:00,251.5,409.31097505800244,-1108.2017870145664,1930.346443724577
2024-12-24 15:00:00+00:00,11.0,43.56166450322007,-1473.553758982107,1563.2092285758167
2024-12-24 16:00:00+00:00,1.0,-74.4987400611733,-1590.632730796533,1446.517192463834
2024-12-24 17:00:00+00:00,0.5,-67.26602653119153,-1586.4016552940716,1454.1950537168007
2024-12-24 18:00:00+00:00,0.0,-226.5096321352196,-1741.0636996435169,1294.1760414782216
2024-12-24 19:00:00+00:00,0.0,-277.34899311685353,-1794.7108214779782,1242.084648218622
2024-12-24 20:00:00+00:00,0.0,-220.64669355903675,-1739.2050183834758,1295.785796607208
2024-12-24 21:00:00+00:00,0.0,29.003521119656853,-1489.472904506565,1544.2794838177408
2024-12-24 22:00:00+00:00,0.0,523.0295339289186,-995.3568324189782,2039.251575185664
2024-12-24 23:00:00+00:00,0.0,967.4024392305894,-552.794285356747,2484.1031218494754
2024-12-25 00:00:00+00:00,0.0,571.0161063765605,-946.4661030398975,2089.5197355316623
2024-12-25 01:00:00+00:00,0.0,-151.44010844852937,-1669.3190192278366,1367.0440735172115
2024-12-25 02:00:00+00:00,0.0,-481.61349746576684,-1998.6697910690832,1038.8703721321322
2024-12-25 03:00:00+00:00,0.0,-457.8731309833395,-1975.4492420619604,1062.9726367923568
2024-12-25 04:00:00+00:00,0.0,-219.86462575735482,-1737.2215558345097,1298.2213611002192
2024-12-25 05:00:00+00:00,0.0,109.19234897248975,-1408.8725540857913,1627.0700345204582
2024-12-25 06:00:00+00:00,0.25,475.9358208258408,-1041.7111691515443,1994.2946524589497
2024-12-25 07:00:00+00:00,72.5,842.6860394665215,-675.0223399117644,2359.472006179059
2024-12-25 08:00:00+00:00,538.5,1138.3640227137143,-380.0345119243168,2655.8951432831955
2024-12-25 09:00:00+00:00,1143.0,1029.5957912222648,-486.7146953447209,2549.3982097033304
2024-12-25 10:00:00+00:00,1621.75,1277.7879612471618,-238.1107198702814,2798.2451889819813
2024-12-25 11:00:00+00:00,1791.0,1448.9491621613402,-67.47334845609043,2970.1200829429345
2024-12-25 12:00:00+00:00,1623.5,1369.2580304163107,-149.05223357982777,2889.695328990772
2024-12-25 13:00:00+00:00,1141.25,1082.5527490179345,-434.8484080349963,2602.459172959261
2024-12-25 14:00:00+00:00,437.5,746.6577162875222,-768.5610812374821,2268.1392317794166
2024-12-25 15:00:00+00:00,21.25,394.7472456636974,-1122.3957725524342,1916.9340328503217
2024-12-25 16:00:00+00:00,3.25,-13.529868829705265,-1530.5860533025825,1508.2478799883365
2024-12-25 17:00:00+00:00,1.5,110.60349361767953,-1408.267749524172,1630.7813655615007
2024-12-25 18:00:00+00:00,0.0,-5.547189951534392,-1521.8658104368724,1516.9309362501845
2024-12-25 19:00:00+00:00,0.0,-29.292352219166332,-1544.1947306824927,1490.4704651349452
2024-12-25 20:00:00+00:00,0.0,29.836773294132172,-1484.8064273609134,1543.2664849455437
2024-12-25 21:00:00+00:00,0.0,270.19747811466095,-1245.5944387255872,1783.672579409419
2024-12-25 22:00:00+00:00,0.0,759.5614022277451,-758.6053188074593,2273.6001593765263
2024-12-25 23:00:00+00:00,0.0,1211.7044201800734,-305.779236132149,2726.1932232612967
2024-12-26 00:00:00+00:00,0.0,683.7743456807337,-833.6959354131059,2200.503303872382
2024-12-26 01:00:00+00:00,0.0,-45.504140575845895,-1563.924978643634,1471.7365940502334
2024-12-26 02:00:00+00:00,0.0,-398.7236102385657,-1917.6265100057449,1119.527651088952
2024-12-26 03:00:00+00:00,0.0,-356.5601765269173,-1874.477776983936,1162.664091998402
2024-12-26 04:00:00+00:00,0.0,-112.94113378408088,-1630.2815282005454,1405.0423405390566
2024-12-26 05:00:00+00:00,0.0,220.41704322344935,-1297.2647080314446,1739.2750017735111
2024-12-26 06:00:00+00:00,0.0,596.2516307090216,-920.9876846052343,2116.3623799910733
2024-12-26 07:00:00+00:00,63.25,944.4642437725677,-574.2426893688237,2463.0500729022597
2024-12-26 08:00:00+00:00,652.0,843.6267485525068,-672.8395815546237,2363.7051981769896
2024-12-26 09:00:00+00:00,1623.25,1342.0917110850535,-174.12038184089738,2863.069311002918
2024-12-26 10:00:00+00:00,2517.75,1825.7451623436305,309.11038498202015,3344.3142120227812
2024-12-26 11:00:00+00:00,2973.75,2306.4364639465903,788.5956564344583,3824.9986374716177
2024-12-26 12:00:00+00:00,2804.5,2416.6599494918883,897.6364759610835,3934.460677224897
2024-12-26 13:00:00+00:00,2007.5,2534.951342529139,1016.5691661986768,4052.3709853465098
2024-12-26 14:00:00+00:00,787.75,2307.377666288676,789.919791752659,3828.591751585798
2024-12-26 15:00:00+00:00,50.00000000000023,1445.9377532783042,-72.95130166172203,2968.810064428315
2024-12-26 16:00:00+00:00,1.9999999999997726,244.84001450683263,-1274.1097995124087,1767.3989675921557
2024-12-26 17:00:00+00:00,1.5,-129.24190017463798,-1650.3036925618726,1389.684927473497
2024-12-26 18:00:00+00:00,0.0,-142.89307279378136,-1660.8621586320114,1379.0736785944084
2024-12-26 19:00:00+00:00,0.0,-86.70129368058815,-1602.6479970041732,1435.0205807440448
2024-12-26 20:00:00+00:00,0.0,-33.87642166192654,-1549.4268129017892,1481.7857464809701
2024-12-26 21:00:00+00:00,0.0,176.92826732860726,-1340.5677199097636,1690.6625014969657
2024-12-26 22:00:00+00:00,0.0,619.5016949167828,-899.9567039506692,2135.7527255497193
2024-12-26 23:00:00+00:00,0.0,1015.7265092652959,-499.9386034132767,2530.6299899822184
2024-12-27 00:00:00+00:00,0.0,305.9536501464711,-1211.8490009934076,1821.971047058798
2024-12-27 01:00:00+00:00,0.0,-461.4814064944419,-1978.6790780252286,1056.1833473762294
2024-12-27 02:00:00+00:00,0.0,-771.1484544914242,-2290.945784411729,747.6269115827029
2024-12-27 03:00:00+00:00,0.0,-656.5119939938627,-2174.3290971847064,861.6655014090813
2024-12-27 04:00:00+00:00,0.0,-362.445259234903,-1880.8607141514913,1155.6261355023153
2024-12-27 05:00:00+00:00,0.0,-37.922030382723506,-1555.9879318696453,1480.6131445616827
2024-12-27 06:00:00+00:00,0.0,309.02183244653065,-1209.4159775741991,1827.9519699929838
2024-12-27 07:00:00+00:00,66.24999999999977,664.4215566048551,-854.4473844341796,2182.692430969117
2024-12-27 08:00:00+00:00,814.0,614.1306918621669,-903.6381352437124,2134.6247145818684
2024-12-27 09:00:00+00:00,1906.75,1370.0251454182528,-145.80069911080955,2886.959506106242
2024-12-27 10:00:00+00:00,2779.75,2123.661239319405,606.9116981180332,3641.9606019206426
2024-12-27 11:00:00+00:00,3151.75,2741.6320208795087,1224.6041427115824,4261.796028966994
2024-12-27 12:00:00+00:00,2902.0,3079.201499512921,1562.1733613154634,4599.435398319002
2024-12-27 13:00:00+00:00,1949.0,2742.32340463942,1224.3915403508092,4263.144010509393
2024-12-27 14:00:00+00:00,755.75,2138.0058649142743,619.336687211277,3658.652045807169
2024-12-27 15:00:00+00:00,54.0,1248.1537519047006,-269.0544407428572,2770.100062422695
2024-12-27 16:00:00+00:00,1.9999999999997726,309.89335819871394,-1207.205949721044,1829.353525801579
2024-12-27 17:00:00+00:00,1.5,-368.36484611476067,-1887.3339603229679,1149.6001703902366
2024-12-27 18:00:00+00:00,0.0,-367.7602817804295,-1885.1995977049705,1150.9894282950504
2024-12-27 19:00:00+00:00,0.0,-281.66119358484866,-1799.2425385380243,1239.0403689840118
2024-12-27 20:00:00+00:00,0.0,-192.69278666927903,-1712.7463695825722,1325.7590007527733
2024-12-27 21:00:00+00:00,0.0,42.30934780660618,-1476.614695524469,1560.334995028465
2024-12-27 22:00:00+00:00,0.0,462.68520348315917,-1054.6249045264126,1980.2012254943056
2024-12-27 23:00:00+00:00,0.0,848.9934373900828,-669.9821648290595,2366.461826337344
2024-12-28 00:00:00+00:00,0.0,375.73550588873604,-1142.3607919019964,1888.9380003902666
2024-12-28 01:00:00+00:00,0.0,-294.8652184252469,-1811.6782247878386,1221.8933931079812
2024-12-28 02:00:00+00:00,0.0,-607.9115580135017,-2125.7090734183494,909.4887532070136
2024-12-28 03:00:00+00:00,0.0,-543.7932469756804,-2063.150709412243,972.643672488241
2024-12-28 04:00:00+00:00,0.0,-277.87216657787667,-1797.086631855073,1238.9135150327484
2024-12-28 05:00:00+00:00,0.0,6.484268222430046,-1513.1603326116988,1524.5654322634234
2024-12-28 06:00:00+00:00,0.0,349.5636533540785,-1170.1298730752374,1868.0639300777275
2024-12-28 07:00:00+00:00,72.75,710.4151166963226,-807.4611232679558,2228.4359622385573
2024-12-28 08:00:00+00:00,938.0,666.7407783815347,-849.8346634619688,2184.7568226532157
2024-12-28 09:00:00+00:00,2310.75,1706.7061255995527,188.6038049738545,3221.3411446033074
2024-12-28 10:00:00+00:00,3350.75,2342.328632675573,826.5613212442604,3858.935253014378
2024-12-28 11:00:00+00:00,3743.7500000000005,2810.667564778241,1293.4873245596798,4326.072019134425
2024-12-28 12:00:00+00:00,3396.25,2918.3199282946734,1400.7167267195302,4437.225204657161
2024-12-28 13:00:00+00:00,2277.0,2628.440900263751,1108.44863535389,4148.322629585047
2024-12-28 14:00:00+00:00,857.5,1942.444388123349,425.50831521544615,3461.5278166726907
2024-12-28 15:00:00+00:00,55.25,1031.1760582033553,-487.02154073396036,2548.775544346059
2024-12-28 16:00:00+00:00,5.25,72.52413455993224,-1447.3849902684879,1591.0790630353185
2024-12-28 17:00:00+00:00,3.75,-410.5339126150143,-1929.5015281278943,1108.2147297586798
