number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1001.6711597702182,0.5734129160569139,False,False,False,False,False,False,False,False,False,True,none,6.0,0.060673036257203716,10,7,347,small,4.4842298509020675e-07,0.2621235622207629,max,0.8042206996979158,6,False,COMPLETE
1,1121.697029401065,0.7284992446639915,False,True,False,False,False,True,True,True,True,True,none,,0.28059965750855004,10,8,682,large,7.606773108732508e-07,1.1466575785963201e-06,distance_n_turbines,0.9295663309602731,2,False,COMPLETE
2,963.219385370971,0.9042744116316073,True,True,False,True,False,False,False,False,False,True,small,,0.16027908976173313,9,2,901,none,0.013721293954787878,8.916941995079579e-05,None,0.9743953245275434,6,False,COMPLETE
3,1055.277848410087,0.9074558921650934,False,False,False,False,False,False,True,True,True,False,none,,0.05039067018974804,5,6,796,none,0.8840329642632127,0.005423644769673886,mean,0.9473471981660617,6,True,COMPLETE
4,1139.7398674966537,0.6396892567638803,False,False,False,False,True,True,True,False,False,False,none,,0.2681749712755739,10,4,948,large,1.1832600917079375e-07,2.6985049009493983e-05,idw,0.7187222593278106,0,True,COMPLETE
5,1207.9057255655089,0.606919606693758,True,False,False,False,False,False,False,True,True,False,none,1.0,0.2087045695795003,7,5,561,large,8.549280206046267e-06,1.7914468735928074e-05,mean,0.9184614968303857,6,True,COMPLETE
6,981.9461968643253,0.7218319935135236,False,True,True,False,True,True,False,False,True,False,large,12.0,0.05124076123821059,6,1,985,small,0.0012808163545021717,0.42611713118188427,idw,0.5439696342718254,2,False,COMPLETE
7,1136.0744920608047,0.7508897155707657,True,False,True,True,False,False,False,True,False,False,small,,0.01861861332196945,3,3,348,large,9.678430428292378e-06,7.243944766343375e-05,mean,0.9086577542362373,0,True,COMPLETE
8,1186.4468483532164,0.9948780779054078,False,False,True,True,True,False,True,True,True,True,small,1.0,0.022772369778827833,4,2,661,large,0.03224207927248044,5.71282700081748e-07,idw,0.6890131590435891,2,True,COMPLETE
9,1169.1260996813678,0.6859723857972613,True,True,False,False,False,False,False,True,True,True,none,1.0,0.07997199032453872,10,1,448,none,4.549847897542204e-05,6.707196158999573e-06,distance_n_turbines,0.8920470104041065,6,False,COMPLETE
10,1727.0332510483902,0.8454338158913235,True,True,True,True,True,True,False,False,False,True,small,6.0,0.12321947674548342,7,4,810,none,0.002349966222264263,1.6554181709218124e-08,None,0.5940757831210943,6,False,COMPLETE
11,1045.3370896947092,0.8040893120805296,True,True,True,True,True,True,False,False,False,False,large,12.0,0.03597705385892375,8,10,988,small,0.0016481833275288965,0.0033590595642836035,capacity,0.5163094443511782,2,False,COMPLETE
12,1123.4946012772361,0.5046104019051563,False,True,True,True,True,True,False,False,True,False,large,12.0,0.11235194961027695,6,1,843,small,0.0016226330433502386,0.0032427049997813414,None,0.7903907988365608,2,False,COMPLETE
13,974.5788655603352,0.926652063060637,True,True,True,True,True,True,False,False,False,True,large,12.0,0.011001761953389444,8,2,890,small,0.07805162202022674,0.08089427373896908,distance_capacity,0.6130266533065142,2,False,COMPLETE
14,1022.8229330782169,0.9720144517017562,True,True,False,True,False,False,False,False,False,True,large,12.0,0.010748553613961912,8,3,882,none,0.5961924548650062,0.0007447229146987153,distance_capacity,0.6606963725091421,0,False,COMPLETE
15,971.467488010625,0.900792966288205,True,True,True,True,True,True,False,False,False,True,small,,0.01069771529907723,8,3,751,small,0.011337918964460288,0.051578532061552176,distance_capacity,0.624989003984627,6,False,COMPLETE
16,976.0529619979571,0.8410349988711322,True,True,True,True,False,True,False,False,False,True,small,,0.1418480324877804,9,3,725,none,0.02716776111885007,0.00034513916494421,None,0.8403456741578662,6,False,COMPLETE
17,969.0860334030507,0.8990365308217803,True,True,False,True,True,False,False,False,False,True,small,,0.027222803237574398,9,5,595,none,0.0002952512702300309,0.013249634904689899,distance_capacity,0.7449144704794618,6,False,COMPLETE
18,1012.5545399264234,0.8021700299544041,True,True,False,True,False,False,True,False,False,True,small,,0.02922128653756665,9,8,573,none,0.00019287268966362275,0.029925353221148625,max,0.7557510868199236,6,False,COMPLETE
19,976.9636969992467,0.9427793261729169,True,True,False,True,True,False,False,False,False,True,small,,0.018066174077186633,9,5,556,none,0.00010117769737736183,0.00023329919590513992,capacity,0.8454515403484537,6,False,COMPLETE
