number,value,params_colsample_bytree,params_compute_air_density,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_drop_raw_features,params_encode_wind_direction,params_lags_option,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_spatial_method,params_subsample,params_turbulence_window,state
0,818.0226280130506,0.9444213458428017,True,True,True,True,False,False,False,large,,0.20660361057342813,3,6,786,1.5090870181255339e-06,0.0021148776316837923,idw-wc-c,0.8846154750648267,6.0,COMPLETE
1,1187.703093759478,0.5124321605728153,True,False,False,False,False,True,True,large,1.0,0.15787689925539583,9,9,850,0.0002387444942605651,1.6466124521671765e-06,mean,0.543974840179245,,COMPLETE
2,888.9229138521226,0.7320528423247756,True,True,True,True,True,False,True,large,1.0,0.12962150265157188,5,7,720,0.00011500899825644446,3.8839259127189546e-05,idw-wc-n,0.6381187819076662,6.0,COMPLETE
3,927.9170031473236,0.5076310456904196,False,False,False,False,True,True,True,small,,0.1391327030571307,8,1,366,0.0001151209021497733,0.0008117960728414444,cluster,0.8034085096846113,,COMPLETE
4,1043.133699104469,0.544115426115925,True,True,False,True,False,False,True,small,12.0,0.014718649942458216,7,4,749,0.005028129942335847,0.00022312019557941626,max,0.7321526159389234,6.0,COMPLETE
5,988.3751957951404,0.5181365406404609,True,True,False,True,False,True,False,large,12.0,0.2523750571519213,9,6,444,0.06645259830227039,2.345371043933307e-06,mean,0.8014815091606274,5.0,COMPLETE
6,819.6992461168356,0.8197835288856442,True,True,True,False,True,False,False,large,,0.029925511793493457,6,4,449,0.00038750218791859905,0.002336030059509268,max,0.5364552941028242,6.0,COMPLETE
7,871.2737489811734,0.6029611819299835,True,False,True,False,True,False,False,large,1.0,0.2781303483009774,7,8,412,4.088850012914826e-07,0.04398113823236096,max,0.5016850135301765,,COMPLETE
8,1004.9000242428056,0.5886144781422243,True,False,False,True,False,False,False,large,12.0,0.0697500474246241,3,9,771,0.0002613560105732203,2.0845565577181146e-05,max,0.5113095074733036,,COMPLETE
9,908.361099258218,0.9735326510282096,True,False,False,True,False,True,False,small,6.0,0.020925753192472644,8,6,907,3.7728154512173795e-07,1.737874055691669e-05,cluster,0.9411826047321576,,COMPLETE
10,837.2658160247591,0.9839316814442957,False,True,True,True,False,False,False,none,,0.05578040481571222,3,3,581,1.3555664188207839e-08,1.470432858224076e-08,idw-wc-c,0.9908729632224204,2.0,COMPLETE
11,838.4165383910258,0.8563493597918832,False,True,True,False,True,False,False,none,,0.029281772130459974,5,3,559,2.7076918012017177e-06,0.03808817575544419,idw-wc-c,0.869735090727642,4.0,COMPLETE
12,790.8277103406909,0.8604158940660653,True,True,True,False,True,False,False,large,,0.03402718014505362,5,4,969,6.255974876015993e-06,0.48453408282028354,idw-c,0.6678256437033576,4.0,COMPLETE
13,809.0458076074223,0.8995865575719537,True,True,True,False,True,False,False,large,,0.0814195997658686,4,5,999,4.744409081305716e-06,0.8987884046113427,idw-c,0.6823225598418937,4.0,COMPLETE
14,897.1598895490115,0.8745643936114107,False,True,True,False,True,False,False,large,6.0,0.08225299769860066,5,1,997,6.702197519448169e-06,0.5262600502239911,idw-c,0.64732619948566,3.0,COMPLETE
15,835.900742039185,0.7408090429580156,True,True,True,False,True,False,False,none,,0.03706863082886075,4,4,998,3.967904244707412e-08,0.9992203306830492,idw-c,0.6597280757677965,4.0,COMPLETE
16,850.7690130373188,0.7992874355861189,True,True,True,False,True,False,False,large,,0.01025168408548485,4,5,899,2.4019317725177217e-05,0.04602330218544535,idw-c,0.7354113358845402,3.0,COMPLETE
17,811.968922018877,0.9162860339595852,True,True,True,False,True,False,False,large,,0.09149857724953471,4,2,932,0.00276422413820632,0.1249787767238485,idw-c,0.6049500827242308,3.0,COMPLETE
18,904.4446641583348,0.6793249789928542,False,True,True,False,True,True,True,none,6.0,0.04490905333203706,6,5,681,1.8529556840074123e-07,0.010005247372069925,idw-c,0.7049400089083022,5.0,COMPLETE
19,811.5668860966381,0.8791094605197313,True,True,True,False,True,False,False,small,,0.01792908857470212,5,7,829,1.4665705483977471e-05,0.23236323869774164,idw-wc-n,0.5905853547055551,5.0,COMPLETE
20,803.6530969715096,0.8128344651707117,True,True,True,False,True,False,False,large,,0.056898337878909265,10,10,593,0.8277240624959639,0.01062891375456651,idw-c,0.7814587268827831,4.0,COMPLETE
21,813.6328523913317,0.7875657547893165,True,True,True,False,True,False,False,large,,0.05636400809637004,10,10,587,0.9259495462391553,0.010623011997650405,idw-c,0.7886876351047947,4.0,COMPLETE
22,820.5861246367543,0.9086799799314503,True,True,True,False,True,False,False,large,,0.10366857063494603,10,3,514,0.9194147946295558,0.9377743083147732,idw-c,0.6951367129835098,4.0,COMPLETE
23,782.6582697940779,0.8306738719275882,True,True,True,False,True,False,False,large,,0.03702194555209814,6,7,641,0.0035751343773677375,0.010001562291386457,idw-c,0.7688229035924417,4.0,COMPLETE
24,795.2178054226036,0.8342037580749349,True,True,True,False,True,False,False,large,,0.027325466051525926,6,8,644,0.06622269818019544,0.009757067462527653,idw-c,0.8457032180220215,3.0,COMPLETE
25,796.1144084891386,0.6846928208012077,True,True,True,False,True,False,False,large,,0.023432852444490098,6,8,677,0.03468560137521609,0.0008529598500448073,idw-c,0.8372118686681138,2.0,COMPLETE
26,967.9093382965475,0.8340125094536356,False,False,True,False,True,True,True,large,6.0,0.03710756280709862,7,7,643,0.07382452795643168,0.00020802244175645955,idw-c,0.9251242131111367,,COMPLETE
27,1099.8195957748255,0.7746939347503845,True,True,True,False,True,False,False,large,12.0,0.014945490658571549,6,8,517,0.0015793709287863378,0.11527444260419623,cluster,0.7568347040173392,3.0,COMPLETE
28,760.608070401693,0.7081359312245439,True,True,True,False,True,False,False,small,1.0,0.025465111902999066,8,9,696,0.010656937204196958,0.0040846306710376696,idw-wc-n,0.8358289917552597,3.0,COMPLETE
29,766.8073692527214,0.7156143962774694,True,True,True,False,True,False,False,small,1.0,0.0424723860826434,8,9,794,0.0011911924724530287,0.0013086533995392427,idw-wc-n,0.8343706856264878,5.0,COMPLETE
30,768.8981688771531,0.7008106946294712,True,True,True,False,True,False,False,small,1.0,0.04572751009567435,8,9,818,0.0092980444495423,0.0027440034726718123,idw-wc-n,0.9114035021609123,5.0,COMPLETE
31,779.5679278973339,0.6941074567965462,True,True,True,False,True,False,False,small,1.0,0.046065207846070017,8,9,809,0.013467110236064641,0.00250503048659247,idw-wc-n,0.9128737619162296,5.0,COMPLETE
32,784.8778928622145,0.6864860830798751,True,True,True,False,True,False,False,small,1.0,0.0508415943986006,8,9,828,0.013625265669326203,0.002068512410444379,idw-wc-n,0.9092613290309306,5.0,COMPLETE
33,777.450359678158,0.6569289414777898,True,True,True,False,True,False,False,small,1.0,0.045545313065133604,9,10,720,0.0007436406924755957,0.002136563959885049,idw-wc-n,0.9750711836467165,5.0,COMPLETE
34,914.2885473960229,0.637108015337368,True,False,False,False,True,True,True,small,1.0,0.07128012584816361,9,10,722,0.0008505292087921146,0.0004919389214873782,idw-wc-n,0.9867961634528154,,COMPLETE
35,785.8113290569207,0.646225911918069,True,True,True,False,False,False,True,small,1.0,0.025098462177148572,9,10,871,0.000905996074274613,0.00011774041510759009,idw-wc-n,0.959012702839845,5.0,COMPLETE
36,712.3453592568485,0.7089371230417459,True,True,False,True,True,False,False,small,1.0,0.04260582007981813,8,9,780,0.010669189289490467,5.0380613868942754e-05,idw-wc-n,0.8782136292402768,5.0,COMPLETE
37,910.5401408647076,0.7213810336761675,False,True,False,True,True,True,False,small,1.0,0.19341492945535302,8,9,767,0.012340824940047141,1.0390825281317573e-06,idw-wc-n,0.8808180678698617,6.0,COMPLETE
38,793.2783967573195,0.7652367700898011,True,False,False,True,False,False,True,small,1.0,0.019118339449978077,7,9,786,0.22087897459533973,3.1445866491424694e-05,mean,0.8177207308211941,,COMPLETE
39,823.2304944039953,0.7230453410827002,True,True,False,True,True,False,False,small,1.0,0.12438526475542026,9,8,710,9.703565567616032e-05,5.4923207439742085e-06,idw-wc-n,0.8602119841487736,5.0,COMPLETE
40,777.4716158892828,0.613550645255702,True,True,False,True,False,False,False,small,1.0,0.0314930635746313,7,9,857,0.004958031436184313,0.00043220922262953283,idw-wc-n,0.8211026722464156,6.0,COMPLETE
41,790.6482392229449,0.6437053224674524,True,True,False,True,True,False,False,small,1.0,0.04109037697876361,8,10,308,0.0004591483558947023,0.0028968409933027113,idw-wc-n,0.897703683215063,5.0,COMPLETE
42,772.5472607482479,0.7497403863177977,True,True,False,True,True,False,False,small,1.0,0.06586753154363578,9,10,714,4.585740305622284e-05,0.00010108650301561319,idw-wc-n,0.9577696748765253,5.0,COMPLETE
43,762.8190637491584,0.7083081966499859,True,True,False,True,True,False,False,small,1.0,0.06748921539797903,8,8,750,8.253313040618339e-05,4.784743118520387e-05,idw-wc-n,0.9504357459761243,5.0,COMPLETE
44,756.8732493977949,0.7158957115953051,True,True,False,True,True,False,False,small,1.0,0.06371495841310983,8,8,797,0.00015092793073381326,2.2417426030497625e-07,idw-wc-n,0.8875896504138232,6.0,COMPLETE
45,806.4039609824953,0.5736786422267689,True,False,False,True,True,False,False,small,1.0,0.06416897469682295,7,8,752,0.00014418146148039476,1.6842912958091446e-08,mean,0.8657194192551533,,COMPLETE
46,941.6936072072155,0.72831250419227,True,True,False,True,True,True,False,small,1.0,0.10810618844337416,8,6,744,6.330782621921592e-05,2.8944830409531464e-07,idw-wc-c,0.8884165921558697,6.0,COMPLETE
47,804.8103030645583,0.7088875833864907,False,True,False,True,False,False,False,small,1.0,0.15427713570770257,8,8,786,0.0003620028868495622,8.809654510592947e-08,idw-wc-n,0.9363041455014284,6.0,COMPLETE
48,815.1655043273023,0.6603279724799881,True,True,False,True,True,False,False,small,12.0,0.07900972376415873,7,7,680,0.0025561866457457687,9.723577646904588e-06,max,0.8373111074578721,6.0,COMPLETE
49,773.5611144701453,0.7574753300591871,True,False,False,True,True,False,True,small,1.0,0.0326030299252847,9,8,871,0.02749383052278541,4.98664417933142e-05,cluster,0.8059291319072632,,COMPLETE
50,761.8115324594391,0.6218305349324422,True,True,False,True,True,False,False,none,1.0,0.05312444117292785,8,9,906,0.00015672618456128123,5.31736539513087e-07,idw-wc-n,0.9499340220571137,2.0,COMPLETE
51,810.6104544606729,0.5561734802369773,True,True,False,True,True,False,False,none,1.0,0.05983909425441135,8,9,909,0.0001814804460193971,7.142261481890727e-07,idw-wc-n,0.935920597105248,2.0,COMPLETE
52,740.2140524480377,0.6254251370422407,True,True,False,True,True,False,False,none,1.0,0.050308726745365566,8,9,932,2.6051295282687768e-05,2.930137882968251e-06,idw-wc-n,0.9484063076017504,2.0,COMPLETE
53,773.1375083516945,0.6107654572268038,True,True,False,True,True,False,False,none,1.0,0.05296341257023722,7,8,949,1.2208165969495319e-06,3.5497025251011995e-06,idw-wc-n,0.9514294846683183,2.0,COMPLETE
54,755.976818925517,0.6231842966080912,True,True,False,True,True,False,False,none,1.0,0.09446227930068696,8,9,896,1.8658791596752557e-05,3.1144700956513424e-07,idw-wc-n,0.9991782246785587,2.0,COMPLETE
55,786.7531820732175,0.6276693331101468,True,True,False,True,True,False,False,none,1.0,0.08639004651925715,9,9,894,2.94369453455334e-05,2.0495516406298837e-07,idw-wc-c,0.9863207411640478,2.0,COMPLETE
56,858.2215546681122,0.5841616531037424,False,True,False,True,True,False,False,none,6.0,0.09668687770920636,7,9,944,1.2258543554981991e-05,3.733476773097399e-08,idw-wc-n,0.9963875198177662,2.0,COMPLETE
57,966.131614498703,0.508762438578646,True,True,False,True,True,True,False,none,12.0,0.04961564084148954,8,10,975,2.6284777238480952e-06,5.115146549334712e-07,max,0.9695872650000251,2.0,COMPLETE
58,819.3119866343018,0.5323247299181251,True,True,False,True,False,False,False,none,1.0,0.07591747735026742,9,9,921,1.248063887377007e-05,1.507601751688109e-06,idw-wc-n,0.9248243267639332,2.0,COMPLETE
59,808.5817757618894,0.668182355690726,True,True,False,True,True,False,False,none,1.0,0.1315966596138793,7,7,970,0.2850775873153959,1.3076023618112253e-07,mean,0.895728371822543,3.0,COMPLETE
60,740.5711254508551,0.618847542075162,True,True,False,True,True,False,False,none,1.0,0.038476159560657884,8,10,845,2.862992062538452e-05,3.169952803923918e-06,idw-wc-n,0.8575729125060046,3.0,COMPLETE
61,791.1130216383195,0.5983913785299855,True,True,False,True,True,False,False,none,1.0,0.038323288737144356,8,10,843,3.3405531508682664e-05,2.0833097653025248e-06,idw-wc-n,0.8567778996345943,3.0,COMPLETE
62,747.6360688173946,0.6222947762027178,True,True,False,True,True,False,False,none,1.0,0.027637368990357035,8,10,884,2.077110061284705e-05,6.122049001419809e-08,idw-wc-n,0.879537560902862,2.0,COMPLETE
63,791.679989201603,0.5722309687899259,True,True,False,True,True,False,False,none,1.0,0.026788553674688548,8,10,872,7.485618580499776e-07,8.896939709998403e-08,idw-wc-n,0.8823770166004864,3.0,COMPLETE
