Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,False
gust_factor,True
turbulence_window,0
lags_choice,large
precip_lags_choice,none
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,capacity
lags_target,1
n_estimators,683
learning_rate,0.1430282126928896
max_depth,9
min_child_weight,8
subsample,0.9035912808562685
colsample_bytree,0.778358819343432
reg_alpha,0.2101660476092761
reg_lambda,2.1191472839440265e-05
