date,load_tran_actual,load_tran_fitted,load_tran_lower,load_tran_upper
2025-02-01 00:00:00+00:00,,6111.017691808422,5688.532619138093,6531.197908919807
2025-02-01 01:00:00+00:00,,6101.813144309419,5680.8157250327085,6523.36911600898
2025-02-01 02:00:00+00:00,,6195.468616686172,5772.863749106206,6618.2171735709935
2025-02-01 03:00:00+00:00,,6427.100796814328,6006.251490532113,6849.195902217854
2025-02-01 04:00:00+00:00,,6780.495587508953,6359.550934901604,7201.865084114625
2025-02-01 05:00:00+00:00,,7197.168564225963,6774.9074576671055,7619.943172694657
2025-02-01 06:00:00+00:00,,7601.530375594451,7180.801914791338,8023.414387377528
2025-02-01 07:00:00+00:00,,8006.544241579302,7584.96278941316,8427.876040073274
2025-02-01 08:00:00+00:00,,8351.968329636904,7928.972169853696,8771.977838342613
2025-02-01 09:00:00+00:00,,8577.262913634926,8157.56771138212,9000.854212241122
2025-02-01 10:00:00+00:00,,8680.852855616165,8254.976836489528,9099.915660684614
2025-02-01 11:00:00+00:00,,8733.542637293263,8312.713176393232,9155.149821627863
2025-02-01 12:00:00+00:00,,8595.868020203878,8174.189657239276,9018.30891916814
2025-02-01 13:00:00+00:00,,8472.419025386125,8051.365695269522,8894.727026659823
2025-02-01 14:00:00+00:00,,8444.053113440854,8021.962537101375,8865.392694448761
2025-02-01 15:00:00+00:00,,8361.021786666008,7939.789121631558,8782.94265016227
2025-02-01 16:00:00+00:00,,8210.62125902525,7789.336727763467,8632.235482119391
2025-02-01 17:00:00+00:00,,7999.003246670077,7578.708310950377,8421.271132542402
2025-02-01 18:00:00+00:00,,7726.980390352823,7306.915187138884,8148.749395561944
2025-02-01 19:00:00+00:00,,7400.112297254166,6978.078466764661,7822.1414738285985
2025-02-01 20:00:00+00:00,,6974.278198459435,6552.736044940532,7395.144926949266
2025-02-01 21:00:00+00:00,,6473.180185004416,6051.124532528497,6893.715944552073
2025-02-01 22:00:00+00:00,,6014.115580378716,5592.626498339067,6435.950362215856
2025-02-01 23:00:00+00:00,,5615.278292466603,5192.791500804136,6038.126025698146
2025-02-02 00:00:00+00:00,,5454.5029501283825,5031.056356823592,5874.287016058655
2025-02-02 01:00:00+00:00,,5446.006361657482,5022.255901406357,5866.624762748167
2025-02-02 02:00:00+00:00,,5588.956684835143,5165.589287458296,6008.759840167791
2025-02-02 03:00:00+00:00,,5813.012777897831,5391.774328404026,6233.714167297741
2025-02-02 04:00:00+00:00,,6135.5346465043685,5713.510944348846,6556.422075195099
2025-02-02 05:00:00+00:00,,6559.430946467153,6137.055560147413,6980.96487613215
2025-02-02 06:00:00+00:00,,7010.0600709723885,6588.228461775267,7430.399424575029
2025-02-02 07:00:00+00:00,,7507.820008070823,7085.065193764731,7928.632008319397
2025-02-02 08:00:00+00:00,,7959.31999950868,7535.610040121002,8379.005609276615
2025-02-02 09:00:00+00:00,,8277.908114024733,7855.526142323018,8700.0232182442
2025-02-02 10:00:00+00:00,,8367.72145230594,7942.906318954877,8787.229925619456
2025-02-02 11:00:00+00:00,,8326.08264540675,7903.349296417064,8748.495276233676
2025-02-02 12:00:00+00:00,,8227.1806829309,7803.527695395553,8647.194108808015
2025-02-02 13:00:00+00:00,,8077.912548686048,7655.492708133005,8498.477400643042
2025-02-02 14:00:00+00:00,,7938.176185102431,7514.501351987414,8357.305219850816
2025-02-02 15:00:00+00:00,,7893.8258615277255,7470.455529759599,8315.41612702789
2025-02-02 16:00:00+00:00,,7740.965284840244,7318.284236613251,8161.584532393151
2025-02-02 17:00:00+00:00,,7482.074074556682,7061.250715172521,7903.204906418281
2025-02-02 18:00:00+00:00,,7167.281894514733,6747.399980050465,7590.794680488478
2025-02-02 19:00:00+00:00,,6770.797715777881,6349.646691035674,7192.782107796493
2025-02-02 20:00:00+00:00,,6349.3196395186615,5929.155142055534,6771.906576182547
2025-02-02 21:00:00+00:00,,5866.319785614715,5443.892881774153,6287.38045976253
2025-02-02 22:00:00+00:00,,5422.779080650286,5000.061730461852,5844.72339197636
2025-02-02 23:00:00+00:00,,5064.207172432498,4640.548276874977,5484.895494773456
2025-02-03 00:00:00+00:00,,4984.9885732377625,4564.38020884858,5406.918070824832
2025-02-03 01:00:00+00:00,,5066.760152925638,4644.603094013496,5488.1662621433625
2025-02-03 02:00:00+00:00,,5298.163830108671,4876.067978609168,5719.177349652134
2025-02-03 03:00:00+00:00,,5627.672465129098,5205.954636787057,6049.094785132398
2025-02-03 04:00:00+00:00,,6059.723577671076,5638.587376330978,6481.546687650606
2025-02-03 05:00:00+00:00,,6574.839838567191,6154.600669748356,6995.778075885306
2025-02-03 06:00:00+00:00,,7129.685757514709,6709.142610109088,7550.748563587879
2025-02-03 07:00:00+00:00,,7687.262241992351,7265.027078851633,8107.872000942531
2025-02-03 08:00:00+00:00,,8135.08015819162,7714.132881057954,8557.678361101849
2025-02-03 09:00:00+00:00,,8456.456135183882,8033.956978773251,8876.766998586989
2025-02-03 10:00:00+00:00,,8665.230482430215,8243.996202978436,9086.734796995843
2025-02-03 11:00:00+00:00,,8594.387750755239,8173.943131800559,9016.365719074605
2025-02-03 12:00:00+00:00,,8445.909606527019,8026.848836366667,8869.407488503895
2025-02-03 13:00:00+00:00,,8375.795582771472,7953.3515043721245,8799.268335110653
2025-02-03 14:00:00+00:00,,8335.179538812006,7914.503149642465,8756.578805148816
2025-02-03 15:00:00+00:00,,8338.624912473982,7918.152956258773,8761.700902537876
2025-02-03 16:00:00+00:00,,8223.56133961345,7802.017581855237,8645.092419485674
