number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_option,params_lags_target,params_precip_lags_option,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,655.9085655539226,0.15986179274852452,False,False,False,True,True,False,True,False,True,False,0.03693302931598548,none,12.0,none,None,,True,COMPLETE
1,500.44467414946206,7.789466266992845e-05,False,False,True,True,True,True,False,False,True,False,0.0008764729273758855,none,1.0,large,idw,3.0,False,COMPLETE
2,456.37748552046895,1.0981156708676118e-05,False,True,False,True,True,True,True,False,True,False,0.00010047736421076977,none,12.0,small,max,,True,COMPLETE
3,880.4342999742126,5.867813402611689e-05,False,True,True,False,False,False,False,False,False,False,0.009635224434620372,none,,none,max,2.0,False,COMPLETE
4,640.632910498761,0.5035508921961553,False,False,False,False,False,False,True,True,True,False,0.009347166475766068,large,1.0,large,max,,False,COMPLETE
5,207.22513606510165,0.0011617915280306974,True,False,False,True,False,True,True,False,False,False,0.258254498088998,large,1.0,none,idw,,True,COMPLETE
6,942.9996954636605,0.026751542422269018,False,True,False,False,False,False,True,True,False,False,0.0009147519253272821,small,,small,distance_capacity,,False,COMPLETE
7,274.1948320221343,0.8545970800494943,True,True,False,True,False,False,True,False,True,True,3.64219224501803e-05,large,,large,idw,,False,COMPLETE
8,506.3992736627233,1.9929723188769027e-06,False,False,False,False,True,True,False,False,True,True,0.1429396900444157,none,6.0,large,distance_capacity,,False,COMPLETE
9,833.0531241853299,6.474835198486471e-06,False,True,False,False,True,False,False,False,True,False,0.13065617868324286,large,,none,mean,,True,COMPLETE
10,203.43509043264615,0.0024684711000825827,True,False,True,True,False,True,True,True,False,True,0.9824988211413371,small,1.0,none,distance_n_turbines,6.0,True,COMPLETE
11,203.43509043264615,0.003397041458439437,True,False,True,True,False,True,True,True,False,True,0.7972631278321012,small,1.0,none,distance_n_turbines,6.0,True,COMPLETE
12,203.43509043264615,0.0026490747707936606,True,False,True,True,False,True,True,True,False,True,0.9436428802882499,small,1.0,none,distance_n_turbines,6.0,True,COMPLETE
13,203.43509043264615,0.009952262888380088,True,False,True,True,False,True,True,True,False,True,0.9859531468712895,small,1.0,none,distance_n_turbines,6.0,True,COMPLETE
14,205.9551595566219,0.00048610543457909273,True,False,True,True,False,True,True,True,False,True,0.038255925234656256,small,6.0,none,distance_n_turbines,5.0,True,COMPLETE
15,203.07061382410373,0.03471710003008664,True,False,True,True,False,True,True,True,False,True,0.9629271713509664,small,1.0,none,capacity,5.0,True,COMPLETE
16,206.93937259894514,0.031170140793025533,True,False,True,True,False,True,True,True,False,True,0.03639820744728241,small,1.0,small,capacity,4.0,True,COMPLETE
17,203.07061382410373,0.08290255233698073,True,False,True,True,False,True,True,True,False,True,0.2295723352209006,small,1.0,none,capacity,5.0,True,COMPLETE
18,193.63301710459965,0.12182934578077474,True,False,True,True,False,True,False,True,False,True,0.2069722475818152,small,6.0,none,capacity,4.0,True,COMPLETE
19,198.11262102144644,0.14545477426999234,True,False,True,True,False,True,False,True,False,True,0.0015155122690976538,small,6.0,small,capacity,4.0,True,COMPLETE
20,198.11262102144644,0.292941436926802,True,False,True,True,False,True,False,True,False,True,0.00047537445839817844,small,6.0,small,capacity,4.0,True,COMPLETE
21,198.11262102144644,0.14245428957773246,True,False,True,True,False,True,False,True,False,True,0.0003652768435839577,small,6.0,small,capacity,4.0,True,COMPLETE
22,197.6161150864766,0.34407158071738014,True,False,True,True,False,True,False,True,False,True,0.002662993534295505,small,6.0,small,capacity,3.0,True,COMPLETE
23,197.6161150864766,0.8787239148209598,True,False,True,True,False,True,False,True,False,True,0.002910877300769631,small,6.0,small,capacity,3.0,True,COMPLETE
24,197.6161150864766,0.5380045564320303,True,False,True,True,False,True,False,True,False,True,0.005377021422530884,small,6.0,small,capacity,3.0,True,COMPLETE
25,197.6161150864766,0.013731476275847743,True,False,True,True,False,True,False,True,False,True,0.0026697427690345605,small,6.0,small,mean,3.0,True,COMPLETE
26,202.50067937371406,0.06576035990750098,True,True,True,False,True,True,False,True,False,True,0.015360575235615879,small,6.0,small,None,2.0,True,COMPLETE
27,197.6161150864766,0.7086254915848591,True,False,True,True,False,True,False,True,False,True,1.007310657983373e-05,small,6.0,small,capacity,3.0,True,COMPLETE
28,197.38655420868815,0.23297796706396073,True,False,True,True,False,True,False,True,False,True,0.00012332307993457515,large,6.0,small,capacity,3.0,True,COMPLETE
29,220.849061917719,0.230869448891855,True,False,True,True,True,False,False,True,False,True,0.0001157653476061089,large,12.0,small,None,2.0,True,COMPLETE
