number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,978.160692493871,none,0.6737799412732022,False,False,False,False,False,True,True,False,True,True,False,0.2925523542789927,9,1,652,none,0.6282701772742605,0.041300707684041704,none,distance_capacity,0.9412202539972363,False,True,False,COMPLETE
1,880.032900310824,none,0.7048467803116583,False,True,False,False,True,True,False,False,True,False,True,0.020984598673374554,10,7,733,none,1.0361265487618376e-06,0.0017106100904963706,large,capacity,0.5647610761514859,False,False,True,COMPLETE
2,880.0237529939317,medium,0.6387388009605854,True,False,False,True,False,False,True,True,True,False,False,0.060657343889128953,10,5,697,none,0.0008815504649570189,7.87458404547615e-08,small,idw,0.8239061201215503,False,False,True,COMPLETE
3,868.5225308962391,small,0.8366948979958814,True,False,True,True,True,True,True,False,False,False,False,0.06206535258184607,3,10,722,large,4.124565917159978e-05,0.004212092015521978,large,mean,0.8807994486755364,True,False,False,COMPLETE
4,894.9767595062626,large,0.6025467834710958,False,True,False,False,False,False,False,False,True,True,True,0.036557398932946,6,10,688,large,4.071814494118999e-08,1.1135359093980116e-08,none,n_panels,0.9919951849081105,False,False,True,COMPLETE
5,914.0408342951187,small,0.5093398020334763,True,True,True,False,True,False,True,False,False,True,False,0.06894001076568133,9,9,408,none,9.044379986596562e-06,0.011525092889478096,small,distance_n_panels,0.984634077994345,True,False,False,COMPLETE
6,844.4760234786041,medium,0.5576058310118609,False,False,True,True,False,False,False,False,True,True,False,0.01419146701099272,5,7,860,large,0.009925029815347786,1.3688530653551077e-07,large,max,0.7630766136613316,True,False,True,COMPLETE
7,848.8269373050248,medium,0.8957951715751691,True,True,False,True,False,True,False,True,True,True,False,0.02258505403213248,5,5,613,none,9.06163340992817e-06,8.492149577011173e-06,small,idw,0.8966934454411855,False,True,True,COMPLETE
8,800.8219027591061,large,0.8313577817415378,True,False,False,True,True,True,True,False,True,False,True,0.05745886914225352,4,8,589,large,0.00010516819436339674,0.13033943293192365,large,None,0.9589242498526671,True,True,False,COMPLETE
9,945.9607499073877,medium,0.8979368077691208,True,False,True,False,True,False,False,True,False,False,False,0.2902074488065019,4,5,889,small,0.00034974584848190224,0.017048801471359898,large,max,0.6770283952714686,False,False,True,COMPLETE
10,858.1793600618298,large,0.7896659677748722,True,False,False,True,True,True,True,True,False,False,True,0.15286969183949978,7,2,428,small,0.04431790134160493,0.8741881571062878,medium,None,0.6595297332519581,True,True,False,COMPLETE
11,826.6402448396369,large,0.9758958973169964,False,False,True,True,False,False,False,False,True,True,True,0.010304209720053997,3,7,970,large,0.00766833800550488,5.4138190946447e-06,large,None,0.7604920853694117,True,True,False,COMPLETE
12,813.0789817867361,large,0.9787146547947285,False,False,True,True,False,True,True,False,True,True,True,0.010798509479935688,3,7,992,large,0.0051808558436610445,1.5841640136662437e-05,large,None,0.5279769391919474,True,True,False,COMPLETE
13,811.2822947434123,large,0.9909135336807322,False,False,True,True,True,True,True,False,True,False,True,0.1236628530720002,4,8,553,large,0.0009958531463034952,0.0001143289214144353,medium,None,0.5389509817293108,True,True,False,COMPLETE
14,840.9545146320007,large,0.8801321668627211,False,False,False,True,True,True,True,False,True,False,True,0.11191963932866525,7,8,525,large,5.02428528574845e-07,0.0003344573090171546,medium,None,0.6308970318634306,True,True,False,COMPLETE
15,850.2913811809867,large,0.7636948049447803,True,False,True,True,True,True,True,False,True,False,True,0.11227817938139484,5,3,307,large,8.881289538278916e-05,0.5445808606494089,medium,None,0.5047457793559161,True,True,False,COMPLETE
16,825.7127935861294,large,0.9415306131826655,True,False,True,True,True,True,True,False,True,False,True,0.04026738596197731,4,9,559,small,0.0009339581724463963,8.882384609468933e-05,medium,n_panels,0.8242693709323101,True,True,False,COMPLETE
17,920.6540058457875,large,0.8154062140003489,False,False,False,True,True,True,True,False,True,False,True,0.1454491636565395,6,8,487,large,0.5487144500025729,0.12160484896065164,medium,capacity,0.5882058922097689,True,True,False,COMPLETE
18,873.4927013048209,none,0.7387056659371585,True,True,False,True,True,True,True,True,False,False,True,0.09765035939545601,4,6,787,large,1.647899941310339e-05,1.1409622144381855e-06,none,distance_capacity,0.7033150593577433,True,True,False,COMPLETE
19,889.6357156756072,small,0.9978985635237203,False,False,True,True,True,True,True,False,True,False,True,0.203119332978281,8,4,586,large,1.1747515977922787e-06,0.00043166586743274284,medium,distance_n_panels,0.8101760967010398,True,True,False,COMPLETE
