Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,large
shortwave_lags_option,large
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,None
n_estimators,589
learning_rate,0.05745886914225352
max_depth,4
min_child_weight,8
subsample,0.9589242498526671
colsample_bytree,0.8313577817415378
reg_alpha,0.00010516819436339674
reg_lambda,0.13033943293192365
use_base_models_pred_intervals,False
cv_folds_base,40
