Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,False
turbulence_window,2
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,max
n_estimators,532
learning_rate,0.11055535199445189
max_depth,8
min_child_weight,3
subsample,0.5108758214475148
colsample_bytree,0.8732384975799369
reg_alpha,0.0003220364532525389
reg_lambda,1.0654429699053002e-07
use_base_models_pred_intervals,False
cv_folds_base,40
