number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,1189.0992692624109,0.2653420963566831,True,True,False,False,False,True,True,True,True,True,0.9448408963188527,none,1.0,none,distance_capacity,0,True,COMPLETE
1,4089.387678866771,0.32475923545089785,False,False,False,False,True,True,True,False,True,False,0.9564324690423883,none,12.0,small,capacity,2,True,COMPLETE
2,2903.224548455904,0.2330711695485137,False,False,False,True,False,True,False,True,True,False,0.5856114157155615,small,6.0,none,capacity,2,False,COMPLETE
3,inf,0.2747818563500761,True,True,True,True,False,True,False,False,False,False,0.528634473343859,small,,small,None,2,False,COMPLETE
4,1360.2371682652179,0.7202441186966171,True,False,False,True,True,True,True,False,True,False,0.41618351358949335,none,,small,capacity,6,False,COMPLETE
5,3873.511035504229,0.1974102966847575,False,True,True,True,True,True,True,True,True,True,0.05819699271443177,none,1.0,large,idw,2,True,COMPLETE
6,3262.4831058088816,0.2307198294720564,False,False,False,False,False,False,False,False,True,True,0.6955759795409372,small,6.0,small,mean,2,True,COMPLETE
7,1114.4908015420563,0.419941859452736,True,True,False,True,True,False,False,True,False,False,0.6892142852039781,none,6.0,large,mean,6,False,COMPLETE
8,4048.973854127255,0.7475798853864296,False,True,False,False,False,False,True,True,True,True,0.7701071793980693,small,1.0,large,capacity,2,True,COMPLETE
9,1018.4567526128448,0.9152145093870251,True,True,False,True,True,True,True,False,False,True,0.6684922936946538,large,12.0,none,distance_capacity,2,True,COMPLETE
10,972.2577105436917,0.9141084103597253,True,True,True,True,True,False,True,False,False,True,0.31192737728919445,large,12.0,none,distance_capacity,0,True,COMPLETE
11,972.2577105436917,0.9279389101136857,True,True,True,True,True,False,True,False,False,True,0.28615344392052827,large,12.0,none,distance_capacity,0,True,COMPLETE
12,978.0811325457406,0.9757780335851267,True,True,True,True,True,False,True,False,False,True,0.2720040642273879,large,12.0,none,distance_n_turbines,0,True,COMPLETE
13,1043.0341687100656,0.6656602073598692,True,True,True,True,True,False,True,False,False,True,0.22909940379474758,large,12.0,none,max,0,True,COMPLETE
14,972.2577105436917,0.036091665412736784,True,True,True,True,True,False,True,False,False,True,0.33269770318725833,large,12.0,none,distance_capacity,0,True,COMPLETE
15,972.2577105436917,0.8511922141192432,True,True,True,True,True,False,True,False,False,True,0.08325264007023728,large,12.0,none,distance_capacity,0,True,COMPLETE
16,972.2577105436917,0.5685473085611318,True,True,True,True,True,False,True,False,False,True,0.18461510059625147,large,12.0,none,distance_capacity,0,True,COMPLETE
17,973.9249702018063,0.8330385244615645,True,True,True,True,True,False,True,False,False,True,0.38875024314329226,large,12.0,none,idw,0,True,COMPLETE
18,inf,0.9999485582763952,True,False,True,False,True,False,False,False,False,True,0.15329989996510424,large,,none,None,0,False,COMPLETE
19,1024.2010648400767,0.5709472177167494,True,True,True,True,True,False,True,False,False,True,0.4853431726429069,large,12.0,large,distance_n_turbines,6,True,COMPLETE
