Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,medium
shortwave_lags_option,large
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,None
lags_target,
l1_ratio,0.8213876880878125
alpha,0.3105545690822392
