date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-01-23 11:00:00+00:00,24817.25,25350.81198925917,24784.632504471978,25916.991474046372
2025-01-23 12:00:00+00:00,24645.75,25072.909930340895,24506.7304455537,25639.08941512809
2025-01-23 13:00:00+00:00,24367.25,24671.658932763658,24105.47944797646,25237.838417550855
2025-01-23 14:00:00+00:00,23866.25,24432.1056917015,23865.926206914308,24998.2851764887
2025-01-23 15:00:00+00:00,24011.5,24304.18531274724,23738.00582796004,24870.364797534436
2025-01-23 16:00:00+00:00,24337.25,24898.911027772672,24332.73154298548,25465.090512559873
2025-01-23 17:00:00+00:00,23971.75,24854.881944559795,24288.702459772598,25421.06142934699
2025-01-23 18:00:00+00:00,23415.5,24587.510499177683,24021.331014390486,25153.68998396488
2025-01-23 19:00:00+00:00,22805.0,23485.681583048303,22919.502098261106,24051.861067835496
2025-01-23 20:00:00+00:00,21804.0,22274.71201909215,21708.53253430495,22840.891503879342
2025-01-23 21:00:00+00:00,20928.75,20888.782021434272,20322.602536647075,21454.96150622147
2025-01-23 22:00:00+00:00,19241.75,19578.016199105354,19011.836714318157,20144.19568389255
2025-01-23 23:00:00+00:00,18338.25,18414.777167972617,17848.59768318542,18980.956652759814
2025-01-24 00:00:00+00:00,17485.0,17755.958637346077,17189.77915255888,18322.138122133274
2025-01-24 01:00:00+00:00,17330.5,17391.51481968605,16825.335334898853,17957.694304473247
2025-01-24 02:00:00+00:00,17250.75,17475.067513730948,16908.88802894375,18041.246998518145
2025-01-24 03:00:00+00:00,17764.75,17859.60860849341,17293.429123706213,18425.788093280607
2025-01-24 04:00:00+00:00,18375.5,19056.534390048586,18490.35490526139,19622.713874835783
2025-01-24 05:00:00+00:00,20974.0,21583.80587012649,21017.626385339292,22149.985354913682
2025-01-24 06:00:00+00:00,22683.5,23537.38132744648,22971.201842659284,24103.560812233678
2025-01-24 07:00:00+00:00,23188.0,24420.04350954899,23853.86402476179,24986.22299433618
2025-01-24 08:00:00+00:00,23450.0,24609.947937135577,24043.76845234838,25176.12742192277
2025-01-24 09:00:00+00:00,23577.25,24607.701837244145,24041.522352456945,25173.88132203134
2025-01-24 10:00:00+00:00,23254.5,24660.997095332837,24094.817610545644,25227.176580120034
2025-01-24 11:00:00+00:00,23640.25,24589.256829561222,24023.07734477403,25155.436314348422
2025-01-24 12:00:00+00:00,23169.5,24241.138079788223,23674.958595001022,24807.317564575416
2025-01-24 13:00:00+00:00,22551.25,23909.57593075828,23343.396445971084,24475.755415545478
2025-01-24 14:00:00+00:00,22662.75,23697.323808627887,23131.14432384069,24263.503293415084
