number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,621.8960423094611,medium,0.8113293403502888,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,0.05717035040036278,14,88,0.275743735623306,925,146,medium,2.063360368617301e-08,0.004398002214273819,long,population,0.8094832109180612,medium,True,COMPLETE
1,760.4689415688232,medium,0.8606481767324641,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,0.27191621789435483,5,52,0.18281811098003165,763,65,medium,0.001848002376431044,0.01320976365485271,long,None,0.6986852833459136,medium,True,COMPLETE
2,656.7607126814919,medium,0.7976206002504356,False,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,0.019094556919472677,7,40,0.07642512886914798,395,45,medium,0.037285472390517986,3.733813997313404e-05,long,idw,0.8560149148754304,none,False,COMPLETE
3,618.1368130954015,none,0.6549237510843209,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False,False,0.04390247052683298,12,42,0.02975582676987243,624,70,medium,0.012901893157109637,0.006717379658362158,long,energy,0.5213177528341599,small,True,COMPLETE
4,714.943126137714,none,0.843473943466345,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,0.08930638529230053,8,29,0.3626157469713403,354,114,medium,0.9473775005462706,1.2648364100510695e-05,long,population,0.7344080622680291,none,True,COMPLETE
5,701.9441909704059,small,0.9845723474652275,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,0.10619097561498217,9,11,0.26609786900540944,467,11,small,0.12613510974846656,0.0005306755440580595,none,distance_energy,0.5727933517894928,medium,False,COMPLETE
6,636.6237024123434,none,0.9537892706899117,False,False,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,0.08243297333415187,11,58,0.14730518580803453,820,46,medium,0.015784258763861754,1.7621736147557645e-05,short,population,0.9041813912570222,none,False,COMPLETE
7,656.9355890705186,medium,0.512015783638788,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,0.08815202398724538,15,23,0.22866234365561505,614,113,none,6.837276327735807e-07,0.011598786927324838,short,idw,0.5474014184037468,none,False,COMPLETE
8,685.2866455138197,small,0.5453670792424217,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,False,True,0.010570187082496817,8,94,0.40911795334298917,692,52,small,1.842018612143169e-07,6.151700391365406e-07,short,idw,0.7428272160110616,small,True,COMPLETE
9,663.5318570668247,small,0.8110983070470508,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,0.04262279690452547,14,27,0.277522274265174,992,25,small,0.012980664907764675,1.366015727742136e-06,short,idw,0.7714997573166555,medium,False,COMPLETE
10,641.8877418597185,none,0.665966006082378,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,0.026459105061307806,12,72,0.036935464890870635,563,102,none,4.872400948103554e-05,0.8105116404244408,none,energy,0.6321021376407119,small,True,COMPLETE
11,619.2432371773493,none,0.6809014617636464,True,True,True,True,False,False,False,True,True,False,False,False,True,False,True,True,True,0.04213266713268621,16,99,0.46737304828931675,925,150,medium,6.602844998962092e-05,0.005356457039723573,long,distance_population,0.9919769518891587,small,True,COMPLETE
12,610.5313837616771,none,0.6612587972001759,True,True,True,True,False,False,False,True,True,False,False,False,True,False,True,True,True,0.031169213769351774,16,73,0.4947515801315746,847,85,medium,0.00015038796632657595,0.29074611743065976,long,distance_population,0.9856222247612076,small,True,COMPLETE
13,631.5026519000985,none,0.604996581815356,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,False,0.022026796762201387,12,72,0.4911438474794765,780,84,medium,0.0005227590610990711,0.7692252232233149,long,mean,0.9639929688604459,small,True,COMPLETE
14,630.9027610296981,none,0.7052864457169061,True,False,True,True,False,False,False,True,True,False,False,False,True,False,True,True,True,0.013748768947720808,16,71,0.35627720869733354,518,80,medium,7.207459059221338e-06,0.07090960477148102,long,energy,0.5037963668189619,small,True,COMPLETE
15,677.8964108021578,none,0.6099613481686317,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,0.17385286878188558,13,51,0.003540880970575866,685,88,none,0.0009622598008452758,1.3355579936651973e-08,long,max,0.6432724426403443,small,True,COMPLETE
16,649.7964970499806,none,0.6104207237531045,True,False,True,False,False,False,False,True,True,False,True,False,True,True,True,True,True,0.033731230735034735,10,81,0.1162699192573644,853,70,medium,2.916964496330405e-06,0.1002694893627468,none,distance_population,0.9226088537102195,small,True,COMPLETE
17,589.7784326186629,none,0.7448137352583265,True,True,True,True,False,False,True,True,True,False,False,False,False,False,True,False,False,0.05691038310242611,4,61,0.33540741532295115,631,101,medium,0.0030778653501813804,0.0006094968199515449,long,energy,0.8451571333244108,small,True,COMPLETE
18,584.9878514754633,none,0.7401801976446745,False,True,True,True,True,False,False,True,False,False,False,False,True,False,True,True,False,0.06154204545105969,3,62,0.4286056024100838,730,124,none,0.00025443055206836307,0.0002260575471092574,long,distance_population,0.8644586741703154,small,True,COMPLETE
19,652.5669767188224,small,0.746571546327247,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,0.15743752653223841,3,64,0.36063372740586275,737,131,none,9.248758940412506e-06,0.0002766896692389494,none,distance_energy,0.8446038390594454,small,True,COMPLETE
