Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,True
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,none
cloud_lags_option,none
rolling_temp_option,long
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,True
spatial_agg_method,distance_population
n_estimators,730
learning_rate,0.06154204545105969
num_leaves,124
max_depth,3
min_child_samples,62
subsample,0.8644586741703154
colsample_bytree,0.7401801976446745
reg_alpha,0.00025443055206836307
reg_lambda,0.0002260575471092574
min_split_gain,0.4286056024100838
use_base_models_pred_intervals,False
cv_folds_base,40
