date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2025-08-09 00:00:00+00:00,,8398.49077800511,7887.537348528241,8913.925369649813
2025-08-09 01:00:00+00:00,,8153.76566636946,7642.920734628569,8669.608253238628
2025-08-09 02:00:00+00:00,,8092.147843038102,7581.284529194374,8608.552762376647
2025-08-09 03:00:00+00:00,,8292.61132825611,7780.565524103531,8806.3009298391
2025-08-09 04:00:00+00:00,,8683.302065938968,8170.428471947843,9195.639693496441
2025-08-09 05:00:00+00:00,,9142.624831039097,8630.952791409074,9655.642162177643
2025-08-09 06:00:00+00:00,,9603.042903925154,9091.838014748366,10117.416913603549
2025-08-09 07:00:00+00:00,,9897.148353830271,9384.445155000738,10410.402771880748
2025-08-09 08:00:00+00:00,,10000.231379811084,9486.525489991847,10511.414787348493
2025-08-09 09:00:00+00:00,,9990.092055143743,9475.877250322425,10502.544574998814
2025-08-09 10:00:00+00:00,,9961.213811040121,9446.899761638833,10472.852221114332
2025-08-09 11:00:00+00:00,,9929.563318058401,9415.750780890532,10441.783701052427
2025-08-09 12:00:00+00:00,,9914.449256165246,9401.89624381135,10426.595959547962
2025-08-09 13:00:00+00:00,,9905.508654517207,9393.16387478891,10418.291985118334
2025-08-09 14:00:00+00:00,,9906.059361735634,9393.324141028745,10419.43585746983
2025-08-09 15:00:00+00:00,,9916.202964020364,9403.244466442238,10429.577843050178
2025-08-09 16:00:00+00:00,,9947.9780221642,9435.98499249145,10460.754930056497
2025-08-09 17:00:00+00:00,,9954.133005808908,9442.913420246563,10467.547863073869
2025-08-09 18:00:00+00:00,,9863.034060223035,9350.787357111782,10374.896276436773
2025-08-09 19:00:00+00:00,,9617.985303853442,9106.150297151939,10130.989467355947
2025-08-09 20:00:00+00:00,,9251.732987457854,8741.543340916474,9766.7488457037
2025-08-09 21:00:00+00:00,,8790.754319912714,8280.051220160269,9305.242354298643
2025-08-09 22:00:00+00:00,,8292.882519181594,7782.976761334681,8807.497552559362
2025-08-09 23:00:00+00:00,,7883.311043671525,7372.368606436585,8398.330938035015
2025-08-10 00:00:00+00:00,,7593.661167172777,7084.096139133405,8109.16155769961
2025-08-10 01:00:00+00:00,,7516.581303974397,7007.056467983501,8032.6905514581795
2025-08-10 02:00:00+00:00,,7706.055795049091,7195.25149425669,8222.619516156246
2025-08-10 03:00:00+00:00,,8207.347472324605,7696.242422586651,8723.246829423264
2025-08-10 04:00:00+00:00,,8943.855561792105,8431.39081318249,9458.542753584483
2025-08-10 05:00:00+00:00,,9726.966858566091,9216.651890892083,10242.482673155633
2025-08-10 06:00:00+00:00,,10343.93007185822,9833.28957237894,10860.86543125867
2025-08-10 07:00:00+00:00,,10634.415348562912,10121.671253219381,11148.142657757851
2025-08-10 08:00:00+00:00,,10666.212621061464,10155.11081252288,11180.391505346504
2025-08-10 09:00:00+00:00,,10541.337571414822,10029.405298536258,11054.751349634242
2025-08-10 10:00:00+00:00,,10348.634641354283,9836.190620208476,10861.998450783849
2025-08-10 11:00:00+00:00,,10170.756409342446,9659.257709108932,10684.488533635214
2025-08-10 12:00:00+00:00,,10059.58628477456,9547.665835557791,10572.830299297315
2025-08-10 13:00:00+00:00,,10009.702271101207,9495.88924790399,10523.318262918576
2025-08-10 14:00:00+00:00,,10041.616245206931,9529.627783426273,10554.670963407605
2025-08-10 15:00:00+00:00,,10144.625797523058,9632.01057730073,10658.12656256711
2025-08-10 16:00:00+00:00,,10241.339920787625,9731.138806751873,10755.18412725116
2025-08-10 17:00:00+00:00,,10236.222231696913,9723.366356863906,10749.29963819845
2025-08-10 18:00:00+00:00,,10073.362741382494,9561.54440677504,10587.342569908502
2025-08-10 19:00:00+00:00,,9750.262494096612,9239.12063650871,10264.072962300444
2025-08-10 20:00:00+00:00,,9310.486089865008,8799.022331994302,9824.003641568255
2025-08-10 21:00:00+00:00,,8813.992094080233,8300.711232624333,9327.194993176752
2025-08-10 22:00:00+00:00,,64239.54976781933,18077.06924225884,101740.62828964918
2025-08-10 23:00:00+00:00,,87916.17526051181,87362.90914918105,88476.84603705644
2025-08-11 00:00:00+00:00,,85805.52912299123,85254.76603004815,86407.73680592759
2025-08-11 01:00:00+00:00,,71013.04002812917,70447.26905249961,71577.68987525185
2025-08-11 02:00:00+00:00,,52971.62168852168,52388.16450565695,53594.257837150326
2025-08-11 03:00:00+00:00,,60688.46677874795,40984.80865832292,76486.51022939882
2025-08-11 04:00:00+00:00,,59640.98762655059,58938.26886337314,60365.29501270285
2025-08-11 05:00:00+00:00,,51455.46101699855,50870.22482453287,52009.29563687879
2025-08-11 06:00:00+00:00,,40503.064303713654,39909.230171115014,41162.35482047913
2025-08-11 07:00:00+00:00,,31317.259297279896,30560.215994513463,32009.94204700343
2025-08-11 08:00:00+00:00,,25283.81478266648,24689.23442622381,25910.897163441517
2025-08-11 09:00:00+00:00,,29693.277088949,29153.911283043693,30291.626983155475
2025-08-11 10:00:00+00:00,,35253.702060427095,34736.5436801642,35775.02301193665
2025-08-11 11:00:00+00:00,,36235.41987104791,35668.26511121612,36784.480767761204
2025-08-11 12:00:00+00:00,,32721.580907110736,32192.979169741804,33238.48871461109
2025-08-11 13:00:00+00:00,,26792.721943240183,26261.548994702105,27326.56909776925
2025-08-11 14:00:00+00:00,,23602.091661989878,23078.885337585754,24131.95089819429
2025-08-11 15:00:00+00:00,,21478.226112756885,20941.662513809715,22019.582974085068
2025-08-11 16:00:00+00:00,,18936.43560945477,18409.584771974405,19468.12263940084
