Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,True
compute_wind_chill,False
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,True
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,small
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,none
drop_basic_meteo_features,False
drop_wind_meteo_features,False
drop_rad_meteo_features,True
spatial_agg_method,None
lags_target,1
n_estimators,991
learning_rate,0.029157972319380027
num_leaves,81
max_depth,6
min_child_samples,43
subsample,0.6033492662349262
colsample_bytree,0.5027300863505672
reg_alpha,6.285882294907017e-07
reg_lambda,0.09853338440765119
min_split_gain,0.01234767233023186
