number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,647.5818938791164,none,0.952211125679068,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,True,False,,0.23704712158292185,13,38,0.35540541016308497,845,29,medium,0.007110536735147144,0.003169554529725278,none,None,0.9111629507128669,none,COMPLETE
1,667.0008751172242,small,0.962505351871561,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,,0.026060160559929147,9,17,0.08785885482288491,539,94,medium,0.3612731154696277,1.3191464747179447e-06,long,max,0.6805670414157009,none,COMPLETE
2,735.2427936866524,medium,0.6368525465216395,False,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,True,12.0,0.17015348605803596,5,59,0.04045364807278995,779,138,medium,1.4347590601374999e-05,0.008830202317710784,long,population,0.9942152953127319,none,COMPLETE
3,714.1875836777795,small,0.5583439119487804,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,6.0,0.07230666929680549,6,65,0.4774763084088497,715,92,none,2.485251246973484e-07,0.0022355843196601778,long,idw,0.8388512528872267,medium,COMPLETE
4,828.340552786307,medium,0.8300139475667812,True,False,False,False,False,True,False,True,True,False,True,True,False,True,True,False,False,6.0,0.26279616194529576,5,66,0.03246203517216223,913,48,none,1.7862433893020156e-06,0.0035892136616148007,none,energy,0.5093024087794304,small,COMPLETE
5,827.375766335617,medium,0.6279668326432415,True,True,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False,12.0,0.16929604293989736,4,71,0.2864237715295337,931,38,none,1.3257649807730122e-07,0.005138174956054331,none,idw,0.5653261788938703,none,COMPLETE
6,730.4892507168184,none,0.9380528495037181,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,True,1.0,0.026540422843586535,16,87,0.2512980670662182,596,102,none,0.0021902706645815758,1.1762105047086188e-08,long,None,0.5376170402891551,none,COMPLETE
7,724.0470952254608,none,0.9952560189838769,True,True,True,True,False,True,False,False,True,False,False,False,True,False,True,True,False,12.0,0.059129566870446404,9,71,0.3426042134263667,822,123,none,5.683719462011947e-08,9.46970279220618e-06,none,max,0.5648147440999738,none,COMPLETE
8,693.9470314807321,medium,0.9495840333711031,False,True,False,True,True,True,False,False,True,True,False,True,True,True,False,True,True,6.0,0.013676704080105111,8,67,0.4633684459194855,531,75,medium,0.00035333244702391017,0.0013177528390621498,short,None,0.7947707927165808,medium,COMPLETE
9,655.2169226451571,none,0.9848955508452509,True,True,True,True,False,True,True,True,False,False,True,True,False,True,False,False,False,,0.01839446062584356,13,99,0.056447445922911565,877,22,small,0.059276445135297576,0.00010317801729648738,none,idw,0.9872817985494388,small,COMPLETE
10,676.2391354739549,none,0.8161053392229443,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,False,False,,0.13070053708051882,13,29,0.3736925553280443,324,10,small,0.007717523441389958,0.9228782289442722,short,distance_population,0.8913091725870222,small,COMPLETE
11,668.6021074087092,none,0.855899896121033,False,False,True,True,False,True,True,True,False,False,True,True,False,True,False,False,False,,0.01108954243404657,13,37,0.15175129536298065,958,11,small,0.2276634066981009,5.288049643432787e-05,none,mean,0.9984953026580855,small,COMPLETE
