number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,480.5632566074073,0.5989712588761319,0.011923592696004489,11,90,0.07206979891296017,536,133,1.201150692352118e-08,3.3674636575691814e-05,0.9111299149950554,False,COMPLETE
1,484.62786448637706,0.601532139601072,0.06317470046442171,12,83,0.15383591955450965,801,55,1.50311245431386e-07,0.013654996640110372,0.6755178312420489,True,COMPLETE
2,497.14668079970966,0.9456703905586494,0.06598626706392209,13,7,0.344420483888434,780,140,0.049507570608576544,1.2450738092727634e-07,0.9681958068874652,False,COMPLETE
3,482.1099571728905,0.6295873424887224,0.15805872128926424,14,40,0.2439718915799199,445,51,1.6665822455824695e-05,3.9022379350116266e-08,0.8720935929207407,False,COMPLETE
4,515.6765541153275,0.8096115873146463,0.12966254035876335,3,41,0.09729127192782466,864,126,1.5718736673600594e-05,2.395787402955952e-05,0.7893059203662152,True,COMPLETE
5,488.17819841267345,0.7398981818082006,0.15481383301748422,11,85,0.19753461380359133,483,79,0.010193583095857968,7.913316848649547e-05,0.7580676305848273,True,COMPLETE
6,499.9673299827421,0.9168527227990908,0.010500635055044078,14,87,0.07726838232779049,652,10,0.4670418016092962,0.007005491308840746,0.715164366774673,True,COMPLETE
7,494.8277642671614,0.7229031161719058,0.1987867325615624,6,93,0.41163596275374614,954,146,0.00030907103818970976,0.12845644281885232,0.6146882979077432,False,COMPLETE
8,504.5695165584695,0.6006057755138651,0.0836613260295441,3,56,0.330512555206242,711,56,5.636988653835932e-05,0.00022279454501714395,0.7507862473813964,True,COMPLETE
9,490.0676351115929,0.9252378794464765,0.07091477391176372,11,22,0.043552138195811774,960,95,1.7561299998530152e-06,0.0057161036516535195,0.9636767111630387,False,COMPLETE
10,485.2598634737433,0.5245063879751307,0.01582474719207571,7,62,0.004374863057029277,312,112,1.699998086139445e-08,9.646925548343217e-07,0.5419050021690213,False,COMPLETE
11,494.6296725766498,0.6471310812540622,0.028119514535653117,15,35,0.2703012556262248,496,26,8.618174739947765e-07,1.4335043034528666e-08,0.8661185731077071,False,COMPLETE
12,490.0165601142856,0.5378679462961946,0.28522456551327885,16,68,0.49052745780916057,509,61,1.090743544275716e-08,1.3168970506443671e-06,0.8682623579455541,False,COMPLETE
13,490.61831721668807,0.6549661588383194,0.03218899616311038,8,46,0.17576240038721042,366,39,0.000932412602706121,3.621205093724018e-06,0.8734240596478946,False,COMPLETE
14,484.2481132451087,0.8004116703271581,0.03438714636932865,9,100,0.2776018291172216,589,88,4.9400243231082554e-06,1.3836026251637541e-08,0.9155098008305718,False,COMPLETE
15,483.86547885119126,0.678740536723306,0.016989656038583052,10,73,0.13075816861264594,408,109,1.3320605003038297e-07,1.8225181585346272e-07,0.824606167130238,False,COMPLETE
16,490.70118174461356,0.5808288874084258,0.12753275127927394,13,28,0.20970385711246053,600,74,0.0024569096751718375,0.0003084727671275179,0.9967598603798987,False,COMPLETE
17,486.9909253708054,0.8095914759795967,0.043536299490774796,16,51,0.34570064582165017,405,38,6.543466810327894e-05,0.9951084453411807,0.9149048929839103,False,COMPLETE
18,478.18028929412793,0.517673220132107,0.02003311257078428,14,11,0.22845461643766685,547,104,1.76998077712211e-07,1.4635898848244261e-05,0.8134567289321677,False,COMPLETE
19,482.0479062130548,0.5255806213322174,0.018463340086292603,12,16,0.005271507691323868,559,127,1.2887569413568925e-07,1.3028404824796845e-05,0.7990643751342494,False,COMPLETE
