date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2025-01-22 00:00:00+00:00,366.25,355.18332,287.4027527750776,422.9638948825893
2025-01-22 01:00:00+00:00,408.5,317.45795,249.67736068060196,385.23850278811364
2025-01-22 02:00:00+00:00,401.0,289.18604,221.40546694440147,356.96660905191317
2025-01-22 03:00:00+00:00,422.25,270.85147,203.07089583668483,338.6320379441965
2025-01-22 04:00:00+00:00,400.25,266.80978,199.0292181771644,334.5903602846761
2025-01-22 05:00:00+00:00,360.75,272.25516,204.47458488576984,340.03572699328157
2025-01-22 06:00:00+00:00,323.75,274.73608,206.9555030344171,342.5166451419288
2025-01-22 07:00:00+00:00,364.5,256.60138,188.82080207264715,324.3819441801588
2025-01-22 08:00:00+00:00,386.75,189.55376,121.77318387445678,257.3343259819685
2025-01-22 09:00:00+00:00,373.0,176.41388,108.63331207367168,244.19445418118337
2025-01-22 10:00:00+00:00,286.5,170.37834,102.59777298358739,238.1589150910991
2025-01-22 11:00:00+00:00,273.25,146.0917,78.3111302366105,213.8722723441222
2025-01-22 12:00:00+00:00,279.5,131.66437,63.883787699809545,199.44492980732127
2025-01-22 13:00:00+00:00,326.25,141.94547,74.16490795278031,209.726050060292
2025-01-22 14:00:00+00:00,344.0,188.20459,120.42401429380317,255.98515640131484
2025-01-22 15:00:00+00:00,338.0,250.99794,183.21737384871622,318.7785159562279
2025-01-22 16:00:00+00:00,341.0,339.68396,271.9033784078463,407.46452051535795
2025-01-22 17:00:00+00:00,459.5,461.26486,393.4842879294884,529.0454300370001
2025-01-22 18:00:00+00:00,521.0,519.8196,452.03899793433715,587.6001400418488
2025-01-22 19:00:00+00:00,617.0,575.63336,507.852805333226,643.4139474407377
2025-01-22 20:00:00+00:00,622.75,634.8266,567.046024627255,702.6071667347667
2025-01-22 21:00:00+00:00,612.5,667.9734,600.1928012367276,735.7539433442394
2025-01-22 22:00:00+00:00,712.5,679.6858,611.9051871796535,747.4663292871653
