Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,False
compute_dew_point_spread,True
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,small
cloud_lags_option,small
rolling_temp_option,short
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,mean
lags_target,12
l1_ratio,0.42545951993562153
alpha,0.4318181376076905
