number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,1446.9002739307336,0.08643358008450629,medium,False,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,0.9858608412051868,1.0,none,none,distance_energy,none,COMPLETE
1,1287.8869884140902,0.5379034762187971,small,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,0.2034416537204014,,none,short,population,small,COMPLETE
2,1453.0395477292307,0.26992302408504787,small,True,True,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,0.2712071849868063,1.0,none,none,distance_energy,small,COMPLETE
3,1323.2069463618816,0.7692640796724621,medium,False,True,False,True,False,True,True,True,False,True,True,False,True,False,False,False,True,0.5372736831947926,,medium,short,population,medium,COMPLETE
4,1332.3986078832183,0.9291024739929159,none,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,0.726118339172172,12.0,none,long,mean,small,COMPLETE
5,1395.2383406368162,0.28896712805440794,small,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,0.9089184898282554,6.0,none,long,None,medium,COMPLETE
6,1251.8321895226536,0.2995572921722138,small,True,False,False,True,True,False,True,True,True,False,True,False,False,True,False,False,True,0.4495831392412821,,medium,short,mean,small,COMPLETE
7,1355.4417119531117,0.49492497635497135,none,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,0.0418550719313349,12.0,medium,long,idw,none,COMPLETE
8,1463.30221057577,0.03709940397130603,none,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,0.6277744934074694,1.0,medium,short,distance_population,small,COMPLETE
9,1352.809284527457,0.5090245065469211,small,False,True,True,False,False,False,False,True,True,True,False,True,False,True,True,False,True,0.6480589483301398,6.0,medium,short,max,none,COMPLETE
10,1242.3476887861455,0.2938287319594704,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.34052922846385847,,small,short,mean,small,COMPLETE
11,1242.3476887861455,0.27952946138378515,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.37328550192743404,,small,short,mean,small,COMPLETE
12,1242.3476887861455,0.2318008159327966,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.35416032167505335,,small,short,mean,small,COMPLETE
13,1328.014732576272,0.4122518645987663,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.12129670942018567,,small,short,energy,small,COMPLETE
14,1242.3476887861455,0.6375885624462261,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.36251192576928776,,small,short,mean,small,COMPLETE
15,1242.83019106401,0.16529380784852166,medium,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.4569099154819629,,small,none,mean,medium,COMPLETE
16,1244.841117680546,0.42688291286909497,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.2410303767858695,,small,short,distance_population,small,COMPLETE
17,1320.063121634801,0.13816698315648218,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.35207950690358697,6.0,small,short,max,small,COMPLETE
18,1342.8103669386237,0.3790649684989698,medium,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,True,False,0.5460215413925853,12.0,small,long,None,medium,COMPLETE
19,1265.1971705875656,0.70392792490993,none,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.8053699497825368,,small,none,idw,none,COMPLETE
20,1328.014732576272,0.01056786701298984,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.02266862032278477,,small,short,energy,small,COMPLETE
21,1242.3476887861455,0.20819640830109257,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.3592646281644491,,small,short,mean,small,COMPLETE
22,1242.3476887861455,0.23708877123132002,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.2967683217832173,,small,short,mean,small,COMPLETE
23,1242.3476887861455,0.3686146032782449,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.15368086914193793,,small,short,mean,small,COMPLETE
24,1242.3476887861455,0.1434192782616877,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.435555860062699,,small,short,mean,small,COMPLETE
25,1242.3476887861455,0.3306898716559694,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.3513453490591919,,small,short,mean,small,COMPLETE
26,1456.977746588693,0.24070732472299844,small,True,False,True,False,True,False,False,False,False,True,True,True,True,False,True,True,False,0.5928938234469839,1.0,small,short,mean,small,COMPLETE
27,1237.6427818255745,0.4318181376076905,small,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.42545951993562153,12.0,small,short,mean,small,COMPLETE
28,1311.1192794516414,0.5736859130230821,medium,True,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,0.47210489872715417,12.0,small,long,None,none,COMPLETE
29,1239.5023365711904,0.4487034658518464,none,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,0.15761143902236058,12.0,small,none,distance_energy,medium,COMPLETE
