date,solar_tran_actual,solar_tran_fitted,solar_tran_lower,solar_tran_upper
2025-07-17 02:00:00+00:00,0.0,152.26470285628216,-765.8201077193685,1069.8031122473317
2025-07-17 03:00:00+00:00,5.5,271.11943306657383,-647.6399307805118,1188.4014611877183
2025-07-17 04:00:00+00:00,313.25,331.5464156996462,-585.2109500481524,1249.2212585204622
2025-07-17 05:00:00+00:00,1044.25,816.4289018769929,-101.99013097174748,1733.7383298185837
2025-07-17 06:00:00+00:00,1948.0,1304.357024734576,385.40449510496114,2222.661028972316
2025-07-17 07:00:00+00:00,2725.75,2416.0107945524596,1496.0811414952277,3334.2661827952434
2025-07-17 08:00:00+00:00,3608.5,3278.4502960172035,2358.800202673001,4196.316139319508
2025-07-17 09:00:00+00:00,4534.0,3677.084963915081,2758.7034447967144,4594.963302432114
2025-07-17 10:00:00+00:00,5122.5,3676.0753990251305,2757.441641857007,4590.31314005057
2025-07-17 11:00:00+00:00,5281.0,4246.032315466096,3328.7458554835616,5163.127126326023
2025-07-17 12:00:00+00:00,5147.5,3485.329144843092,2567.801512726629,4400.767826872457
2025-07-17 13:00:00+00:00,4793.0,2833.302448390174,1914.2513786336121,3751.336443625268
2025-07-17 14:00:00+00:00,4105.25,2404.5760605935375,1487.2757082368844,3321.888269653248
2025-07-17 15:00:00+00:00,3077.25,2019.766107812353,1101.2245030335112,2937.520097542103
2025-07-17 16:00:00+00:00,1944.25,1757.5315305490876,839.4980855626679,2675.1442455652814
2025-07-17 17:00:00+00:00,986.5,1064.6090313423497,146.31295859684064,1981.2727983397122
2025-07-17 18:00:00+00:00,258.0,370.39236190333725,-546.9909471540147,1287.726957266447
2025-07-17 19:00:00+00:00,3.0000000000001137,80.51815983985477,-836.2051056012122,999.0706438958724
2025-07-17 20:00:00+00:00,0.0,-173.73212997517703,-1089.6680707538005,744.6273438810949
2025-07-17 21:00:00+00:00,0.0,44.44686292109213,-870.3180703520056,962.0359559140927
2025-07-17 22:00:00+00:00,0.0,127.9377407713198,-793.0616695271972,1044.6602903641774
2025-07-17 23:00:00+00:00,0.0,201.94218728335977,-718.3834736456884,1117.7956934357358
2025-07-18 00:00:00+00:00,0.0,62.77241253621912,-855.0119558181223,979.5106218309631
2025-07-18 01:00:00+00:00,0.0,118.68338489545329,-802.1200168369237,1035.4257278731272
2025-07-18 02:00:00+00:00,0.0,200.1836164347019,-720.4915865674106,1118.3295045786044
2025-07-18 03:00:00+00:00,8.0,281.6003110743675,-637.5872096950607,1198.5542127746548
2025-07-18 04:00:00+00:00,436.99999999999994,329.2247063975352,-587.9300433700002,1250.0460374467832
2025-07-18 05:00:00+00:00,1364.0,1051.253516423127,132.40776812542538,1971.089120169823
2025-07-18 06:00:00+00:00,2601.25,1962.5647342044408,1040.3792594478887,2880.4156128749873
2025-07-18 07:00:00+00:00,3788.5,2984.9903158660077,2064.2125611145384,3902.705506055347
2025-07-18 08:00:00+00:00,4745.75,3832.3023139381617,2914.3810825197843,4749.63354643799
2025-07-18 09:00:00+00:00,5321.0,4382.045196335617,3462.704752465736,5297.735459162619
2025-07-18 10:00:00+00:00,5608.25,4685.455819518299,3767.120513659383,5600.267586995635
2025-07-18 11:00:00+00:00,5525.916666666667,4388.765385084752,3464.4572594448027,5303.168275194416
2025-07-18 12:00:00+00:00,5443.583333333333,4438.4088446207015,3517.036370861008,5355.7072525659105
2025-07-18 13:00:00+00:00,5361.25,3908.985938731144,2986.9899438118678,4826.702320907463
2025-07-18 14:00:00+00:00,4449.25,2601.2885500036537,1681.2894040972262,3517.7647035880727
2025-07-18 15:00:00+00:00,3313.0,2206.030647028196,1287.5130803738116,3124.5338540739326
2025-07-18 16:00:00+00:00,2160.75,1882.7486788799813,962.4457778881471,2803.7211002855065
2025-07-18 17:00:00+00:00,1075.25,1168.4749839483625,250.10716058839307,2084.787374111766
2025-07-18 18:00:00+00:00,271.25,397.7109900446825,-521.9065967720612,1314.8122993384193
2025-07-18 19:00:00+00:00,2.2500000000001137,36.0065201417525,-880.8377065990476,953.8173174335255
2025-07-18 20:00:00+00:00,0.0,-190.02693138735322,-1105.259770394975,731.6720251020483
2025-07-18 21:00:00+00:00,0.0,0.053807272333642686,-916.0550259254153,920.416695880817
2025-07-18 22:00:00+00:00,0.0,139.36527408622283,-779.5731173688916,1058.9572403210857
2025-07-18 23:00:00+00:00,0.0,219.48895672199956,-700.8150021896856,1137.497913752713
2025-07-19 00:00:00+00:00,0.0,112.38697747343997,-804.0307847805359,1031.5436403165397
2025-07-19 01:00:00+00:00,0.0,136.5148409162024,-779.9343188102,1056.1026290960283
2025-07-19 02:00:00+00:00,0.0,192.706446305952,-722.7475016414296,1111.2971137847537
2025-07-19 03:00:00+00:00,5.0,259.46353633671856,-655.7446863734931,1178.1470284230315
2025-07-19 04:00:00+00:00,420.5,341.2887251201943,-574.0533262776962,1260.3469402026237
2025-07-19 05:00:00+00:00,1314.0,1037.942546177329,121.8162792636997,1956.6836076239788
2025-07-19 06:00:00+00:00,2472.25,1856.7633157291557,939.9100676790105,2779.3884489471093
2025-07-19 07:00:00+00:00,3616.75,2983.864454802477,2066.3162492594756,3902.349912483133
2025-07-19 08:00:00+00:00,4690.5,3994.3259343098243,3079.420775735867,4911.950940761679
2025-07-19 09:00:00+00:00,5186.25,4715.4730218856075,3798.1635247719423,5634.274989543853
2025-07-19 10:00:00+00:00,5480.75,5125.819071447539,4208.102237811262,6044.471968966888
2025-07-19 11:00:00+00:00,5623.25,5188.201704940223,4270.881872820633,6109.09652197707
2025-07-19 12:00:00+00:00,4643.5,4621.1387592446445,3704.5433698074817,5540.64367132016
2025-07-19 13:00:00+00:00,3454.25,4298.791968500062,3380.47677401437,5221.471390327493
2025-07-19 14:00:00+00:00,2155.25,3213.2922122809778,2295.379030720343,4133.520099065696
2025-07-19 15:00:00+00:00,1408.0,2093.2971753378297,1175.1981870832726,3008.496682194258
2025-07-19 16:00:00+00:00,964.5,1618.7947255687272,701.3307780838217,2535.7232715710743
2025-07-19 17:00:00+00:00,593.5,205.446862721025,-714.081181895606,1123.6604087324354
2025-07-19 18:00:00+00:00,213.0000000000001,-133.19338348649876,-1048.3323772715607,786.9472252847991
2025-07-19 19:00:00+00:00,4.25,-63.03883917530811,-976.2160319061684,858.1185303317566
2025-07-19 20:00:00+00:00,0.0,-208.720504451004,-1125.3889296759194,712.0027554014463
2025-07-19 21:00:00+00:00,0.0,-21.58386989235953,-938.9090236484324,899.5337946073123
2025-07-19 22:00:00+00:00,0.0,69.41891611612573,-847.18759584298,989.3807221088678
2025-07-19 23:00:00+00:00,0.0,154.4661115914489,-763.2234262794886,1073.2909769337334
2025-07-20 00:00:00+00:00,0.0,69.11760387932179,-850.2142919173436,986.7509943501851
2025-07-20 01:00:00+00:00,0.0,119.07380523621532,-800.1564466108405,1036.656247969796
2025-07-20 02:00:00+00:00,0.0,226.2662291067228,-692.639068025112,1145.5720509309326
2025-07-20 03:00:00+00:00,3.0000000000001137,293.7331812998955,-625.016188499782,1213.1911047580327
2025-07-20 04:00:00+00:00,412.25,346.23197330655887,-572.3961071538004,1266.565212030748
2025-07-20 05:00:00+00:00,1185.0,1018.8933740903094,98.33366198303497,1935.884808892291
2025-07-20 06:00:00+00:00,2197.25,1736.2101084891392,818.011744569693,2656.4364239568463
