number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,557.7539755655417,medium,0.7372387775520968,True,False,False,False,False,False,False,False,False,False,True,0.22363108418281477,6,1,506,none,3.974103608747979e-05,3.618205066177205e-06,none,None,0.9799746570762912,True,False,True,COMPLETE
1,533.6908621167419,small,0.9143099107616017,False,False,False,False,True,True,True,False,False,True,True,0.04854983832129221,6,7,962,none,4.4330358234753225e-08,5.319497710703939e-06,large,None,0.8678679496071777,False,True,False,COMPLETE
2,540.5784046586355,none,0.9860949759518427,True,True,False,True,False,True,True,True,True,False,False,0.01854849624581759,7,4,346,none,4.4794645699054875e-07,0.0338899496736555,medium,n_panels,0.9320675879574782,False,False,True,COMPLETE
3,550.3680039567048,medium,0.6740771671718453,True,False,True,True,True,True,False,True,True,True,False,0.09163586039498026,3,8,528,small,1.6256931945014224e-05,0.9224158495265595,medium,mean,0.9404419223901161,True,False,False,COMPLETE
4,580.3697937513713,small,0.7670899673702942,False,True,False,False,False,False,True,False,True,True,False,0.117932005689889,9,5,458,none,7.385155192650177e-08,2.971948555676944e-06,medium,max,0.5057881150376851,True,True,False,COMPLETE
5,555.8221942244528,medium,0.5076192644439246,True,False,True,False,False,True,True,False,True,True,True,0.10053276299779458,5,10,374,none,2.2165523286156874e-08,3.689703016516515e-08,none,None,0.8480968113591827,True,False,False,COMPLETE
6,576.9667699656874,medium,0.8614536295068871,True,False,False,False,True,True,False,False,False,True,True,0.02968492352074442,7,2,520,none,0.0001319404398659126,5.043877059064468e-05,large,distance_n_panels,0.8181783017033254,True,True,True,COMPLETE
7,555.5311203535394,medium,0.9126174334094024,True,False,False,False,False,True,False,False,True,False,False,0.08894945580389566,6,1,411,large,0.006853878025969293,0.0001168668325634674,none,max,0.9535024421103371,True,False,False,COMPLETE
8,547.8127487882124,medium,0.7169599047232971,True,False,True,False,False,True,True,False,False,True,False,0.012193771191238646,5,3,943,large,3.4833386189453893e-05,1.3308623623880372e-05,none,distance_n_panels,0.8076587173706827,True,False,True,COMPLETE
9,522.3378403394627,medium,0.6474443333946498,True,False,False,False,False,True,False,False,False,False,True,0.05447754017506849,5,1,369,none,0.6213009503150317,0.004218984218244736,small,n_panels,0.7616963155154788,False,True,True,COMPLETE
10,484.47501723680506,large,0.5766623277852663,False,True,True,True,True,False,False,True,False,False,True,0.03900525118362469,3,7,759,small,0.8028530435549976,0.0035376431116159813,small,capacity,0.6728423911271942,False,True,True,COMPLETE
11,486.2098128000519,large,0.5632532715437453,False,True,True,True,True,False,False,True,False,False,True,0.037891047107190344,3,7,731,small,0.9562207036471891,0.004358791683908692,small,capacity,0.6641317520774637,False,True,True,COMPLETE
12,484.27088293458996,large,0.5192753957656108,False,True,True,True,True,False,False,True,False,False,True,0.02707333185809407,3,7,791,small,0.48812336994286,0.003595169023634308,small,capacity,0.6461289454657103,False,True,True,COMPLETE
13,482.5241915234058,large,0.5783911344930052,False,True,True,True,True,False,False,True,False,False,True,0.02315342065569143,3,9,729,small,0.024850494281885377,0.0012039456370740462,small,capacity,0.6480200640629091,False,True,True,COMPLETE
14,483.985168287047,large,0.5263199023320133,False,True,True,True,True,False,False,True,False,False,True,0.02025919018160802,4,10,841,small,0.017897113227851074,0.0002840660470938332,small,capacity,0.5871251357707115,False,True,True,COMPLETE
15,486.826856745623,large,0.6066846225707463,False,True,True,True,True,False,False,True,False,False,True,0.01017377844877495,4,10,857,small,0.009448877756035059,0.00024997174142729183,small,idw,0.5210615169854498,False,True,True,COMPLETE
16,527.3473387135433,large,0.6305585796042106,False,True,True,True,True,False,False,True,False,False,True,0.017926433110659397,10,9,654,small,0.018687943337273968,2.911909597180889e-07,small,distance_capacity,0.5911529772590772,False,True,True,COMPLETE
17,482.2700787801873,none,0.8019542695261482,False,True,True,True,True,False,False,True,False,False,True,0.021765393056749033,4,9,653,small,0.0005557253748236518,0.07308344356604582,small,capacity,0.5871490503518084,False,True,True,COMPLETE
18,481.7185554846987,none,0.8040344201513934,False,True,True,True,True,False,False,True,False,False,True,0.014902847739678746,4,9,650,small,0.0007524571134831647,0.5459661224836002,small,capacity,0.7165182812262931,False,True,True,COMPLETE
19,499.6401676552528,none,0.8058598385046991,False,True,True,True,True,False,False,True,False,False,True,0.013978094061586942,8,5,612,large,0.0004354730689787845,0.9526191368133418,large,distance_capacity,0.7252234806180107,False,True,True,COMPLETE
