Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,False
compute_diffuse_ratio,False
compute_dni_ratio,False
compute_global_tilted_ratio,False
dew_point_temperature,True
vapor_pressure,True
precip_lags_option,large
cloud_lags_option,small
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,max
lags_target,
l1_ratio,0.7877840362796679
alpha,0.03077247545208111
