number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,514676529.5023162,0.3372908995453023,none,False,True,True,False,True,False,False,False,False,False,False,0.6935879279067053,12.0,small,small,n_panels,False,True,COMPLETE
1,1191.1180530579443,0.9725685782533058,small,True,False,True,True,False,False,False,False,False,False,True,0.30794018435487636,1.0,none,medium,max,False,True,COMPLETE
2,575068829.7147983,0.2551978917937118,medium,False,True,True,True,True,True,True,True,False,True,False,0.05023089380672511,6.0,large,small,n_panels,True,False,COMPLETE
3,1026139.5618177061,0.5166071829333181,large,True,True,False,False,False,False,True,False,True,True,False,0.8880406889842457,12.0,large,none,max,False,False,COMPLETE
4,727400154.703124,0.9202037990226838,medium,False,False,True,False,True,True,False,True,False,True,True,0.0387565835451095,6.0,large,none,n_panels,False,True,COMPLETE
5,6856.1700675766115,0.7191119575731929,none,True,True,False,False,False,True,False,False,True,True,True,0.5419071115748154,12.0,large,large,capacity,True,False,COMPLETE
6,680562344.2343606,0.3754683482111067,large,False,True,True,True,False,True,True,True,True,True,False,0.7097479005564766,6.0,large,none,capacity,False,False,COMPLETE
7,891.577354030971,0.25498351240324496,large,True,False,True,True,True,False,True,False,False,False,True,0.7472383357529727,6.0,large,none,max,False,False,COMPLETE
8,726.7491291716857,0.21418378756544734,small,False,False,True,True,False,False,True,False,False,False,True,0.7695516310756714,12.0,none,small,n_panels,True,True,COMPLETE
9,547.9641994535532,0.6274915802846551,small,True,True,True,True,False,False,False,False,False,True,True,0.05442530362678605,,small,medium,mean,True,False,COMPLETE
10,602.747280582693,0.03360554508387692,small,True,True,False,True,False,False,False,True,True,True,True,0.28894195699023495,,small,medium,mean,True,False,COMPLETE
11,602.747280582693,0.021980299187912167,small,True,True,False,True,False,False,False,True,True,True,True,0.26887994447783176,,small,medium,mean,True,False,COMPLETE
12,602.747280582693,0.619381056107271,small,True,True,False,True,False,False,False,True,True,True,True,0.22455946217310896,,small,medium,mean,True,False,COMPLETE
13,597.2229975121095,0.7698324759945783,small,True,True,False,True,False,False,False,True,True,True,True,0.41582310437811715,,small,medium,idw,True,False,COMPLETE
14,541.3964729696419,0.7826510481421205,small,True,True,False,True,False,False,False,False,False,True,True,0.48227301687406043,,small,medium,idw,True,False,COMPLETE
15,561.3211037680366,0.810340222250398,small,True,True,False,True,False,False,False,False,False,True,True,0.508678602319193,,small,large,distance_capacity,True,False,COMPLETE
16,446.6480578702713,0.6214015445784464,small,True,True,True,True,False,False,False,False,False,True,True,0.16147816392634212,1.0,small,medium,None,True,False,COMPLETE
17,434.11306330324624,0.5013065330786455,medium,True,True,False,True,False,False,False,False,False,True,True,0.17808945953525157,1.0,small,medium,None,True,False,COMPLETE
18,56536.692958351894,0.46818144488023267,medium,True,False,False,False,True,True,False,False,False,False,False,0.1898443009288047,1.0,none,medium,None,True,True,COMPLETE
19,435.43734209534273,0.5484664790788037,medium,True,True,True,True,False,False,False,False,False,True,True,0.14540479635719566,1.0,small,large,None,True,False,COMPLETE
20,437.9282472261134,0.48484332285108245,medium,True,True,False,True,False,False,False,False,False,True,True,0.394553091317553,1.0,small,large,None,True,False,COMPLETE
21,437.9282472261134,0.5160647665662205,medium,True,True,False,True,False,False,False,False,False,True,True,0.3765213154211732,1.0,small,large,None,True,False,COMPLETE
22,437.9282472261134,0.4298562632449797,medium,True,True,False,True,False,False,False,False,False,True,True,0.10588684648714025,1.0,small,large,None,True,False,COMPLETE
23,515.0415317287168,0.5824784901046844,medium,True,True,False,True,False,False,False,False,False,True,True,0.3822708984426293,1.0,small,large,distance_n_panels,True,False,COMPLETE
24,437.9282472261134,0.35571236027325215,medium,True,True,False,True,False,False,False,False,False,True,True,0.16236912460453945,1.0,small,large,None,True,False,COMPLETE
25,467.92886617083514,0.6935790222644901,medium,True,True,False,True,False,False,False,False,False,True,True,0.6202222298108111,1.0,none,large,None,True,False,COMPLETE
26,8563.057386818795,0.5679980028275423,medium,False,False,True,False,True,True,True,False,False,False,False,0.3438907962390048,1.0,small,large,None,True,True,COMPLETE
27,516.0012349619254,0.4241314152277129,medium,True,True,False,True,False,False,False,False,False,True,True,0.11979596120699494,1.0,small,large,distance_capacity,True,False,COMPLETE
28,515.963777554724,0.13201694619638354,none,True,True,True,True,False,False,False,False,False,True,True,0.23663268814084043,1.0,small,large,distance_n_panels,True,False,COMPLETE
29,inf,0.29526379145886983,none,False,True,True,False,True,False,False,False,False,False,False,0.4295631177802153,1.0,small,small,None,False,True,COMPLETE
