Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,6
lags_choice,large
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,distance_n_turbines
lags_target,
n_estimators,546
learning_rate,0.029333420130025142
max_depth,7
min_child_weight,7
subsample,0.9548879683618166
colsample_bytree,0.6189496306662331
reg_alpha,0.0003767537067406306
reg_lambda,0.036077031785832214
