Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,False
gust_factor,True
turbulence_window,6
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,mean
n_estimators,709
learning_rate,0.05012618082885135
num_leaves,125
max_depth,3
min_child_samples,99
subsample,0.9978191033013915
colsample_bytree,0.8413129410375721
reg_alpha,3.7780461222552745e-05
reg_lambda,1.6968698251931878e-06
min_split_gain,0.23256856552897784
use_base_models_pred_intervals,False
cv_folds_base,40
