number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1162.028184553352,0.6838695893232227,True,False,False,True,False,False,False,False,True,True,small,6.0,0.1705410529491583,10,86,0.26919626457362955,815,102,small,7.039787156664633e-07,1.0837809274417719e-08,None,0.7677780462794641,0,False,COMPLETE
1,940.9289645854811,0.6540569782110304,True,True,True,False,True,True,False,False,True,False,large,12.0,0.19914135973979083,3,39,0.20879990035321716,542,148,none,0.02336978470832362,0.06681024264535591,None,0.8721431414529746,0,True,COMPLETE
2,960.7218319726104,0.625806976750515,False,False,False,True,False,False,True,False,False,False,large,6.0,0.039774864204457167,15,84,0.04578493902905795,683,15,large,0.0005038880340168581,1.4715366084726094e-08,idw,0.8535443919194114,0,False,COMPLETE
3,812.8679568659221,0.8717810718813939,False,True,False,True,True,False,False,False,False,True,large,,0.07796429584102905,15,66,0.24683983733470666,308,117,small,6.165997987942391e-05,4.390537283229142e-08,capacity,0.8058794323927627,2,False,COMPLETE
4,793.835449603706,0.8966412331706184,True,False,False,False,False,True,False,True,True,False,large,,0.02808985341685881,11,33,0.06287477555181237,741,141,large,5.713289533147349e-06,5.208859835477944e-06,idw,0.6898278182183681,6,True,COMPLETE
5,1053.0430274336356,0.82902012269727,False,False,False,True,True,False,True,False,False,True,none,6.0,0.21990131637967453,15,32,0.23027118178704797,839,56,large,0.3685186099716714,0.030224630035917632,None,0.5017824069210914,0,False,COMPLETE
6,1030.5939289845173,0.7254260280518413,True,False,True,True,True,True,True,True,False,True,small,12.0,0.08015566892110368,6,59,0.21084739537569597,932,54,large,3.6673874801081576e-05,0.003856345594448699,distance_n_turbines,0.6204576706933504,2,True,COMPLETE
7,878.9014075833666,0.6425258192242727,True,False,True,False,False,False,True,False,True,False,none,1.0,0.2990627001478827,13,39,0.4320782684245697,869,146,small,0.06556721414832596,1.6846604998538516e-08,distance_n_turbines,0.7146349167943302,0,False,COMPLETE
8,834.1897445750046,0.9800001311637159,True,True,False,False,False,False,False,True,False,True,small,,0.047920943782093765,5,26,0.35635459323318985,985,14,small,1.929639747776123e-08,6.97154413518013e-06,mean,0.5181196295398529,2,False,COMPLETE
9,861.4963810985532,0.9582362346830001,False,True,False,False,False,True,False,False,True,False,none,,0.013435022462487987,14,15,0.34443792233279125,969,124,none,0.0020244544278501006,0.0001255663868389845,distance_capacity,0.9892000665266933,0,True,COMPLETE
10,799.4234846573758,0.5360130228495148,True,False,True,False,False,True,False,True,True,False,large,1.0,0.014950951655084007,10,6,0.011404781814742748,562,80,large,1.4989123273932152e-06,5.734096581214006e-06,idw,0.6647833269065502,6,True,COMPLETE
11,808.2003076018669,0.5150802927462368,True,False,True,False,False,True,False,True,True,False,large,1.0,0.014073175071730172,10,10,0.0049169073980927375,556,82,large,1.4157341586852364e-06,1.8082461507196013e-06,idw,0.6549776814017937,6,True,COMPLETE
12,867.0539376510568,0.543024391837694,True,False,True,False,False,True,False,True,True,False,large,1.0,0.02246385781779046,8,5,0.10574402632415503,700,76,large,1.0837832259447083e-06,6.446084956687153e-06,max,0.627460777054471,6,True,COMPLETE
13,787.2011760097631,0.8132678153252675,True,False,True,False,False,True,False,True,True,False,large,,0.025255157997852037,12,22,0.11327664049668759,482,89,large,6.894683179319954e-08,0.00016093572600573325,idw,0.6985336887562712,6,True,COMPLETE
14,807.9265807473433,0.8279651849761217,True,False,False,False,False,True,False,True,True,False,large,,0.02614056574155794,13,49,0.11170349670943465,395,122,large,1.0227302056498932e-08,0.00016420919277049289,idw,0.7306683116499597,6,True,COMPLETE
15,799.6390261066921,0.9057509678499324,True,False,True,False,False,True,False,True,True,False,large,,0.02852032088177637,12,23,0.13237918954947364,453,37,large,1.1642955879478111e-07,0.0015316693241273454,idw,0.575765947081293,6,True,COMPLETE
16,830.5209102770356,0.7837295100324342,True,False,True,False,False,True,False,True,True,False,large,,0.08300027157702819,8,49,0.09109987756563115,730,101,none,1.527251323797085e-05,0.7706312571477394,distance_capacity,0.6930934118273726,6,True,COMPLETE
17,790.7822674735822,0.9112547814686872,True,False,False,False,False,True,False,True,True,False,large,,0.03545550182393337,12,98,0.16423237443801714,622,101,large,8.610816481560162e-08,3.44322908007676e-07,mean,0.788169037423702,6,True,COMPLETE
18,786.7210887187936,0.7756731369174562,False,True,True,False,True,True,True,True,True,False,small,,0.053918109303708404,8,94,0.1779788076383469,478,97,large,1.4797198588963902e-07,4.1047028456537355e-07,mean,0.950043815418788,6,True,COMPLETE
19,924.9162170316686,0.7452286365514107,False,True,True,False,True,True,True,True,True,False,small,12.0,0.12522898359161325,8,72,0.2988923888385324,458,66,none,1.1712532699922092e-07,4.5546627731252015e-07,mean,0.9507626802051198,6,True,COMPLETE
20,845.2372564766207,0.8000636084045084,False,True,True,False,True,True,True,True,True,False,small,,0.055537250569649615,6,99,0.48805641123986443,322,90,large,6.262083330478483e-08,5.976170318347113e-05,max,0.9121930197889973,6,True,COMPLETE
21,793.9470072749112,0.8622230140543197,False,True,True,False,True,True,True,True,True,False,small,,0.03800732011331105,12,98,0.16355326837869402,616,104,large,1.4890047767912209e-07,2.198159800888931e-07,mean,0.799193258646741,6,True,COMPLETE
22,798.6842047111631,0.9335991571204574,False,True,True,False,True,True,True,True,True,False,small,,0.057270342793623474,9,89,0.17010666464720325,456,114,large,3.339288009576793e-07,1.9220436860239647e-07,mean,0.8339604990481827,6,True,COMPLETE
23,808.0271957482255,0.7911039383464266,False,True,False,False,True,True,True,True,True,False,none,,0.020034187667220923,12,71,0.1630371662005772,612,93,large,3.178767455918016e-08,3.8808829572948216e-05,mean,0.9017628916573115,6,True,COMPLETE
