Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,0
lags_choice,none
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,None
lags_target,
n_estimators,315
learning_rate,0.02028451742478456
num_leaves,110
max_depth,6
min_child_samples,36
subsample,0.5036521728929789
colsample_bytree,0.9569058014818835
reg_alpha,3.7383398372663366e-06
reg_lambda,0.0008361668249244218
min_split_gain,0.44314890734563267
