number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,1213.6930833384865,medium,0.9291309306757264,False,False,True,True,False,True,True,True,False,False,False,False,False,True,True,True,False,6.0,0.03331995725247742,12,8,0.09532417264629389,886,37,none,1.3038505820176397e-08,8.18107729570008e-08,none,max,0.9363615601962989,small,COMPLETE
1,1189.8128147862599,small,0.8941598034728415,True,True,True,False,True,False,True,False,True,False,True,True,True,False,True,False,True,6.0,0.04234135424440465,8,54,0.46267658167987213,741,15,medium,0.16094249143886757,1.0067144468620872e-06,none,max,0.7773207878641444,none,COMPLETE
2,1100.5754869674104,none,0.793699942169409,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,True,True,1.0,0.012878606591535155,14,44,0.38029800196538366,487,107,small,2.124515035063577e-06,0.00745528539637179,long,None,0.8136950276786029,small,COMPLETE
3,1048.2091926958603,medium,0.7992174032869666,False,False,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,1.0,0.23865430032042795,7,100,0.11830364706751056,618,81,medium,0.5685904022332897,0.34077969666055485,long,mean,0.9384221917661477,small,COMPLETE
4,1409.8110151916026,small,0.7670297464918279,False,True,True,True,False,True,True,True,False,False,True,True,False,False,True,False,False,,0.11490250164834018,3,91,0.042860493516875264,773,102,none,0.004967844326086051,3.1996027685863976e-06,short,max,0.9746972858036498,small,COMPLETE
5,1232.0078593787973,none,0.6720941708383679,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,True,True,6.0,0.18307188922350803,10,55,0.09281518970401847,658,37,medium,9.25262998056831e-08,0.0465728042333137,long,distance_population,0.7773169970879144,medium,COMPLETE
6,1144.3432292886184,medium,0.5575386708067577,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,12.0,0.16293673503068043,9,43,0.4790599126824828,538,100,medium,2.937832343175412e-05,0.14315865381512713,none,distance_population,0.5225849341315261,small,COMPLETE
7,969.9646096533224,medium,0.5629768277472379,False,True,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,1.0,0.1302263460620087,14,18,0.0069101010620224446,448,17,small,0.005828335694815124,0.1051539709421064,short,mean,0.5252051925836874,medium,COMPLETE
8,1095.0192501739025,medium,0.579171160719812,False,False,False,True,True,False,True,True,True,False,False,True,True,False,False,True,True,6.0,0.2793640393088101,9,96,0.4370875313974208,904,40,small,0.1449475541608683,0.00022541612760811885,long,distance_energy,0.5735704147926655,small,COMPLETE
9,913.0717511718107,none,0.6790841789994022,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,True,True,1.0,0.049530421931724085,4,69,0.2839579433321795,714,138,small,0.0036856872790584252,1.5811637018029334e-05,short,idw,0.5673926481047522,small,COMPLETE
