Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,True
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,small
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,short
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,True
spatial_agg_method,mean
lags_target,6
n_estimators,756
learning_rate,0.2724440747148608
num_leaves,73
max_depth,14
min_child_samples,67
subsample,0.7774859246004187
colsample_bytree,0.6278562064427633
reg_alpha,0.0008502817060873034
reg_lambda,0.14998676381577317
min_split_gain,0.2412809505103965
